42,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,38.74,714.10,714.10,698.00,698.00,700.40,"8,843.00",700.10,"6,193,676.00",106,-2.1,16.1,-0.3,2.31,-0.34,669.57,682.37,"1,020.00",559.00,2022-12-07
42,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,38.74,714.10,714.10,698.00,698.00,700.40,"8,843.00",700.10,"6,193,676.00",106,-2.1,16.1,-0.3,2.31,-0.34,669.57,682.37,"1,020.00",559.00,2022-12-09
45,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,40.16,695.00,696.00,687.00,689.00,689.99,"9,956.00",698.00,"6,869,496.10",126,-9.0,9.0,-1.29,1.31,-0.14,-,-,"1,020.00",559.00,2022-12-11
45,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,30.51,698.00,708.90,689.10,708.90,696.66,"10,919.00",689.00,"7,606,837.70",102,19.9,19.8,2.89,2.87,1.73,670.90,681.07,"1,020.00",559.00,2022-12-12
45,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,36.27,723.00,723.00,705.00,708.00,708.64,"14,947.00",708.90,"10,592,088.50",71,-0.9,18.0,-0.13,2.55,-0.09,671.77,680.51,"1,020.00",559.00,2022-12-13
46,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,38.28,714.00,714.00,705.00,708.00,708.49,"10,062.00",708.00,"7,128,804.00",68,0.0,9.0,0.0,1.28,-0.07,672.67,679.89,"1,020.00",559.00,2022-12-14
46,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,33.63,700.00,707.90,700.00,700.00,703.09,"3,027.00",708.00,"2,128,239.40",46,-8.0,7.9,-1.13,1.13,-0.44,673.42,679.23,"1,020.00",559.00,2022-12-15
47,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,30.42,700.00,700.00,689.00,692.00,693.11,"5,582.00",700.00,"3,868,959.70",70,-8.0,11.0,-1.14,1.6,-0.16,674.21,678.62,"1,020.00",559.00,2022-12-18
47,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,26.47,705.80,705.80,693.10,700.00,698.19,"5,043.00",692.00,"3,520,984.10",58,8.0,12.7,1.16,1.83,0.26,675.26,678.15,"1,020.00",559.00,2022-12-19
47,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,26.47,701.10,713.00,693.10,707.00,707.45,"7,728.00",700.00,"5,467,189.50",100,7.0,19.9,1.0,2.87,-0.06,676.12,677.74,"1,020.00",559.00,2022-12-20
