175,RADHI,Radhi Bidyut Company Limited,24.65,216.00,220.00,212.00,216.00,216.87,"2,003.00",219.90,"434,391.00",36,-3.9,8.0,-1.77,3.77,-0.4,396.44,456.96,775.00,204.00,2022-12-07
175,RADHI,Radhi Bidyut Company Limited,24.65,216.00,220.00,212.00,216.00,216.87,"2,003.00",219.90,"434,391.00",36,-3.9,8.0,-1.77,3.77,-0.4,396.44,456.96,775.00,204.00,2022-12-09
178,RADHI,Radhi Bidyut Company Limited,26.06,216.00,219.00,212.00,214.00,215.22,"4,344.00",216.00,"934,929.90",69,-2.0,7.0,-0.93,3.3,-0.57,-,-,775.00,204.00,2022-12-11
176,RADHI,Radhi Bidyut Company Limited,32.01,210.00,218.20,210.00,215.00,216.12,"3,845.00",214.00,"830,967.00",55,1.0,8.2,0.47,3.9,-0.52,391.17,452.64,775.00,204.00,2022-12-12
174,RADHI,Radhi Bidyut Company Limited,29.04,215.00,217.00,211.90,216.00,214.65,"3,684.00",215.00,"790,777.70",44,1.0,5.1,0.47,2.41,0.62,388.67,450.50,775.00,204.00,2022-12-13
175,RADHI,Radhi Bidyut Company Limited,29.29,216.00,220.00,216.00,216.50,218.10,"2,126.00",216.00,"463,688.00",40,0.5,4.0,0.23,1.85,-0.74,386.35,448.20,775.00,204.00,2022-12-14
182,RADHI,Radhi Bidyut Company Limited,32.4,215.00,215.00,206.80,209.00,209.08,"44,096.00",216.50,"9,219,445.30",235,-7.5,8.2,-3.46,3.97,-0.04,383.85,445.88,775.00,204.00,2022-12-15
177,RADHI,Radhi Bidyut Company Limited,33.36,205.00,205.00,195.30,199.80,199.73,"83,864.00",209.00,"16,750,335.60",568,-9.2,9.7,-4.4,4.97,0.03,381.37,443.56,775.00,195.30,2022-12-18
177,RADHI,Radhi Bidyut Company Limited,31.67,202.40,202.80,199.00,201.00,200.61,"31,476.00",199.80,"6,314,341.20",191,1.2,3.8,0.6,1.91,0.19,379.04,441.30,775.00,195.30,2022-12-19
181,RADHI,Radhi Bidyut Company Limited,31.67,201.00,206.60,201.00,205.00,203.78,"32,086.00",201.00,"6,538,557.10",199,4.0,5.6,1.99,2.79,0.59,376.44,439.13,775.00,195.30,2022-12-20
