182,RLFL,Reliance Finance Limited,26.48,300.00,300.00,297.00,297.00,298.25,"6,007.00",300.00,"1,791,583.00",35,-3.0,3.0,-1.0,1.01,-0.42,317.96,329.20,581.00,222.20,2022-12-07
182,RLFL,Reliance Finance Limited,26.48,300.00,300.00,297.00,297.00,298.25,"6,007.00",300.00,"1,791,583.00",35,-3.0,3.0,-1.0,1.01,-0.42,317.96,329.20,581.00,222.20,2022-12-09
185,RLFL,Reliance Finance Limited,27.89,293.00,300.00,290.00,293.00,293.34,"10,648.00",297.00,"3,123,521.50",81,-4.0,10.0,-1.35,3.45,-0.12,-,-,581.00,222.20,2022-12-11
183,RLFL,Reliance Finance Limited,33.27,296.90,300.00,290.00,297.00,295.91,"13,744.00",293.00,"4,066,995.50",53,4.0,10.0,1.37,3.45,0.37,318.37,327.62,581.00,222.20,2022-12-12
181,RLFL,Reliance Finance Limited,32.66,295.00,297.00,292.00,294.00,294.41,"2,040.00",297.00,"600,587.50",27,-3.0,5.0,-1.01,1.71,-0.14,318.72,326.87,581.00,222.20,2022-12-13
182,RLFL,Reliance Finance Limited,25.65,296.00,296.00,291.00,293.40,294.17,"3,315.00",294.00,"975,162.40",25,-0.6,5.0,-0.2,1.72,-0.26,319.14,326.03,581.00,222.20,2022-12-14
189,RLFL,Reliance Finance Limited,23.87,290.00,292.00,289.00,289.00,289.59,"4,001.00",293.40,"1,158,636.50",38,-4.4,3.0,-1.5,1.04,-0.2,319.41,325.15,581.00,222.20,2022-12-15
184,RLFL,Reliance Finance Limited,31.56,285.00,285.00,272.00,275.50,276.73,"21,250.00",289.00,"5,880,519.80",118,-13.5,13.0,-4.67,4.78,-0.45,319.67,324.23,581.00,222.20,2022-12-18
184,RLFL,Reliance Finance Limited,32.75,281.00,286.60,272.10,286.60,276.77,"9,843.00",275.50,"2,724,227.00",65,11.1,14.5,4.03,5.33,3.43,320.09,323.44,581.00,222.20,2022-12-19
188,RLFL,Reliance Finance Limited,32.75,285.50,285.50,277.50,280.40,280.47,"5,547.00",286.60,"1,555,739.60",47,-6.2,8.0,-2.16,2.88,-0.02,320.43,322.72,581.00,222.20,2022-12-20
