74,JALPA,Jalpa  Samudayik Laghubitta Bittiya Sanstha Limited,29.16,"3,380.00","3,449.00","3,380.00","3,410.00","3,413.00","1,136.00","3,415.00","3,877,164.00",61,-5.0,69.0,-0.15,2.04,-0.09,"2,888.85","2,362.89","3,770.00",318.60,2022-12-07
74,JALPA,Jalpa  Samudayik Laghubitta Bittiya Sanstha Limited,29.16,"3,380.00","3,449.00","3,380.00","3,410.00","3,413.00","1,136.00","3,415.00","3,877,164.00",61,-5.0,69.0,-0.15,2.04,-0.09,"2,888.85","2,362.89","3,770.00",318.60,2022-12-09
78,JALPA,Jalpa  Samudayik Laghubitta Bittiya Sanstha Limited,30.58,"3,380.00","3,400.00","3,352.20","3,365.50","3,377.66","1,674.00","3,410.00","5,654,194.90",84,-44.5,47.8,-1.3,1.43,-0.36,-,-,"3,770.00",318.60,2022-12-11
76,JALPA,Jalpa  Samudayik Laghubitta Bittiya Sanstha Limited,32.26,"3,365.50","3,408.50","3,305.70","3,325.00","3,338.80","1,909.00","3,365.50","6,373,763.60",107,-40.5,102.8,-1.2,3.11,-0.41,"2,908.54","2,396.52","3,770.00",318.60,2022-12-12
75,JALPA,Jalpa  Samudayik Laghubitta Bittiya Sanstha Limited,33.67,"3,326.00","3,395.00","3,303.00","3,355.00","3,355.91","1,091.00","3,325.00","3,661,293.50",50,30.0,92.0,0.9,2.79,-0.03,"2,918.71","2,413.38","3,770.00",318.60,2022-12-13
77,JALPA,Jalpa  Samudayik Laghubitta Bittiya Sanstha Limited,29.86,"3,355.00","3,355.00","3,325.00","3,335.00","3,338.81",938.00,"3,355.00","3,131,802.60",50,-20.0,30.0,-0.6,0.9,-0.11,"2,929.01","2,430.11","3,770.00",318.60,2022-12-14
81,JALPA,Jalpa  Samudayik Laghubitta Bittiya Sanstha Limited,24.57,"3,330.00","3,330.00","3,290.00","3,290.00","3,302.90","2,170.00","3,335.00","7,167,301.80",101,-45.0,40.0,-1.35,1.22,-0.39,"2,938.53","2,446.57","3,770.00",318.60,2022-12-15
78,JALPA,Jalpa  Samudayik Laghubitta Bittiya Sanstha Limited,29.52,"3,270.00","3,300.00","3,260.20","3,262.00","3,270.69","1,127.00","3,290.00","3,686,064.00",67,-28.0,39.8,-0.85,1.22,-0.27,"2,947.96","2,462.88","3,770.00",318.60,2022-12-18
79,JALPA,Jalpa  Samudayik Laghubitta Bittiya Sanstha Limited,29.54,"3,212.00","3,270.00","3,212.00","3,266.50","3,252.19","1,953.00","3,262.00","6,351,532.00",88,4.5,58.0,0.14,1.81,0.44,"2,958.09","2,479.18","3,770.00",318.60,2022-12-19
78,JALPA,Jalpa  Samudayik Laghubitta Bittiya Sanstha Limited,29.54,"3,230.00","3,290.00","3,230.00","3,281.10","3,282.84","1,262.00","3,266.50","4,142,949.20",76,14.6,60.0,0.45,1.86,-0.05,"2,968.42","2,495.57","3,770.00",318.60,2022-12-20
