119,NABBC,Narayani Development Bank Limited,34.83,369.70,369.70,348.10,348.10,354.11,"1,530.00",365.90,"541,788.00",14,-17.8,21.6,-4.86,6.21,-1.73,397.69,401.70,940.00,317.70,2022-12-07
119,NABBC,Narayani Development Bank Limited,34.83,369.70,369.70,348.10,348.10,354.11,"1,530.00",365.90,"541,788.00",14,-17.8,21.6,-4.86,6.21,-1.73,397.69,401.70,940.00,317.70,2022-12-09
122,NABBC,Narayani Development Bank Limited,36.24,347.30,354.00,345.00,345.10,346.68,"3,232.00",348.10,"1,120,460.70",23,-3.0,9.0,-0.86,2.61,-0.46,-,-,690.60,317.70,2022-12-11
120,NABBC,Narayani Development Bank Limited,38.99,345.00,358.00,345.00,350.10,347.36,"1,790.00",345.10,"621,767.50",18,5.0,13.0,1.45,3.77,0.78,397.10,399.81,690.60,317.70,2022-12-12
120,NABBC,Narayani Development Bank Limited,31.61,350.00,385.10,345.10,358.00,362.13,"2,284.00",350.10,"827,115.40",30,7.9,40.0,2.26,11.59,-1.15,397.00,398.89,690.60,317.70,2022-12-13
120,NABBC,Narayani Development Bank Limited,32.84,351.10,387.00,351.10,363.00,361.90,400.00,358.00,"144,760.00",16,5.0,35.9,1.4,10.23,0.3,397.09,397.93,690.60,317.70,2022-12-14
124,NABBC,Narayani Development Bank Limited,41.57,356.00,356.00,348.00,348.00,350.19,"2,503.00",363.00,"876,519.60",31,-15.0,8.0,-4.13,2.3,-0.63,397.00,396.83,690.60,317.70,2022-12-15
121,NABBC,Narayani Development Bank Limited,46.32,350.00,360.00,336.00,347.00,344.51,"3,999.00",348.00,"1,377,678.80",41,-1.0,24.0,-0.29,7.14,0.72,396.89,395.73,690.60,317.70,2022-12-18
123,NABBC,Narayani Development Bank Limited,29.47,347.00,348.00,340.20,340.20,343.12,"1,111.00",347.00,"381,209.00",17,-6.8,7.8,-1.96,2.29,-0.86,396.92,394.66,690.60,317.70,2022-12-19
124,NABBC,Narayani Development Bank Limited,29.47,347.00,354.90,340.00,354.90,350.45,"1,583.00",340.20,"554,762.70",21,14.7,14.9,4.32,4.38,1.25,397.13,393.83,690.60,317.70,2022-12-20
