176,RBCL,Rastriya Beema Company Limited,36.04,"12,749.00","12,750.00","12,561.00","12,561.00","12,667.25",80.00,"12,550.00","1,013,380.00",6,11.0,189.0,0.09,1.5,-0.85,"13,420.83","14,306.06","20,499.00","12,255.00",2022-12-07
176,RBCL,Rastriya Beema Company Limited,36.04,"12,749.00","12,750.00","12,561.00","12,561.00","12,667.25",80.00,"12,550.00","1,013,380.00",6,11.0,189.0,0.09,1.5,-0.85,"13,420.83","14,306.06","20,499.00","12,255.00",2022-12-09
179,RBCL,Rastriya Beema Company Limited,37.45,"12,685.00","12,685.00","12,405.00","12,405.00","12,492.37",110.00,"12,561.00","1,374,161.00",9,-156.0,280.0,-1.24,2.26,-0.7,-,-,"20,499.00","12,255.00",2022-12-11
177,RBCL,Rastriya Beema Company Limited,34.35,"12,555.00","12,555.00","12,350.00","12,350.00","12,441.62",368.00,"12,405.00","4,578,515.00",28,-55.0,205.0,-0.44,1.66,-0.74,"13,397.74","14,248.96","20,499.00","12,255.00",2022-12-12
175,RBCL,Rastriya Beema Company Limited,37.81,"12,596.90","12,597.00","12,400.00","12,450.00","12,503.16",178.00,"12,350.00","2,225,562.00",14,100.0,197.0,0.81,1.59,-0.43,"13,389.29","14,221.27","20,499.00","12,255.00",2022-12-13
176,RBCL,Rastriya Beema Company Limited,36.36,"12,624.00","12,650.00","12,500.00","12,500.00","12,551.16",260.00,"12,450.00","3,263,302.00",20,50.0,150.0,0.4,1.2,-0.41,"13,383.25","14,194.96","20,499.00","12,255.00",2022-12-14
183,RBCL,Rastriya Beema Company Limited,31.77,"12,598.00","12,598.00","12,372.00","12,550.00","12,413.91",145.00,"12,500.00","1,800,017.50",12,50.0,226.0,0.4,1.83,1.08,"13,376.17","14,166.96","20,499.00","12,255.00",2022-12-15
178,RBCL,Rastriya Beema Company Limited,42.55,"12,770.00","12,770.00","12,299.00","12,301.00","12,345.76",180.00,"12,550.00","2,222,236.00",17,-249.0,471.0,-1.98,3.83,-0.36,"13,369.22","14,138.85","20,499.00","12,255.00",2022-12-18
178,RBCL,Rastriya Beema Company Limited,27.03,"12,498.90","12,499.00","12,251.00","12,265.10","12,313.64",134.00,"12,301.00","1,650,028.00",13,-35.9,248.0,-0.29,2.02,-0.4,"13,364.34","14,109.00","20,499.00","12,251.00",2022-12-19
182,RBCL,Rastriya Beema Company Limited,27.03,"12,499.00","12,499.00","12,262.00","12,287.00","12,332.22",130.00,"12,265.10","1,603,189.00",13,21.9,237.0,0.18,1.93,-0.37,"13,358.82","14,076.43","20,499.00","12,251.00",2022-12-20
