209,SHPC,Sanima Mai Hydropower Limited,27.75,276.00,279.00,273.20,275.00,274.02,"21,460.00",276.30,"5,880,543.80",100,-1.3,5.8,-0.47,2.12,0.36,294.46,318.81,482.00,250.00,2022-12-07
209,SHPC,Sanima Mai Hydropower Limited,27.75,276.00,279.00,273.20,275.00,274.02,"21,460.00",276.30,"5,880,543.80",100,-1.3,5.8,-0.47,2.12,0.36,294.46,318.81,482.00,250.00,2022-12-09
212,SHPC,Sanima Mai Hydropower Limited,29.16,273.10,274.00,270.20,271.40,271.21,"26,375.00",275.00,"7,153,202.90",110,-3.6,3.8,-1.31,1.41,0.07,-,-,482.00,250.00,2022-12-11
208,SHPC,Sanima Mai Hydropower Limited,30.42,267.20,275.00,267.20,274.90,270.72,"28,704.00",271.40,"7,770,659.80",119,3.5,7.8,1.29,2.92,1.52,293.81,317.33,482.00,250.00,2022-12-12
211,SHPC,Sanima Mai Hydropower Limited,31.18,270.00,272.90,269.50,271.00,270.30,"14,934.00",274.90,"4,036,705.10",83,-3.9,3.4,-1.42,1.26,0.26,293.57,316.60,482.00,250.00,2022-12-13
208,SHPC,Sanima Mai Hydropower Limited,28.25,274.00,275.00,270.00,273.00,272.53,"26,926.00",271.00,"7,338,271.50",93,2.0,5.0,0.74,1.85,0.17,293.42,315.83,482.00,250.00,2022-12-14
216,SHPC,Sanima Mai Hydropower Limited,30.73,268.30,273.90,268.30,269.10,269.57,"10,165.00",273.00,"2,740,217.40",68,-3.9,5.6,-1.43,2.09,-0.18,293.16,315.05,482.00,250.00,2022-12-15
212,SHPC,Sanima Mai Hydropower Limited,23.9,265.10,269.00,265.10,267.90,267.34,"22,066.00",269.10,"5,899,050.40",110,-1.2,3.9,-0.45,1.47,0.21,292.98,314.29,482.00,250.00,2022-12-18
212,SHPC,Sanima Mai Hydropower Limited,25.07,267.00,271.90,264.10,270.00,269.05,"10,460.00",267.90,"2,814,282.80",68,2.1,7.8,0.78,2.95,0.35,292.91,313.56,482.00,250.00,2022-12-19
218,SHPC,Sanima Mai Hydropower Limited,25.07,267.20,273.80,267.20,271.00,271.56,"21,615.00",270.00,"5,869,829.00",92,1.0,6.6,0.37,2.47,-0.21,292.88,312.88,482.00,250.00,2022-12-20
