34,CZBIL,Citizens Bank International Limited,30.09,184.00,184.00,180.60,180.70,181.07,"19,377.00",181.50,"3,508,556.90",122,-0.8,3.4,-0.44,1.88,-0.2,197.70,214.68,323.30,180.00,2022-12-07
34,CZBIL,Citizens Bank International Limited,30.09,184.00,184.00,180.60,180.70,181.07,"19,377.00",181.50,"3,508,556.90",122,-0.8,3.4,-0.44,1.88,-0.2,197.70,214.68,323.30,180.00,2022-12-09
36,CZBIL,Citizens Bank International Limited,31.5,180.50,182.00,179.70,181.00,180.25,"18,089.00",180.70,"3,260,518.60",142,0.3,2.3,0.17,1.28,0.42,-,-,323.30,179.70,2022-12-11
36,CZBIL,Citizens Bank International Limited,34.5,183.00,184.60,179.00,181.00,180.74,"18,001.00",181.00,"3,253,569.60",128,0.0,5.6,0.0,3.13,0.14,197.11,213.64,323.30,179.00,2022-12-12
37,CZBIL,Citizens Bank International Limited,38.12,180.10,181.00,178.40,180.80,180.21,"21,918.00",181.00,"3,949,922.30",102,-0.2,2.6,-0.11,1.46,0.32,196.86,213.12,323.30,178.40,2022-12-13
37,CZBIL,Citizens Bank International Limited,40.37,180.80,181.50,177.20,180.00,179.81,"31,822.00",180.80,"5,722,001.50",114,-0.8,4.3,-0.44,2.43,0.1,196.62,212.60,323.30,177.20,2022-12-14
36,CZBIL,Citizens Bank International Limited,39.67,178.00,180.40,178.00,180.00,179.47,"21,500.00",180.00,"3,858,530.90",96,0.0,2.4,0.0,1.35,0.3,196.34,212.08,323.30,177.20,2022-12-15
37,CZBIL,Citizens Bank International Limited,34.32,178.00,180.00,176.50,178.50,177.70,"26,901.00",180.00,"4,780,207.60",144,-1.5,3.5,-0.83,1.98,0.45,196.07,211.55,323.30,176.50,2022-12-18
37,CZBIL,Citizens Bank International Limited,32.93,178.50,180.00,176.30,178.00,177.30,"21,583.00",178.50,"3,826,619.10",106,-0.5,3.7,-0.28,2.1,0.39,195.84,211.05,323.30,176.30,2022-12-19
37,CZBIL,Citizens Bank International Limited,32.93,180.50,180.50,177.00,179.90,178.63,"31,584.00",178.00,"5,641,775.00",129,1.9,3.5,1.07,1.98,0.71,195.61,210.55,323.30,176.30,2022-12-20
