49,GIBF1,Global IME Balance Fund-I,46.66,8.25,8.40,8.24,8.40,8.26,"2,250.00",8.33,"18,576.50",10,0.07,0.16,0.84,1.94,1.71,-,-,10.00,7.58,2022-12-07
49,GIBF1,Global IME Balance Fund-I,46.66,8.25,8.40,8.24,8.40,8.26,"2,250.00",8.33,"18,576.50",10,0.07,0.16,0.84,1.94,1.71,-,-,10.00,7.58,2022-12-09
53,GIBF1,Global IME Balance Fund-I,48.07,8.56,9.24,8.56,9.06,8.93,600.00,8.40,"5,356.00",6,0.66,0.68,7.86,7.94,1.47,-,-,10.00,7.58,2022-12-11
53,GIBF1,Global IME Balance Fund-I,46.01,8.88,8.88,8.15,8.16,8.23,"4,197.00",9.06,"34,524.30",16,-0.9,0.73,-9.93,8.96,-0.81,-,-,10.00,7.58,2022-12-12
52,GIBF1,Global IME Balance Fund-I,34.03,8.16,8.16,8.01,8.01,8.02,"5,720.00",8.16,"45,885.00",8,-0.15,0.15,-1.84,1.87,-0.15,-,-,10.00,7.58,2022-12-13
54,GIBF1,Global IME Balance Fund-I,33.36,7.85,8.00,7.85,8.00,7.98,"7,400.00",8.01,"59,072.00",13,-0.01,0.15,-0.12,1.91,0.22,-,-,10.00,7.58,2022-12-14
55,GIBF1,Global IME Balance Fund-I,32.55,7.90,7.90,7.55,7.70,7.65,"51,705.00",8.00,"395,790.55",19,-0.3,0.35,-3.75,4.64,0.59,-,-,10.00,7.55,2022-12-15
55,GIBF1,Global IME Balance Fund-I,33.78,7.70,8.42,7.65,8.42,8.16,"3,800.00",7.70,"31,011.78",20,0.72,0.77,9.35,10.07,3.08,-,-,10.00,7.55,2022-12-18
55,GIBF1,Global IME Balance Fund-I,30.26,8.26,8.26,7.70,7.77,7.88,"11,150.00",8.42,"87,844.50",17,-0.65,0.56,-7.72,7.27,-1.4,-,-,10.00,7.55,2022-12-19
55,GIBF1,Global IME Balance Fund-I,30.26,7.77,7.80,7.62,7.80,7.70,600.00,7.77,"4,620.00",6,0.03,0.18,0.39,2.36,1.28,-,-,10.00,7.55,2022-12-20
