183,RMDC,RMDC Laghubitta Bittiya Sanstha Limited,46.24,984.00,984.00,955.00,973.00,967.58,"18,987.00",980.00,"18,371,368.90",202,-7.0,29.0,-0.71,3.04,0.56,863.46,938.13,"1,398.90",707.00,2022-12-07
183,RMDC,RMDC Laghubitta Bittiya Sanstha Limited,46.24,984.00,984.00,955.00,973.00,967.58,"18,987.00",980.00,"18,371,368.90",202,-7.0,29.0,-0.71,3.04,0.56,863.46,938.13,"1,398.90",707.00,2022-12-09
186,RMDC,RMDC Laghubitta Bittiya Sanstha Limited,47.65,979.00,979.00,945.00,950.50,953.93,"15,717.00",973.00,"14,992,929.30",177,-22.5,34.0,-2.31,3.6,-0.36,-,-,"1,390.00",707.00,2022-12-11
184,RMDC,RMDC Laghubitta Bittiya Sanstha Limited,37.09,955.00,960.00,946.30,948.10,951.45,"6,117.00",950.50,"5,819,993.60",91,-2.4,13.7,-0.25,1.45,-0.35,863.13,934.46,"1,390.00",707.00,2022-12-12
182,RMDC,RMDC Laghubitta Bittiya Sanstha Limited,34.69,950.00,953.00,935.10,948.00,944.96,"3,008.00",948.10,"2,842,451.50",50,-0.1,17.9,-0.01,1.91,0.32,862.89,932.87,"1,390.00",707.00,2022-12-13
183,RMDC,RMDC Laghubitta Bittiya Sanstha Limited,29.74,940.00,955.00,940.00,943.10,946.17,"2,232.00",948.00,"2,111,848.50",38,-4.9,15.0,-0.52,1.6,-0.33,862.74,931.36,"1,390.00",707.00,2022-12-14
191,RMDC,RMDC Laghubitta Bittiya Sanstha Limited,25.09,946.00,950.00,937.00,938.00,941.58,"4,919.00",943.10,"4,631,629.20",66,-5.1,13.0,-0.54,1.39,-0.38,862.63,929.90,"1,390.00",707.00,2022-12-15
186,RMDC,RMDC Laghubitta Bittiya Sanstha Limited,28.24,938.00,950.00,935.00,943.00,943.63,"2,923.00",938.00,"2,758,215.90",45,5.0,15.0,0.53,1.6,-0.07,862.69,928.46,"1,390.00",707.00,2022-12-18
186,RMDC,RMDC Laghubitta Bittiya Sanstha Limited,31.47,950.00,959.80,946.60,950.00,952.20,"4,179.00",943.00,"3,979,257.70",44,7.0,13.2,0.74,1.39,-0.23,862.70,926.81,"1,390.00",707.00,2022-12-19
190,RMDC,RMDC Laghubitta Bittiya Sanstha Limited,31.47,960.00,965.00,959.00,961.00,961.21,"4,879.00",950.00,"4,689,726.90",69,11.0,6.0,1.16,0.63,-0.02,863.00,925.15,"1,390.00",707.00,2022-12-20
