68,HPPL,Himalayan Power Partner Limited,29.94,245.00,250.00,245.00,247.40,248.43,"7,062.00",250.00,"1,754,407.10",30,-2.6,5.0,-1.04,2.04,-0.42,322.18,349.91,543.60,243.80,2022-12-07
68,HPPL,Himalayan Power Partner Limited,29.94,245.00,250.00,245.00,247.40,248.43,"7,062.00",250.00,"1,754,407.10",30,-2.6,5.0,-1.04,2.04,-0.42,322.18,349.91,543.60,243.80,2022-12-09
72,HPPL,Himalayan Power Partner Limited,31.35,245.00,249.00,242.20,242.30,244.80,"12,287.00",247.40,"3,007,886.60",78,-5.1,6.8,-2.06,2.81,-1.03,-,-,543.60,242.20,2022-12-11
71,HPPL,Himalayan Power Partner Limited,33.0,240.10,249.90,240.10,248.70,245.72,"9,416.00",242.30,"2,313,688.10",58,6.4,9.8,2.64,4.08,1.2,320.78,347.57,543.60,240.10,2022-12-12
70,HPPL,Himalayan Power Partner Limited,37.21,244.00,252.00,244.00,249.50,247.84,"7,248.00",248.70,"1,796,313.30",39,0.8,8.0,0.32,3.28,0.67,320.28,346.46,543.60,240.10,2022-12-13
71,HPPL,Himalayan Power Partner Limited,37.65,244.60,249.90,242.20,246.60,245.65,"6,113.00",249.50,"1,501,672.80",35,-2.9,7.7,-1.16,3.18,0.38,319.88,345.24,543.60,240.10,2022-12-14
74,HPPL,Himalayan Power Partner Limited,34.64,241.80,244.00,237.20,237.40,238.38,"20,265.00",246.60,"4,830,861.00",89,-9.2,6.8,-3.73,2.87,-0.41,319.38,343.97,543.60,237.20,2022-12-15
73,HPPL,Himalayan Power Partner Limited,36.67,235.10,239.00,230.60,232.40,233.13,"17,675.00",237.40,"4,120,510.00",59,-5.0,8.4,-2.11,3.64,-0.31,318.82,342.72,543.60,230.60,2022-12-18
74,HPPL,Himalayan Power Partner Limited,25.7,232.00,236.60,229.00,230.00,231.67,"12,630.00",232.40,"2,926,018.70",60,-2.4,7.6,-1.03,3.32,-0.73,318.40,341.51,543.60,229.00,2022-12-19
73,HPPL,Himalayan Power Partner Limited,25.7,234.60,238.80,229.60,230.00,233.54,"10,050.00",230.00,"2,347,105.00",56,0.0,9.2,0.0,4.01,-1.54,317.95,340.39,543.60,229.00,2022-12-20
