76,JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,26.75,"2,757.00","2,815.00","2,757.00","2,772.00","2,780.49","2,311.00","2,785.00","6,425,722.20",117,-13.0,58.0,-0.47,2.1,-0.31,"2,702.21","2,874.20","5,368.00","2,430.00",2022-12-07
76,JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,26.75,"2,757.00","2,815.00","2,757.00","2,772.00","2,780.49","2,311.00","2,785.00","6,425,722.20",117,-13.0,58.0,-0.47,2.1,-0.31,"2,702.21","2,874.20","5,368.00","2,430.00",2022-12-09
80,JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,28.16,"2,772.00","2,780.00","2,719.00","2,733.00","2,739.85","3,864.00","2,772.00","10,586,779.10",204,-39.0,61.0,-1.41,2.24,-0.25,-,-,"5,368.00","2,430.00",2022-12-11
78,JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,30.24,"2,750.00","2,760.00","2,696.00","2,710.00","2,709.70","3,329.00","2,733.00","9,020,605.70",169,-23.0,64.0,-0.84,2.37,0.01,"2,700.94","2,849.30","5,368.00","2,430.00",2022-12-12
77,JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,29.9,"2,710.00","2,750.00","2,705.00","2,736.00","2,734.47","1,603.00","2,710.00","4,383,363.00",76,26.0,45.0,0.96,1.66,0.06,"2,700.53","2,836.06","5,368.00","2,430.00",2022-12-13
79,JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,26.87,"2,711.00","2,750.00","2,711.00","2,730.00","2,733.05","1,952.00","2,736.00","5,334,912.70",106,-6.0,39.0,-0.22,1.44,-0.11,"2,700.57","2,822.34","5,368.00","2,430.00",2022-12-14
83,JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,24.95,"2,710.00","2,745.00","2,700.00","2,703.00","2,707.97","2,932.00","2,730.00","7,939,780.30",139,-27.0,45.0,-0.99,1.67,-0.18,"2,699.98","2,808.31","5,368.00","2,430.00",2022-12-15
80,JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,26.5,"2,700.00","2,710.00","2,661.00","2,663.00","2,687.91","2,848.00","2,703.00","7,655,174.50",156,-40.0,49.0,-1.48,1.84,-0.94,"2,699.22","2,794.33","5,368.00","2,430.00",2022-12-18
81,JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,28.0,"2,650.10","2,665.00","2,627.00","2,644.00","2,642.80","3,081.00","2,663.00","8,142,470.40",150,-19.0,38.0,-0.71,1.45,0.05,"2,699.02","2,780.69","5,368.00","2,430.00",2022-12-19
80,JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,28.0,"2,695.00","2,713.00","2,650.00","2,702.00","2,688.66","4,409.00","2,644.00","11,854,312.70",190,58.0,63.0,2.19,2.38,0.49,"2,699.37","2,777.36","5,368.00","2,430.00",2022-12-20
