143,NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,27.65,723.00,729.00,716.00,720.00,723.23,"2,288.00",729.00,"1,654,755.40",66,-9.0,13.0,-1.23,1.82,-0.45,806.33,862.23,"1,331.00",697.00,2022-12-07
143,NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,27.65,723.00,729.00,716.00,720.00,723.23,"2,288.00",729.00,"1,654,755.40",66,-9.0,13.0,-1.23,1.82,-0.45,806.33,862.23,"1,331.00",697.00,2022-12-09
146,NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,29.06,710.00,717.00,703.00,710.00,710.82,"3,439.00",720.00,"2,444,510.40",91,-10.0,14.0,-1.39,1.99,-0.12,-,-,"1,331.00",697.00,2022-12-11
143,NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,31.23,717.00,718.00,710.20,712.50,713.78,"2,619.00",710.00,"1,869,383.80",74,2.5,7.8,0.35,1.1,-0.18,804.44,858.18,"1,331.00",697.00,2022-12-12
142,NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,30.11,711.00,720.00,710.50,715.00,712.85,"1,360.00",712.50,"969,470.50",60,2.5,9.5,0.35,1.34,0.3,803.66,856.23,"1,331.00",697.00,2022-12-13
143,NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,27.58,702.20,715.00,702.20,711.00,710.79,"1,530.00",715.00,"1,087,511.10",67,-4.0,12.8,-0.56,1.82,0.03,803.12,854.18,"1,331.00",697.00,2022-12-14
148,NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,25.23,710.00,715.00,703.20,706.40,707.86,"1,417.00",711.00,"1,003,032.10",54,-4.6,11.8,-0.65,1.68,-0.21,802.38,852.10,"1,331.00",697.00,2022-12-15
143,NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,24.57,702.00,705.00,694.00,697.00,698.53,"3,962.00",706.40,"2,767,564.80",111,-9.4,11.0,-1.33,1.59,-0.22,801.63,849.97,"1,331.00",694.00,2022-12-18
144,NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,38.11,688.00,710.00,687.30,710.00,698.39,"3,273.00",697.00,"2,285,821.60",82,13.0,22.7,1.87,3.3,1.64,801.13,848.00,"1,331.00",687.30,2022-12-19
147,NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,38.11,710.00,720.00,700.00,720.00,710.08,"3,588.00",710.00,"2,547,778.00",92,10.0,20.0,1.41,2.86,1.38,800.67,846.17,"1,331.00",687.30,2022-12-20
