54,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,30.52,801.00,801.00,801.00,801.00,801.00,10.00,786.00,"8,010.00",1,15.0,0.0,1.91,0.0,0.0,914.96,971.59,"1,510.00",750.00,2022-12-07
54,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,30.52,801.00,801.00,801.00,801.00,801.00,10.00,786.00,"8,010.00",1,15.0,0.0,1.91,0.0,0.0,914.96,971.59,"1,510.00",750.00,2022-12-09
58,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,31.93,801.00,801.00,779.10,779.10,786.28,243.00,801.00,"191,065.40",10,-21.9,21.9,-2.73,2.81,-0.92,-,-,"1,510.00",750.00,2022-12-11
58,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,33.94,788.00,820.00,780.00,820.00,800.28,320.00,779.10,"256,088.00",11,40.9,40.0,5.25,5.13,2.41,912.47,966.78,"1,510.00",750.00,2022-12-12
57,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,47.83,820.00,820.00,790.00,805.80,805.02,52.00,820.00,"41,861.20",4,-14.2,30.0,-1.73,3.8,0.1,911.58,964.46,"1,510.00",750.00,2022-12-13
59,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,41.83,802.00,802.00,795.00,802.00,800.64,72.00,805.80,"57,646.00",3,-3.8,7.0,-0.47,0.88,0.17,910.77,962.22,"1,510.00",750.00,2022-12-14
60,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,39.99,790.10,790.10,790.10,790.10,791.50,40.00,802.00,"31,659.80",3,-11.9,0.0,-1.48,0.0,-0.18,910.02,959.96,"1,510.00",750.00,2022-12-15
60,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,38.4,775.20,782.50,775.20,781.30,780.62,199.00,790.10,"155,343.30",9,-8.8,7.3,-1.11,0.94,0.09,908.90,957.58,"1,510.00",750.00,2022-12-18
60,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,29.01,767.50,782.80,767.50,775.00,770.44,156.00,781.30,"120,189.20",5,-6.3,15.3,-0.81,1.99,0.59,907.86,955.28,"1,510.00",750.00,2022-12-19
60,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,29.01,790.50,800.00,780.00,780.00,793.68,97.00,775.00,"76,987.00",7,5.0,20.0,0.65,2.56,-1.75,907.01,953.09,"1,510.00",750.00,2022-12-20
