222,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,36.36,"1,390.70","1,390.70","1,370.00","1,375.00","1,375.84",186.00,"1,419.00","255,905.90",12,-44.0,20.7,-3.1,1.51,-0.06,"1,543.54","1,579.13","2,660.00","1,331.00",2022-12-07
222,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,36.36,"1,390.70","1,390.70","1,370.00","1,375.00","1,375.84",186.00,"1,419.00","255,905.90",12,-44.0,20.7,-3.1,1.51,-0.06,"1,543.54","1,579.13","2,660.00","1,331.00",2022-12-09
228,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,37.77,"1,349.00","1,375.00","1,349.00","1,352.00","1,352.19",100.00,"1,375.00","135,219.00",7,-23.0,26.0,-1.67,1.93,-0.01,-,-,"2,125.00","1,331.00",2022-12-11
222,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,34.39,"1,350.00","1,382.00","1,350.00","1,382.00","1,357.49",132.00,"1,352.00","179,188.70",8,30.0,32.0,2.22,2.37,1.77,"1,541.29","1,573.36","2,125.00","1,331.00",2022-12-12
226,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,45.0,"1,361.10","1,380.00","1,361.00","1,380.00","1,369.31",39.00,"1,382.00","53,403.10",3,-2.0,19.0,-0.14,1.4,0.77,"1,540.49","1,570.61","2,125.00","1,331.00",2022-12-13
222,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,28.17,"1,385.00","1,385.00","1,380.00","1,380.00","1,381.63",32.00,"1,380.00","44,212.00",5,0.0,5.0,0.0,0.36,-0.12,"1,539.44","1,567.81","2,125.00","1,331.00",2022-12-14
231,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,37.21,"1,352.40","1,353.00","1,352.00","1,352.00","1,352.28",112.00,"1,380.00","151,455.20",6,-28.0,1.0,-2.03,0.07,-0.02,"1,538.16","1,565.02","2,125.00","1,331.00",2022-12-15
227,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,39.45,"1,355.00","1,355.00","1,350.00","1,350.00","1,352.33",30.00,"1,352.00","40,570.00",3,-2.0,5.0,-0.15,0.37,-0.17,"1,536.92","1,562.07","2,125.00","1,331.00",2022-12-18
227,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,25.32,"1,350.00","1,350.00","1,335.00","1,335.00","1,342.25",51.00,"1,350.00","68,455.00",4,-15.0,15.0,-1.11,1.12,-0.54,"1,535.59","1,559.05","2,125.00","1,331.00",2022-12-19
233,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,25.32,"1,361.70","1,370.00","1,350.00","1,350.00","1,359.55",140.00,"1,335.00","190,337.00",8,15.0,20.0,1.12,1.48,-0.71,"1,534.65","1,556.21","2,125.00","1,331.00",2022-12-20
