47,GFCL,Goodwill Finance Company Limited,31.55,438.50,449.90,438.50,440.00,441.31,"4,287.00",446.20,"1,891,901.70",31,-6.2,11.4,-1.39,2.6,-0.3,475.12,481.01,763.00,358.00,2022-12-07
47,GFCL,Goodwill Finance Company Limited,31.55,438.50,449.90,438.50,440.00,441.31,"4,287.00",446.20,"1,891,901.70",31,-6.2,11.4,-1.39,2.6,-0.3,475.12,481.01,763.00,358.00,2022-12-09
51,GFCL,Goodwill Finance Company Limited,32.97,448.00,448.00,434.70,434.80,435.92,"4,236.00",440.00,"1,846,555.90",42,-5.2,13.3,-1.18,3.06,-0.26,-,-,763.00,358.00,2022-12-11
51,GFCL,Goodwill Finance Company Limited,29.5,443.00,447.90,435.10,447.90,438.48,"8,061.00",434.80,"3,534,621.00",41,13.1,12.8,3.01,2.94,2.1,475.84,479.03,763.00,358.00,2022-12-12
50,GFCL,Goodwill Finance Company Limited,32.47,440.00,448.80,440.00,446.90,444.14,"1,977.00",447.90,"878,061.70",30,-1.0,8.8,-0.22,2.0,0.62,476.38,478.13,763.00,358.00,2022-12-13
52,GFCL,Goodwill Finance Company Limited,31.79,440.00,452.80,440.00,447.00,449.41,"2,628.00",446.90,"1,181,038.00",28,0.1,12.8,0.02,2.91,-0.54,477.01,477.14,763.00,358.00,2022-12-14
53,GFCL,Goodwill Finance Company Limited,41.5,439.00,448.00,439.00,446.10,444.96,"3,686.00",447.00,"1,640,134.50",22,-0.9,9.0,-0.2,2.05,0.25,477.54,476.16,763.00,358.00,2022-12-15
53,GFCL,Goodwill Finance Company Limited,42.48,437.30,438.00,430.00,430.00,435.17,"6,258.00",446.10,"2,723,276.80",38,-16.1,8.0,-3.61,1.86,-1.2,478.00,475.16,763.00,358.00,2022-12-18
53,GFCL,Goodwill Finance Company Limited,23.37,425.00,447.00,425.00,429.00,432.23,"1,318.00",430.00,"569,674.00",18,-1.0,22.0,-0.23,5.18,-0.75,478.54,474.28,763.00,358.00,2022-12-19
53,GFCL,Goodwill Finance Company Limited,23.37,437.50,440.00,433.00,439.00,435.90,"4,043.00",429.00,"1,762,355.70",36,10.0,7.0,2.33,1.62,0.71,479.07,473.58,763.00,358.00,2022-12-20
