231,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,28.05,694.10,709.00,694.00,709.00,704.49,"1,041.00",706.00,"733,372.50",19,3.0,15.0,0.42,2.16,0.64,761.74,-,"1,346.00",666.00,2022-12-07
231,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,28.05,694.10,709.00,694.00,709.00,704.49,"1,041.00",706.00,"733,372.50",19,3.0,15.0,0.42,2.16,0.64,761.74,-,"1,346.00",666.00,2022-12-09
237,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,29.47,710.00,735.00,700.00,700.00,704.57,"2,985.00",709.00,"2,103,146.00",40,-9.0,35.0,-1.27,5.0,-0.65,-,-,"1,346.00",666.00,2022-12-11
230,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,33.03,701.00,712.00,695.00,712.00,708.06,"1,947.00",700.00,"1,378,600.00",26,12.0,17.0,1.71,2.45,0.55,761.12,-,"1,346.00",666.00,2022-12-12
234,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,47.9,712.00,725.90,707.00,720.00,709.14,672.00,712.00,"476,540.00",16,8.0,18.9,1.12,2.67,1.51,761.16,-,"1,346.00",666.00,2022-12-13
231,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,37.12,720.00,720.00,705.60,713.00,707.84,766.00,720.00,"542,203.10",17,-7.0,14.4,-0.97,2.04,0.72,761.45,-,"1,346.00",666.00,2022-12-14
239,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,31.09,701.00,709.00,695.00,709.00,698.64,"2,793.00",713.00,"1,951,293.40",36,-4.0,14.0,-0.56,2.01,1.46,761.53,-,"1,346.00",666.00,2022-12-15
236,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,40.46,698.00,698.00,688.00,698.00,690.81,"2,097.00",709.00,"1,448,632.20",34,-11.0,10.0,-1.55,1.45,1.03,761.50,-,"1,346.00",666.00,2022-12-18
236,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,27.05,686.10,711.00,686.10,711.00,703.73,"1,232.00",698.00,"866,992.30",23,13.0,24.9,1.86,3.63,1.02,761.61,-,"1,346.00",666.00,2022-12-19
242,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,27.05,699.00,723.00,699.00,712.00,706.72,698.00,711.00,"493,289.00",16,1.0,24.0,0.14,3.43,0.74,761.64,-,"1,346.00",666.00,2022-12-20
