171,PRIN,Prabhu Insurance Company Limited,31.9,413.20,421.00,413.00,419.00,413.75,"1,106.00",416.00,"457,610.00",17,3.0,8.0,0.72,1.94,1.25,638.81,694.26,942.00,410.90,2022-12-07
171,PRIN,Prabhu Insurance Company Limited,31.9,413.20,421.00,413.00,419.00,413.75,"1,106.00",416.00,"457,610.00",17,3.0,8.0,0.72,1.94,1.25,638.81,694.26,942.00,410.90,2022-12-09
174,PRIN,Prabhu Insurance Company Limited,33.31,412.10,415.00,400.00,409.00,403.67,"7,018.00",419.00,"2,832,958.20",67,-10.0,15.0,-2.39,3.75,1.3,-,-,942.00,400.00,2022-12-11
172,PRIN,Prabhu Insurance Company Limited,37.71,405.00,413.00,399.00,406.00,404.43,"3,864.00",409.00,"1,562,736.70",34,-3.0,14.0,-0.73,3.51,0.39,631.39,689.44,942.00,399.00,2022-12-12
170,PRIN,Prabhu Insurance Company Limited,35.0,397.90,420.90,394.30,415.00,400.51,"2,477.00",406.00,"992,052.30",28,9.0,26.6,2.22,6.75,3.49,627.72,687.04,942.00,394.30,2022-12-13
171,PRIN,Prabhu Insurance Company Limited,39.87,406.80,412.00,400.00,412.00,405.84,407.00,415.00,"165,175.60",17,-3.0,12.0,-0.72,3.0,1.5,623.86,684.38,942.00,394.30,2022-12-14
178,PRIN,Prabhu Insurance Company Limited,31.59,405.00,405.00,399.00,399.00,403.10,"1,782.00",412.00,"718,315.50",13,-13.0,6.0,-3.16,1.5,-1.03,619.87,681.74,942.00,394.30,2022-12-15
173,PRIN,Prabhu Insurance Company Limited,33.81,400.00,400.10,399.00,399.00,399.78,944.00,399.00,"377,393.00",15,0.0,1.1,0.0,0.28,-0.2,615.78,679.06,942.00,394.30,2022-12-18
173,PRIN,Prabhu Insurance Company Limited,33.97,400.00,400.00,391.20,400.00,394.40,"1,548.00",399.00,"610,538.00",28,1.0,8.8,0.25,2.25,1.4,611.84,676.45,942.00,391.20,2022-12-19
177,PRIN,Prabhu Insurance Company Limited,33.97,392.00,401.00,392.00,399.00,397.52,513.00,400.00,"203,927.00",13,-1.0,9.0,-0.25,2.3,0.37,607.96,673.99,942.00,391.20,2022-12-20
