46,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,25.68,585.00,592.90,583.90,586.20,589.67,470.00,594.00,"277,146.50",13,-7.8,9.0,-1.31,1.54,-0.59,692.73,739.75,"1,139.00",566.00,2022-12-07
46,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,25.68,585.00,592.90,583.90,586.20,589.67,470.00,594.00,"277,146.50",13,-7.8,9.0,-1.31,1.54,-0.59,692.73,739.75,"1,139.00",566.00,2022-12-09
50,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,27.1,597.90,597.90,579.00,581.00,580.12,"1,209.00",586.20,"701,369.00",37,-5.2,18.9,-0.89,3.26,0.15,-,-,"1,139.00",566.00,2022-12-11
50,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,23.69,579.20,591.50,579.20,591.50,581.25,"2,565.00",581.00,"1,490,901.10",31,10.5,12.3,1.81,2.12,1.73,690.70,736.23,"1,139.00",566.00,2022-12-12
49,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,27.11,600.00,600.00,590.00,599.00,596.05,605.00,591.50,"360,610.00",26,7.5,10.0,1.27,1.69,0.49,689.95,734.51,"1,139.00",566.00,2022-12-13
51,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,33.89,610.00,610.00,588.00,588.00,596.71,325.00,599.00,"193,930.00",12,-11.0,22.0,-1.84,3.74,-1.48,689.30,732.62,"1,139.00",566.00,2022-12-14
52,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,24.32,577.00,588.00,577.00,586.10,583.76,563.00,588.00,"328,659.20",17,-1.9,11.0,-0.32,1.91,0.4,688.36,730.59,"1,139.00",566.00,2022-12-15
52,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,34.3,574.50,580.00,570.00,580.00,574.33,"1,770.00",586.10,"1,016,557.10",40,-6.1,10.0,-1.04,1.75,0.98,687.52,728.57,"1,139.00",566.00,2022-12-18
52,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,24.53,580.00,581.00,569.00,581.00,573.34,635.00,580.00,"364,073.70",13,1.0,12.0,0.17,2.11,1.32,686.79,726.58,"1,139.00",566.00,2022-12-19
52,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,24.53,581.00,590.00,581.00,588.00,586.96,"1,094.00",581.00,"642,131.00",23,7.0,9.0,1.2,1.55,0.18,685.92,724.85,"1,139.00",566.00,2022-12-20
