67,HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,32.89,98.00,98.00,96.70,96.70,96.99,"6,240.00",97.90,"605,202.00",19,-1.2,1.3,-1.23,1.34,-0.3,-,-,115.20,95.00,2022-12-07
67,HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,32.89,98.00,98.00,96.70,96.70,96.99,"6,240.00",97.90,"605,202.00",19,-1.2,1.3,-1.23,1.34,-0.3,-,-,115.20,95.00,2022-12-09
71,HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,34.3,96.60,97.00,96.50,97.00,96.71,"4,300.00",96.70,"415,865.00",4,0.3,0.5,0.31,0.52,0.3,-,-,115.20,95.00,2022-12-11
70,HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,33.03,96.60,96.60,95.80,96.00,95.99,"10,721.00",97.00,"1,029,108.60",26,-1.0,0.8,-1.03,0.84,0.01,-,-,115.20,95.00,2022-12-12
69,HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,37.04,97.00,97.40,96.00,96.00,96.29,"4,822.00",96.00,"464,306.80",19,0.0,1.4,0.0,1.46,-0.3,-,-,115.20,95.00,2022-12-13
70,HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,28.02,95.30,97.80,95.30,97.60,97.35,935.00,96.00,"91,024.00",7,1.6,2.5,1.67,2.62,0.25,-,-,115.20,95.00,2022-12-14
73,HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,38.21,99.50,99.50,97.30,97.30,98.22,"7,980.00",97.60,"783,786.50",24,-0.3,2.2,-0.31,2.26,-0.94,-,-,115.20,95.00,2022-12-15
72,HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,44.59,95.50,97.90,95.50,97.90,97.27,"23,247.00",97.30,"2,261,268.30",40,0.6,2.4,0.62,2.51,0.64,-,-,115.20,95.00,2022-12-18
73,HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,38.84,98.00,98.10,96.20,96.20,96.93,"4,110.00",97.90,"398,372.00",25,-1.7,1.9,-1.74,1.98,-0.76,-,-,115.20,95.00,2022-12-19
72,HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,38.84,97.00,98.00,96.00,98.00,96.78,"17,690.00",96.20,"1,712,095.00",43,1.8,2.0,1.87,2.08,1.24,-,-,115.20,95.00,2022-12-20
