194,SAPDBL,Saptakoshi Development Bank Limited,24.51,223.00,223.00,217.60,218.80,219.32,"4,851.00",223.00,"1,063,906.10",30,-4.2,5.4,-1.88,2.48,-0.24,231.90,247.71,410.00,178.10,2022-12-07
194,SAPDBL,Saptakoshi Development Bank Limited,24.51,223.00,223.00,217.60,218.80,219.32,"4,851.00",223.00,"1,063,906.10",30,-4.2,5.4,-1.88,2.48,-0.24,231.90,247.71,410.00,178.10,2022-12-09
196,SAPDBL,Saptakoshi Development Bank Limited,25.92,219.00,219.00,215.00,217.90,216.24,"4,092.00",218.80,"884,845.80",34,-0.9,4.0,-0.41,1.86,0.76,-,-,410.00,178.10,2022-12-11
194,SAPDBL,Saptakoshi Development Bank Limited,24.92,221.00,224.00,217.60,224.00,220.43,"1,908.00",217.90,"420,575.70",22,6.1,6.4,2.8,2.94,1.59,232.04,246.45,410.00,178.10,2022-12-12
192,SAPDBL,Saptakoshi Development Bank Limited,34.28,222.10,223.90,220.30,220.30,221.17,"2,013.00",224.00,"445,206.20",20,-3.7,3.6,-1.65,1.63,-0.39,232.18,245.76,410.00,178.10,2022-12-13
193,SAPDBL,Saptakoshi Development Bank Limited,30.84,220.00,221.50,218.00,219.00,219.50,"3,270.00",220.30,"717,752.50",19,-1.3,3.5,-0.59,1.61,-0.23,232.45,245.01,410.00,178.10,2022-12-14
201,SAPDBL,Saptakoshi Development Bank Limited,34.86,217.00,218.00,215.20,218.00,217.22,"2,065.00",219.00,"448,556.00",22,-1.0,2.8,-0.46,1.3,0.36,232.56,244.27,410.00,178.10,2022-12-15
196,SAPDBL,Saptakoshi Development Bank Limited,32.45,216.00,216.00,212.00,214.00,213.30,"4,724.00",218.00,"1,007,645.90",22,-4.0,4.0,-1.83,1.89,0.33,232.71,243.55,410.00,178.10,2022-12-18
196,SAPDBL,Saptakoshi Development Bank Limited,27.14,217.00,217.00,213.10,216.00,215.34,"3,340.00",214.00,"719,223.00",13,2.0,3.9,0.93,1.83,0.31,232.93,242.90,410.00,178.10,2022-12-19
200,SAPDBL,Saptakoshi Development Bank Limited,27.14,220.10,220.10,215.10,215.20,216.34,"2,035.00",216.00,"440,258.00",18,-0.8,5.0,-0.37,2.32,-0.53,233.10,242.26,410.00,178.10,2022-12-20
