158,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,32.67,745.00,750.10,745.00,750.00,749.79,236.00,760.00,"176,950.00",5,-10.0,5.1,-1.32,0.68,0.03,818.51,895.08,"1,575.00",702.00,2022-12-07
158,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,32.67,745.00,750.10,745.00,750.00,749.79,236.00,760.00,"176,950.00",5,-10.0,5.1,-1.32,0.68,0.03,818.51,895.08,"1,575.00",702.00,2022-12-09
161,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,34.08,745.00,745.00,721.00,725.00,724.23,443.00,750.00,"320,835.00",8,-25.0,24.0,-3.33,3.33,0.11,-,-,"1,575.00",702.00,2022-12-11
158,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,35.4,739.00,765.00,734.80,747.50,751.77,315.00,725.00,"236,806.90",13,22.5,30.2,3.1,4.11,-0.57,816.37,888.33,"1,575.00",702.00,2022-12-12
157,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,30.3,757.90,760.00,745.00,747.00,753.75,746.00,747.50,"562,294.00",15,-0.5,15.0,-0.07,2.01,-0.9,815.44,884.83,"1,575.00",702.00,2022-12-13
158,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,32.43,736.00,760.90,736.00,760.90,746.50,105.00,747.00,"78,383.00",6,13.9,24.9,1.86,3.38,1.89,814.66,881.51,"1,575.00",702.00,2022-12-14
164,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,31.06,746.00,746.00,735.00,746.00,739.43,77.00,760.90,"56,936.00",4,-14.9,11.0,-1.96,1.5,0.88,813.76,878.21,"1,575.00",702.00,2022-12-15
158,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,35.04,732.00,760.90,718.00,760.90,725.09,"1,359.00",746.00,"985,391.60",16,14.9,42.9,2.0,5.97,4.71,813.26,875.00,"1,575.00",702.00,2022-12-18
159,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,34.29,770.00,770.00,750.00,758.00,758.83,209.00,760.90,"158,595.00",7,-2.9,20.0,-0.38,2.67,-0.11,812.98,871.77,"1,575.00",702.00,2022-12-19
162,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,34.29,773.00,773.00,745.00,763.00,753.43,305.00,758.00,"229,795.00",12,5.0,28.0,0.66,3.76,1.25,812.63,868.44,"1,575.00",702.00,2022-12-20
