28,CHL,Chhyangdi Hydropower Company Limited,23.65,211.00,213.00,207.00,210.50,209.36,"3,553.00",211.80,"743,873.80",31,-1.3,6.0,-0.61,2.9,0.54,241.09,278.60,550.80,193.10,2022-12-07
28,CHL,Chhyangdi Hydropower Company Limited,23.65,211.00,213.00,207.00,210.50,209.36,"3,553.00",211.80,"743,873.80",31,-1.3,6.0,-0.61,2.9,0.54,241.09,278.60,550.80,193.10,2022-12-09
30,CHL,Chhyangdi Hydropower Company Limited,25.07,207.00,214.00,203.00,207.00,204.23,"5,621.00",210.50,"1,147,957.10",47,-3.5,11.0,-1.66,5.42,1.34,-,-,550.80,193.10,2022-12-11
30,CHL,Chhyangdi Hydropower Company Limited,28.0,204.00,209.10,202.90,205.10,204.64,"3,940.00",207.00,"806,265.80",34,-1.9,6.2,-0.92,3.06,0.23,240.01,275.72,550.80,193.10,2022-12-12
30,CHL,Chhyangdi Hydropower Company Limited,25.98,204.90,208.90,204.90,207.90,207.27,396.00,205.10,"82,078.40",10,2.8,4.0,1.37,1.95,0.3,239.65,274.32,550.80,193.10,2022-12-13
30,CHL,Chhyangdi Hydropower Company Limited,24.32,205.00,208.20,201.00,205.00,205.77,"1,833.00",207.90,"377,168.10",20,-2.9,7.2,-1.39,3.58,-0.37,239.37,272.87,550.80,193.10,2022-12-14
29,CHL,Chhyangdi Hydropower Company Limited,24.34,203.10,208.00,203.00,203.00,204.52,"3,599.00",205.00,"736,073.90",35,-2.0,5.0,-0.98,2.46,-0.75,239.00,271.46,550.80,193.10,2022-12-15
30,CHL,Chhyangdi Hydropower Company Limited,32.68,203.00,203.00,200.00,201.00,201.02,"8,429.00",203.00,"1,694,413.00",39,-2.0,3.0,-0.99,1.5,-0.01,238.67,270.07,550.80,193.10,2022-12-18
30,CHL,Chhyangdi Hydropower Company Limited,30.44,200.00,204.00,198.00,202.10,200.20,"1,360.00",201.00,"272,275.50",14,1.1,6.0,0.55,3.03,0.94,238.52,268.75,550.80,193.10,2022-12-19
30,CHL,Chhyangdi Hydropower Company Limited,30.44,199.40,203.80,199.40,203.00,200.77,"6,212.00",202.10,"1,247,209.60",44,0.9,4.4,0.45,2.21,1.1,238.38,267.51,550.80,193.10,2022-12-20
