83,KEF,Kumari Equity Fund,35.0,8.02,8.22,8.02,8.22,8.08,"5,225.00",8.07,"42,195.25",10,0.15,0.2,1.86,2.49,1.76,8.48,8.69,10.07,7.73,2022-12-07
83,KEF,Kumari Equity Fund,35.0,8.02,8.22,8.02,8.22,8.08,"5,225.00",8.07,"42,195.25",10,0.15,0.2,1.86,2.49,1.76,8.48,8.69,10.07,7.73,2022-12-09
86,KEF,Kumari Equity Fund,36.41,8.06,8.16,8.00,8.04,8.05,"9,400.00",8.22,"75,684.00",14,-0.18,0.16,-2.19,2.0,-0.14,-,-,10.07,7.73,2022-12-11
85,KEF,Kumari Equity Fund,31.17,8.04,8.04,7.90,7.93,7.97,500.00,8.04,"3,987.00",5,-0.11,0.14,-1.37,1.77,-0.55,8.47,8.68,10.07,7.73,2022-12-12
83,KEF,Kumari Equity Fund,23.58,7.92,8.24,7.92,7.94,7.99,"2,870.00",7.93,"22,930.30",12,0.01,0.32,0.13,4.04,-0.63,8.46,8.67,10.07,7.73,2022-12-13
85,KEF,Kumari Equity Fund,25.83,7.94,8.10,7.94,8.10,8.02,"1,200.00",7.94,"9,628.00",5,0.16,0.16,2.02,2.02,0.95,8.46,8.66,10.07,7.73,2022-12-14
89,KEF,Kumari Equity Fund,21.22,7.95,8.06,7.86,8.06,7.98,"4,200.00",8.10,"33,507.00",14,-0.04,0.2,-0.49,2.54,1.02,8.46,8.65,10.07,7.73,2022-12-15
86,KEF,Kumari Equity Fund,42.14,8.01,8.17,8.00,8.00,8.04,"66,470.00",8.06,"534,427.90",18,-0.06,0.17,-0.74,2.13,-0.5,8.45,8.65,10.07,7.73,2022-12-18
87,KEF,Kumari Equity Fund,35.9,7.85,7.90,7.85,7.90,7.90,"2,600.00",8.00,"20,529.00",7,-0.1,0.05,-1.25,0.64,0.05,8.45,8.64,10.07,7.73,2022-12-19
87,KEF,Kumari Equity Fund,35.9,7.77,7.99,7.77,7.99,7.90,"23,570.00",7.90,"186,275.50",14,0.09,0.22,1.14,2.83,1.09,8.45,8.63,10.07,7.73,2022-12-20
