113,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,27.85,"3,976.00","4,049.00","3,976.00","4,005.00","4,012.63",623.00,"4,004.00","2,499,866.50",35,1.0,73.0,0.02,1.84,-0.19,"3,742.06","3,660.77","4,270.00","3,029.00",2022-12-07
113,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,27.85,"3,976.00","4,049.00","3,976.00","4,005.00","4,012.63",623.00,"4,004.00","2,499,866.50",35,1.0,73.0,0.02,1.84,-0.19,"3,742.06","3,660.77","4,270.00","3,029.00",2022-12-09
116,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,29.26,"4,050.00","4,050.00","3,970.00","4,028.00","3,990.74",887.00,"4,005.00","3,539,786.80",43,23.0,80.0,0.57,2.02,0.93,-,-,"4,270.00","3,029.00",2022-12-11
114,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,38.94,"3,990.00","4,050.00","3,975.00","4,039.00","4,013.10",543.00,"4,028.00","2,179,114.40",33,11.0,75.0,0.27,1.89,0.64,"3,752.84","3,664.84","4,270.00","3,029.00",2022-12-12
113,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,31.23,"4,060.00","4,090.00","3,975.50","3,985.00","4,004.83",538.00,"4,039.00","2,154,600.00",34,-54.0,114.5,-1.34,2.88,-0.5,"3,758.05","3,666.70","4,270.00","3,029.00",2022-12-13
114,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,29.25,"4,020.00","4,020.00","3,975.10","3,990.00","3,992.90",412.00,"3,985.00","1,645,073.00",28,5.0,44.9,0.13,1.13,-0.07,"3,763.57","3,668.69","4,270.00","3,156.00",2022-12-14
118,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,26.86,"3,990.00","4,000.00","3,976.00","3,995.00","3,989.75",276.00,"3,990.00","1,101,171.00",17,5.0,24.0,0.13,0.6,0.13,"3,769.11","3,670.64","4,270.00","3,156.00",2022-12-15
115,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,23.84,"3,940.00","3,984.00","3,931.00","3,950.00","3,955.60",732.00,"3,995.00","2,895,496.60",55,-45.0,53.0,-1.13,1.35,-0.14,"3,774.47","3,672.42","4,270.00","3,156.00",2022-12-18
116,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,24.85,"3,920.00","3,945.00","3,880.00","3,911.00","3,915.16",280.00,"3,950.00","1,096,245.00",23,-39.0,65.0,-0.99,1.68,-0.11,"3,780.03","3,674.00","4,270.00","3,156.00",2022-12-19
118,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,24.85,"3,890.00","3,924.00","3,850.00","3,880.00","3,881.18","1,197.00","3,911.00","4,645,778.10",60,-31.0,74.0,-0.79,1.92,-0.03,"3,785.28","3,675.64","4,270.00","3,156.00",2022-12-20
