KSBBLP,61.52,316.00,316.00,316.00,316.00,316.00,"18,000.00",316.00,"5,688,000.00",1,0.0,0.0,0.0,0.0,0.0,-,-,381.00,121.00,01_20_2022
KSBBLP,65.05,316.00,316.00,316.00,316.00,316.00,"18,000.00",316.00,"5,688,000.00",1,0.0,0.0,0.0,0.0,0.0,-,-,381.00,121.00,01_21_2022
KSBBLP,65.05,316.00,316.00,316.00,316.00,316.00,"18,000.00",316.00,"5,688,000.00",1,0.0,0.0,0.0,0.0,0.0,-,-,381.00,121.00,01_22_2022
KSBBLP,51.95,316.00,316.00,316.00,316.00,316.00,"4,835.00",316.00,"1,527,860.00",1,0.0,0.0,0.0,0.0,0.0,-,-,381.00,121.00,02_22_2022
KSBBLP,37.5,310.00,310.00,310.00,310.00,310.00,"26,894.00",316.00,"8,337,140.00",1,-6.0,0.0,-1.9,0.0,0.0,-,-,381.00,121.00,03_22_2022
KSBBLP,33.25,310.00,310.00,310.00,310.00,310.00,"25,000.00",310.00,"7,750,000.00",1,0.00,0.00,0.0,0.0,0.0,-,-,381.00,121.00,04_24_2022
KSBBLP,31.7,310.00,310.00,310.00,310.00,310.00,"14,013.00",310.00,"4,344,030.00",1,0.0,0.0,0.0,0.0,0.0,-,-,381.00,121.00,06_03_2022
KSBBLP,29.58,310.00,310.00,310.00,310.00,310.00,"14,013.00",310.00,"4,344,030.00",1,0.0,0.0,0.0,0.0,0.0,-,-,381.00,121.00,06_04_2022
KSBBLP,29.58,310.00,310.00,310.00,310.00,310.00,"14,013.00",310.00,"4,344,030.00",1,0.0,0.0,0.0,0.0,0.0,-,-,381.00,121.00,06_05_2022
KSBBLP,29.37,310.00,310.00,310.00,310.00,310.00,"4,975.00",310.00,"1,542,250.00",1,0.0,0.0,0.0,0.0,0.0,-,-,381.00,121.00,06_14_2022
KSBBLP,25.73,310.00,310.00,310.00,310.00,310.00,"14,012.00",310.00,"4,343,720.00",1,0.0,0.0,0.0,0.0,0.0,-,-,381.00,121.00,06_22_2022
KSBBLP,28.08,186.00,186.00,186.00,186.00,186.00,"19,336.00",186.00,"3,596,496.00",8,0.0,0.0,0.0,0.0,0.0,-,-,381.00,186.00,09_04_2022
