SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
122,NBF2,Nabil Balanced Fund - 2,36.51,7.89,7.89,7.89,7.89,7.89,"1,650.00",8.05,"13,018.50",2,-0.16,0.0,-1.99,0.0,0.0,9.51,9.90,11.85,7.84,2022-12-07
122,NBF2,Nabil Balanced Fund - 2,36.51,7.89,7.89,7.89,7.89,7.89,"1,650.00",8.05,"13,018.50",2,-0.16,0.0,-1.99,0.0,0.0,9.51,9.90,11.85,7.84,2022-12-09
125,NBF2,Nabil Balanced Fund - 2,37.92,7.95,7.95,7.45,7.59,7.72,"23,600.00",7.89,"182,220.00",23,-0.3,0.5,-3.8,6.71,-1.73,-,-,11.85,7.45,2022-12-11
123,NBF2,Nabil Balanced Fund - 2,41.32,7.70,7.70,7.55,7.55,7.59,"15,700.00",7.59,"119,175.00",12,-0.04,0.15,-0.53,1.99,-0.54,9.46,9.86,11.85,7.45,2022-12-12
123,NBF2,Nabil Balanced Fund - 2,43.42,7.60,8.02,7.60,8.02,7.78,"2,600.00",7.55,"20,232.00",8,0.47,0.42,6.23,5.53,2.97,9.44,9.85,11.85,7.45,2022-12-13
123,NBF2,Nabil Balanced Fund - 2,40.66,8.18,8.18,8.00,8.16,8.06,"1,000.00",8.02,"8,064.00",8,0.14,0.18,1.75,2.25,1.18,9.41,9.83,11.85,7.45,2022-12-14
127,NBF2,Nabil Balanced Fund - 2,41.45,8.32,8.32,7.57,7.57,7.86,"7,175.00",8.16,"56,412.75",16,-0.59,0.75,-7.23,9.91,-3.86,9.39,9.81,11.85,7.45,2022-12-15
124,NBF2,Nabil Balanced Fund - 2,40.35,7.46,7.46,7.46,7.46,7.46,100.00,7.57,746.00,1,-0.11,0.0,-1.45,0.0,0.0,9.36,9.80,11.85,7.45,2022-12-18
126,NBF2,Nabil Balanced Fund - 2,28.63,7.60,7.90,7.60,7.90,7.72,500.00,7.46,"3,860.00",5,0.44,0.3,5.9,3.95,2.28,9.34,9.78,11.85,7.45,2022-12-19
127,NBF2,Nabil Balanced Fund - 2,28.63,7.76,7.76,7.75,7.76,7.75,"2,850.00",7.90,"22,099.50",5,-0.14,0.01,-1.77,0.13,0.07,9.31,9.76,11.85,7.45,2022-12-20
125,NBF2,Nabil Balanced Fund - 2,27.66,7.76,7.76,7.75,7.75,7.75,"4,000.00",7.76,"31,002.30",3,-0.01,0.01,-0.13,0.13,-0.01,9.29,9.75,11.85,7.45,2022-12-21
122,NBF2,Nabil Balanced Fund - 2,44.05,7.60,7.67,7.46,7.66,7.56,"8,500.00",7.75,"64,239.00",7,-0.09,0.21,-1.16,2.82,1.34,9.26,9.73,11.85,7.45,2022-12-22
122,NBF2,Nabil Balanced Fund - 2,44.12,7.81,8.26,7.81,8.26,8.00,"4,655.00",7.66,"37,250.30",5,0.6,0.45,7.83,5.76,3.12,9.24,9.71,11.85,7.45,2022-12-26
129,NBF2,Nabil Balanced Fund - 2,44.88,8.30,8.32,8.10,8.10,8.27,"9,200.00",8.26,"76,104.00",11,-0.16,0.22,-1.94,2.72,-2.13,9.22,9.70,11.85,7.45,2022-12-27
127,NBF2,Nabil Balanced Fund - 2,53.36,8.00,8.02,7.96,7.96,7.99,"18,460.00",8.10,"147,422.80",15,-0.14,0.06,-1.73,0.75,-0.33,9.20,9.68,11.85,7.45,2022-12-28
128,NBF2,Nabil Balanced Fund - 2,53.36,7.83,7.96,7.81,7.81,7.88,"30,600.00",7.96,"241,145.40",15,-0.15,0.15,-1.88,1.92,-0.9,9.19,9.66,11.85,7.45,2022-12-29
131,NBF2,Nabil Balanced Fund - 2,36.26,7.96,7.96,7.95,7.95,7.96,"13,500.00",7.81,"107,455.00",4,0.14,0.01,1.79,0.13,-0.12,9.17,9.64,11.85,7.45,2023-01-01
