SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
156,NRIC,Nepal Reinsurance Company Limited,28.16,685.10,735.00,685.10,688.10,694.87,"18,538.00",696.80,"12,881,414.80",177,-8.7,49.9,-1.25,7.28,-0.98,706.57,795.25,"1,384.00",565.00,2022-12-07
156,NRIC,Nepal Reinsurance Company Limited,28.16,685.10,735.00,685.10,688.10,694.87,"18,538.00",696.80,"12,881,414.80",177,-8.7,49.9,-1.25,7.28,-0.98,706.57,795.25,"1,384.00",565.00,2022-12-09
159,NRIC,Nepal Reinsurance Company Limited,29.58,689.00,690.00,670.50,675.00,677.17,"26,088.00",688.10,"17,665,905.20",245,-13.1,19.5,-1.9,2.91,-0.32,-,-,"1,384.00",565.00,2022-12-11
156,NRIC,Nepal Reinsurance Company Limited,33.83,679.50,717.00,667.00,699.80,681.99,"21,091.00",675.00,"14,383,855.80",241,24.8,50.0,3.67,7.5,2.54,705.59,789.51,"1,384.00",565.00,2022-12-12
155,NRIC,Nepal Reinsurance Company Limited,47.23,690.00,712.00,688.00,699.00,699.37,"21,479.00",699.80,"15,021,751.50",193,-0.8,24.0,-0.11,3.49,-0.05,705.57,786.86,"1,384.00",565.00,2022-12-13
156,NRIC,Nepal Reinsurance Company Limited,36.19,708.00,708.00,689.30,695.00,698.36,"16,650.00",699.00,"11,627,760.40",204,-4.0,18.7,-0.57,2.71,-0.48,705.92,784.18,"1,384.00",565.00,2022-12-14
162,NRIC,Nepal Reinsurance Company Limited,35.56,703.00,703.00,679.30,680.00,685.86,"8,596.00",695.00,"5,895,648.60",133,-15.0,23.7,-2.16,3.49,-0.86,706.03,781.37,"1,384.00",565.00,2022-12-15
156,NRIC,Nepal Reinsurance Company Limited,41.32,672.00,680.00,659.20,660.00,669.02,"24,683.00",680.00,"16,513,488.40",284,-20.0,20.8,-2.94,3.16,-1.37,706.17,778.48,"1,384.00",565.00,2022-12-18
157,NRIC,Nepal Reinsurance Company Limited,30.45,665.00,671.00,650.00,657.10,661.61,"24,651.00",660.00,"16,309,238.10",186,-2.9,21.0,-0.44,3.23,-0.69,706.56,775.55,"1,384.00",565.00,2022-12-19
160,NRIC,Nepal Reinsurance Company Limited,30.45,660.00,686.90,656.00,679.90,677.11,"33,715.00",657.10,"22,828,774.00",234,22.8,30.9,3.47,4.71,0.41,707.21,772.97,"1,384.00",565.00,2022-12-20
157,NRIC,Nepal Reinsurance Company Limited,36.95,670.00,689.00,670.00,672.00,674.38,"14,460.00",679.90,"9,751,537.00",153,-7.9,19.0,-1.16,2.84,-0.35,707.29,770.42,"1,384.00",565.00,2022-12-21
153,NRIC,Nepal Reinsurance Company Limited,35.12,665.00,675.00,660.00,660.20,664.78,"22,215.00",672.00,"14,768,078.10",199,-11.8,15.0,-1.76,2.27,-0.69,707.25,767.89,"1,384.00",565.00,2022-12-22
154,NRIC,Nepal Reinsurance Company Limited,41.19,673.40,694.00,673.40,691.00,687.26,"50,588.00",660.20,"34,766,902.50",427,30.8,20.6,4.67,3.06,0.54,707.42,765.37,"1,384.00",565.00,2022-12-26
163,NRIC,Nepal Reinsurance Company Limited,51.29,691.00,730.00,691.00,718.00,716.17,"64,376.00",691.00,"46,104,069.60",627,27.0,39.00,3.91,5.64,0.26,707.37,763.10,"1,384.00",565.00,2022-12-27
160,NRIC,Nepal Reinsurance Company Limited,55.3,718.00,746.60,702.00,736.50,729.11,"75,966.00",718.00,"55,387,745.10",634,18.5,44.6,2.58,6.35,1.0,706.89,761.03,"1,342.30",565.00,2022-12-28
161,NRIC,Nepal Reinsurance Company Limited,55.3,741.90,792.00,724.00,776.00,761.65,"62,970.00",736.50,"47,961,022.60",635,39.5,68.0,5.36,9.39,1.85,706.65,759.15,"1,342.30",565.00,2022-12-29
165,NRIC,Nepal Reinsurance Company Limited,56.35,790.00,822.00,770.00,793.00,796.26,"110,771.00",776.00,"88,202,860.30",752,17.0,52.00,2.19,6.75,-0.41,706.36,757.50,"1,342.30",565.00,2023-01-01
157,NRIC,Nepal Reinsurance Company Limited,56.35,790.00,831.00,776.00,810.00,804.91,"81,628.00",793.00,"65,703,082.40",663,17.0,55.0,2.14,7.09,0.63,706.45,756.07,"1,342.30",565.00,2023-01-02
160,NRIC,Nepal Reinsurance Company Limited,55.66,815.00,846.00,789.10,797.00,814.27,"98,668.00",810.00,"80,342,818.70",725,-13.0,56.9,-1.6,7.21,-2.17,706.66,754.55,"1,342.30",565.00,2023-01-03
161,NRIC,Nepal Reinsurance Company Limited,56.83,800.00,856.80,799.00,835.00,827.61,"117,626.00",797.00,"97,348,820.50",856,38.0,57.8,4.77,7.23,0.88,707.08,753.37,"1,342.30",565.00,2023-01-04
161,NRIC,Nepal Reinsurance Company Limited,53.39,851.70,854.00,830.00,831.00,839.85,"119,382.00",835.00,"100,263,016.80",732,-4.0,24.0,-0.48,2.89,-1.07,707.45,752.33,"1,342.30",565.00,2023-01-05
162,NRIC,Nepal Reinsurance Company Limited,54.59,831.00,884.00,820.00,855.00,849.32,"126,083.00",831.00,"107,084,727.80",746,24.00,64.00,2.89,7.8,0.66,-,-,"1,342.30",565.00,2023-01-08
