SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
91,LBBL,Lumbini Bikas Bank Limited,34.52,322.00,325.00,320.00,324.00,322.01,"14,799.00",325.10,"4,765,431.00",97,-1.1,5.0,-0.34,1.56,0.61,362.69,382.03,586.00,290.10,2022-12-07
91,LBBL,Lumbini Bikas Bank Limited,34.52,322.00,325.00,320.00,324.00,322.01,"14,799.00",325.10,"4,765,431.00",97,-1.1,5.0,-0.34,1.56,0.61,362.69,382.03,586.00,290.10,2022-12-09
94,LBBL,Lumbini Bikas Bank Limited,35.93,321.00,322.00,315.00,315.50,317.12,"14,596.00",324.00,"4,628,721.90",128,-8.5,7.0,-2.62,2.22,-0.51,-,-,577.00,290.10,2022-12-11
93,LBBL,Lumbini Bikas Bank Limited,33.62,314.00,322.00,312.00,322.00,318.63,"15,860.00",315.50,"5,053,500.70",80,6.5,10.0,2.06,3.21,1.05,362.30,380.17,577.00,290.10,2022-12-12
91,LBBL,Lumbini Bikas Bank Limited,38.02,322.00,323.50,316.00,316.00,320.09,"12,113.00",322.00,"3,877,254.90",84,-6.0,7.5,-1.86,2.37,-1.29,362.18,379.29,577.00,290.10,2022-12-13
93,LBBL,Lumbini Bikas Bank Limited,35.55,314.00,322.00,314.00,317.00,317.91,"3,937.00",316.00,"1,251,622.00",35,1.0,8.0,0.32,2.55,-0.29,362.20,378.33,577.00,290.10,2022-12-14
97,LBBL,Lumbini Bikas Bank Limited,30.26,315.10,318.00,309.00,314.00,312.68,"29,505.00",317.00,"9,225,668.90",138,-3.0,9.0,-0.95,2.91,0.42,362.09,377.30,577.00,290.10,2022-12-15
94,LBBL,Lumbini Bikas Bank Limited,41.15,314.00,314.00,307.80,310.00,309.04,"16,252.00",314.00,"5,022,589.10",96,-4.0,6.2,-1.27,2.01,0.31,362.05,376.28,577.00,290.10,2022-12-18
95,LBBL,Lumbini Bikas Bank Limited,36.17,310.00,315.20,309.10,314.00,312.50,"7,513.00",310.00,"2,347,776.80",54,4.0,6.1,1.29,1.97,0.48,362.16,375.34,577.00,290.10,2022-12-19
95,LBBL,Lumbini Bikas Bank Limited,36.17,314.00,316.70,310.10,313.00,312.14,"15,144.00",314.00,"4,727,017.60",83,-1.0,6.6,-0.32,2.13,0.28,362.21,374.46,577.00,290.10,2022-12-20
94,LBBL,Lumbini Bikas Bank Limited,39.46,308.10,318.00,308.10,313.00,312.88,"22,755.00",313.00,"7,119,523.70",80,0.0,9.9,0.0,3.21,0.04,362.02,373.69,577.00,290.10,2022-12-21
93,LBBL,Lumbini Bikas Bank Limited,41.24,311.00,314.80,307.20,314.70,312.24,"14,194.00",313.00,"4,431,914.90",62,1.7,7.6,0.54,2.47,0.78,361.94,372.91,577.00,290.10,2022-12-22
93,LBBL,Lumbini Bikas Bank Limited,42.17,319.90,338.40,318.00,338.40,325.13,"65,410.00",314.70,"21,266,674.40",243,23.7,20.4,7.53,6.42,3.92,362.11,372.15,577.00,290.10,2022-12-26
98,LBBL,Lumbini Bikas Bank Limited,50.31,345.00,352.50,335.00,347.00,346.76,"104,119.00",338.40,"36,103,821.10",454,8.6,17.50,2.54,5.22,0.07,362.20,371.52,577.00,290.10,2022-12-27
96,LBBL,Lumbini Bikas Bank Limited,51.18,337.00,343.00,325.00,333.00,336.30,"36,900.00",336.89,"12,409,572.20",198,-3.89,18.0,-1.15,5.54,-0.99,361.97,370.83,577.00,290.10,2022-12-28
98,LBBL,Lumbini Bikas Bank Limited,51.18,330.00,348.00,329.30,345.30,341.17,"47,548.00",333.00,"16,221,759.40",222,12.3,18.7,3.69,5.68,1.2,361.92,370.24,577.00,290.10,2022-12-29
99,LBBL,Lumbini Bikas Bank Limited,38.4,347.00,353.00,336.00,337.50,344.42,"86,304.00",345.30,"29,724,878.20",360,-7.8,17.00,-2.26,5.06,-2.05,361.69,369.66,577.00,290.10,2023-01-01
93,LBBL,Lumbini Bikas Bank Limited,38.4,335.00,345.00,335.00,342.00,341.59,"36,272.00",337.50,"12,390,190.80",155,4.5,10.0,1.33,2.99,0.12,361.54,369.12,577.00,290.10,2023-01-02
95,LBBL,Lumbini Bikas Bank Limited,36.5,342.00,351.90,338.20,338.40,342.52,"38,682.00",342.00,"13,249,316.20",166,-3.6,13.7,-1.05,4.05,-1.22,361.43,368.50,577.00,290.10,2023-01-03
96,LBBL,Lumbini Bikas Bank Limited,57.56,339.00,356.00,336.10,356.00,348.00,"42,504.00",338.40,"14,791,411.30",201,17.6,19.9,5.2,5.92,2.25,361.44,368.01,577.00,290.10,2023-01-04
95,LBBL,Lumbini Bikas Bank Limited,61.65,363.10,369.00,350.00,360.00,354.96,"89,637.00",356.00,"31,817,125.00",378,4.0,19.0,1.12,5.43,1.4,361.56,367.57,577.00,290.10,2023-01-05
98,LBBL,Lumbini Bikas Bank Limited,62.85,360.00,372.00,352.80,360.00,361.20,"89,845.00",360.00,"32,451,596.30",389,0.00,19.20,0.0,5.44,-0.33,-,-,577.00,290.10,2023-01-08
