SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
12,BARUN,Barun Hydropower Company Limited,36.46,203.10,206.80,201.00,203.90,202.54,"15,060.00",205.00,"3,050,282.20",122,-1.1,5.8,-0.54,2.89,0.67,288.77,342.83,595.00,200.00,2022-12-07
12,BARUN,Barun Hydropower Company Limited,36.46,203.10,206.80,201.00,203.90,202.54,"15,060.00",205.00,"3,050,282.20",122,-1.1,5.8,-0.54,2.89,0.67,288.77,342.83,595.00,200.00,2022-12-09
12,BARUN,Barun Hydropower Company Limited,37.87,201.00,202.10,198.00,198.90,199.48,"13,793.00",203.90,"2,751,452.50",140,-5.0,4.1,-2.45,2.07,-0.29,-,-,595.00,198.00,2022-12-11
13,BARUN,Barun Hydropower Company Limited,34.93,200.00,204.00,198.00,203.90,201.10,"21,048.00",198.90,"4,232,762.90",141,5.0,6.0,2.51,3.03,1.37,284.76,339.47,595.00,198.00,2022-12-12
13,BARUN,Barun Hydropower Company Limited,36.58,200.00,205.00,200.00,200.00,201.86,"8,153.00",203.90,"1,645,726.40",75,-3.9,5.0,-1.91,2.5,-0.93,282.93,337.82,595.00,198.00,2022-12-13
12,BARUN,Barun Hydropower Company Limited,31.46,198.00,203.90,197.00,201.00,200.87,"10,121.00",200.00,"2,032,977.90",81,1.0,6.9,0.5,3.5,0.07,281.31,336.06,595.00,197.00,2022-12-14
13,BARUN,Barun Hydropower Company Limited,30.07,198.00,200.00,197.00,197.60,198.51,"11,915.00",201.00,"2,365,252.50",93,-3.4,3.0,-1.69,1.52,-0.46,279.54,334.28,595.00,197.00,2022-12-15
12,BARUN,Barun Hydropower Company Limited,40.99,198.00,199.00,193.00,193.00,194.51,"16,052.00",197.60,"3,122,244.80",135,-4.6,6.0,-2.33,3.11,-0.78,277.79,332.52,595.00,193.00,2022-12-18
13,BARUN,Barun Hydropower Company Limited,35.58,196.80,196.80,192.20,194.90,193.50,"7,316.00",193.00,"1,415,645.60",70,1.9,4.6,0.98,2.39,0.72,276.18,330.81,595.00,192.20,2022-12-19
12,BARUN,Barun Hydropower Company Limited,35.58,197.00,197.00,191.10,194.90,193.40,"23,738.00",194.90,"4,590,944.80",136,0.0,5.9,0.0,3.09,0.77,274.39,329.19,595.00,191.10,2022-12-20
14,BARUN,Barun Hydropower Company Limited,43.06,197.00,197.40,192.00,192.10,193.66,"7,614.00",194.90,"1,474,520.00",73,-2.8,5.4,-1.44,2.81,-0.81,272.28,327.62,595.00,191.10,2022-12-21
14,BARUN,Barun Hydropower Company Limited,37.17,191.00,194.70,190.30,192.00,191.56,"11,157.00",192.10,"2,137,210.90",82,-0.1,4.4,-0.05,2.31,0.23,270.17,326.05,595.00,190.30,2022-12-22
12,BARUN,Barun Hydropower Company Limited,40.69,194.80,203.00,194.00,202.00,198.90,"26,893.00",192.00,"5,349,024.00",160,10.0,9.0,5.21,4.64,1.53,268.12,324.50,595.00,190.30,2022-12-26
13,BARUN,Barun Hydropower Company Limited,51.52,205.00,220.00,205.00,216.80,215.13,"64,124.00",202.00,"13,795,262.80",411,14.8,15.00,7.33,7.32,0.77,265.84,323.13,595.00,190.30,2022-12-27
