SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
144,NICSF,NIC Asia Select-30,27.04,7.64,7.93,7.64,7.93,7.79,"4,700.00",7.74,"36,614.00",7,0.19,0.29,2.45,3.8,1.76,8.08,8.27,9.58,7.44,2022-12-07
144,NICSF,NIC Asia Select-30,27.04,7.64,7.93,7.64,7.93,7.79,"4,700.00",7.74,"36,614.00",7,0.19,0.29,2.45,3.8,1.76,8.08,8.27,9.58,7.44,2022-12-09
147,NICSF,NIC Asia Select-30,28.45,7.78,7.93,7.78,7.93,7.92,"13,400.00",7.93,"106,093.00",7,0.0,0.15,0.0,1.93,0.16,-,-,9.58,7.44,2022-12-11
143,NICSF,NIC Asia Select-30,49.34,7.93,8.05,7.80,7.85,7.99,"67,611.00",7.93,"540,314.40",17,-0.08,0.25,-1.01,3.21,-1.8,8.08,8.25,9.58,7.44,2022-12-13
144,NICSF,NIC Asia Select-30,36.98,7.72,7.93,7.72,7.93,7.80,"2,050.00",7.85,"15,999.00",7,0.08,0.21,1.02,2.72,1.58,8.08,8.25,9.58,7.44,2022-12-14
150,NICSF,NIC Asia Select-30,43.19,7.79,7.95,7.78,7.95,7.83,"13,600.00",7.93,"106,443.00",5,0.02,0.17,0.25,2.19,1.55,8.08,8.24,9.58,7.44,2022-12-15
144,NICSF,NIC Asia Select-30,34.64,7.80,7.80,7.65,7.65,7.66,"11,649.00",7.95,"89,255.85",9,-0.3,0.15,-3.77,1.96,-0.16,8.08,8.24,9.58,7.44,2022-12-18
145,NICSF,NIC Asia Select-30,26.75,7.57,7.72,7.57,7.72,7.58,"1,300.00",7.65,"9,856.00",8,0.07,0.15,0.92,1.98,1.79,8.08,8.23,9.58,7.44,2022-12-19
148,NICSF,NIC Asia Select-30,26.75,7.58,7.73,7.58,7.70,7.72,"37,050.00",7.72,"286,189.25",13,-0.02,0.15,-0.26,1.98,-0.32,8.07,8.22,9.58,7.44,2022-12-20
146,NICSF,NIC Asia Select-30,32.58,7.58,7.65,7.58,7.63,7.64,900.00,7.70,"6,872.00",3,-0.07,0.07,-0.91,0.92,-0.07,8.07,8.22,9.58,7.44,2022-12-21
141,NICSF,NIC Asia Select-30,23.2,7.54,7.64,7.54,7.60,7.61,"10,350.00",7.63,"78,761.00",14,-0.03,0.1,-0.39,1.33,-0.13,8.06,8.21,9.58,7.44,2022-12-22
143,NICSF,NIC Asia Select-30,30.44,7.50,7.85,7.50,7.85,7.74,"2,950.00",7.60,"22,840.00",9,0.25,0.35,3.29,4.67,1.37,8.06,8.20,9.58,7.44,2022-12-26
151,NICSF,NIC Asia Select-30,41.07,7.85,8.02,7.80,7.97,7.90,"38,370.00",7.85,"303,207.90",22,0.12,0.22,1.53,2.82,0.85,8.06,8.20,9.58,7.44,2022-12-27
148,NICSF,NIC Asia Select-30,44.09,8.12,8.12,7.66,7.85,7.85,"2,850.00",7.97,"22,359.00",10,-0.12,0.46,-1.51,6.01,0.06,8.06,8.19,9.58,7.44,2022-12-28
149,NICSF,NIC Asia Select-30,44.09,7.81,8.00,7.79,7.85,7.88,"22,500.00",7.85,"177,328.10",19,0.0,0.21,0.0,2.7,-0.4,8.05,8.18,9.58,7.44,2022-12-29
153,NICSF,NIC Asia Select-30,46.36,7.85,7.93,7.85,7.90,7.91,"3,600.00",7.85,"28,461.00",6,0.05,0.08,0.64,1.02,-0.07,8.05,8.18,9.58,7.44,2023-01-01
145,NICSF,NIC Asia Select-30,46.36,7.75,8.04,7.60,8.04,7.72,"88,636.00",7.90,"684,018.35",29,0.14,0.44,1.77,5.79,4.02,8.05,8.18,9.58,7.44,2023-01-02
149,NICSF,NIC Asia Select-30,51.22,7.88,8.05,7.78,8.05,7.99,"17,771.00",8.04,"141,987.60",26,0.01,0.27,0.12,3.47,0.75,8.04,8.17,9.58,7.44,2023-01-03
149,NICSF,NIC Asia Select-30,56.84,8.00,8.21,8.00,8.19,8.06,"30,230.00",8.05,"243,673.00",21,0.14,0.21,1.74,2.63,1.58,8.04,8.17,9.58,7.44,2023-01-04
147,NICSF,NIC Asia Select-30,61.3,8.35,8.35,8.03,8.18,8.21,"37,306.00",8.19,"306,388.40",23,-0.01,0.32,-0.12,3.99,-0.4,8.04,8.17,9.58,7.44,2023-01-05
150,NICSF,NIC Asia Select-30,62.5,8.02,8.45,7.90,8.13,8.30,"46,050.00",8.18,"382,006.60",27,-0.05,0.55,-0.61,6.96,-2.04,-,-,9.58,7.44,2023-01-08
148,NICSF,NIC Asia Select-30,61.55,8.00,8.50,8.00,8.49,8.29,"28,718.00",8.13,"237,992.42",20,0.36,0.5,4.43,6.25,2.39,8.04,8.16,9.58,7.44,2023-01-09
144,NICSF,NIC Asia Select-30,60.76,8.33,8.56,8.17,8.56,8.37,"53,500.00",8.49,"447,978.00",33,0.07,0.39,0.82,4.77,2.18,8.05,8.16,9.58,7.44,2023-01-10
142,NICSF,NIC Asia Select-30,60.78,8.50,8.79,8.39,8.79,8.51,"67,170.00",8.56,"571,351.00",41,0.23,0.4,2.69,4.77,3.23,8.05,8.16,9.58,7.44,2023-01-12
143,NICSF,NIC Asia Select-30,61.76,8.77,8.77,8.27,8.35,8.35,"22,100.00",8.79,"184,527.00",13,-0.44,0.5,-5.01,6.05,0.0,8.05,8.16,9.58,7.44,2023-01-17
140,NICSF,NIC Asia Select-30,55.3,8.35,8.51,8.30,8.30,8.36,"19,350.00",8.35,"161,812.50",25,-0.05,0.21,-0.6,2.53,-0.75,8.05,8.16,9.58,7.44,2023-01-18
138,NICSF,NIC Asia Select-30,42.04,8.30,8.50,8.20,8.35,8.35,"18,460.00",8.30,"154,178.60",19,0.05,0.3,0.6,3.66,-0.02,8.05,8.16,9.58,7.44,2023-01-19
