SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
241,UPCL,Universal Power Company Limited,27.45,212.20,219.00,212.20,216.00,216.16,"28,985.00",216.00,"6,265,485.10",107,0.0,6.8,0.0,3.2,-0.08,229.83,242.15,439.00,175.90,2022-12-07
241,UPCL,Universal Power Company Limited,27.45,212.20,219.00,212.20,216.00,216.16,"28,985.00",216.00,"6,265,485.10",107,0.0,6.8,0.0,3.2,-0.08,229.83,242.15,439.00,175.90,2022-12-09
247,UPCL,Universal Power Company Limited,28.86,211.70,216.40,210.00,211.90,211.54,"59,516.00",216.00,"12,590,033.10",203,-4.1,6.4,-1.9,3.05,0.17,-,-,439.00,175.90,2022-12-11
240,UPCL,Universal Power Company Limited,30.08,207.70,218.70,207.70,218.70,214.93,"44,329.00",211.90,"9,527,764.40",188,6.8,11.0,3.21,5.3,1.72,229.66,240.90,439.00,175.90,2022-12-12
243,UPCL,Universal Power Company Limited,36.71,214.40,218.00,214.40,216.40,215.92,"21,168.00",218.70,"4,570,499.00",104,-2.3,3.6,-1.05,1.68,0.22,229.73,240.32,439.00,175.90,2022-12-13
241,UPCL,Universal Power Company Limited,32.68,212.50,218.80,212.10,214.10,215.79,"11,533.00",216.40,"2,488,670.40",59,-2.3,6.7,-1.06,3.16,-0.79,229.91,239.65,439.00,175.90,2022-12-14
249,UPCL,Universal Power Company Limited,18.77,218.30,218.30,210.10,210.50,211.14,"34,413.00",214.10,"7,266,072.50",135,-3.6,8.2,-1.68,3.9,-0.31,230.00,238.99,439.00,175.90,2022-12-15
245,UPCL,Universal Power Company Limited,31.27,207.50,212.00,205.00,206.40,207.09,"36,226.00",210.50,"7,502,000.50",170,-4.1,7.0,-1.95,3.41,-0.33,230.09,238.33,439.00,175.90,2022-12-18
246,UPCL,Universal Power Company Limited,25.75,206.00,210.00,204.60,208.00,206.82,"22,723.00",206.40,"4,699,657.80",105,1.6,5.4,0.78,2.64,0.57,230.28,237.71,439.00,175.90,2022-12-19
252,UPCL,Universal Power Company Limited,25.75,208.00,212.00,206.00,207.80,209.68,"19,674.00",208.00,"4,125,270.40",110,-0.2,6.0,-0.1,2.91,-0.91,230.42,237.16,439.00,175.90,2022-12-20
247,UPCL,Universal Power Company Limited,31.39,208.90,209.00,205.00,206.90,206.45,"18,803.00",207.80,"3,881,969.80",94,-0.9,4.0,-0.43,1.95,0.22,230.39,236.63,439.00,175.90,2022-12-21
242,UPCL,Universal Power Company Limited,31.71,203.60,207.00,203.60,205.90,204.84,"23,845.00",206.90,"4,884,392.30",101,-1.0,3.4,-0.48,1.67,0.52,230.40,236.08,439.00,175.90,2022-12-22
245,UPCL,Universal Power Company Limited,36.93,208.00,224.00,208.00,223.90,217.70,"103,112.00",205.90,"22,447,218.50",395,18.0,16.0,8.74,7.69,2.77,230.61,235.58,439.00,175.90,2022-12-26
256,UPCL,Universal Power Company Limited,43.88,223.90,235.00,223.80,231.00,229.08,"233,186.00",223.90,"53,417,964.90",736,7.1,11.20,3.17,5.0,0.83,230.77,235.18,439.00,175.90,2022-12-27
252,UPCL,Universal Power Company Limited,54.29,235.60,235.60,223.00,226.90,228.90,"135,707.00",231.00,"31,063,136.90",443,-4.1,12.6,-1.77,5.65,-0.88,230.78,234.76,439.00,175.90,2022-12-28
252,UPCL,Universal Power Company Limited,54.29,231.40,237.00,224.10,233.40,232.45,"116,553.00",226.90,"27,092,815.60",427,6.5,12.9,2.86,5.76,0.41,230.87,234.39,439.00,175.90,2022-12-29
256,UPCL,Universal Power Company Limited,55.92,238.00,243.30,233.00,237.40,238.25,"234,115.00",233.40,"55,777,283.60",640,4.0,10.30,1.71,4.42,-0.36,230.89,234.10,439.00,175.90,2023-01-01
248,UPCL,Universal Power Company Limited,55.92,237.00,255.00,234.00,254.00,248.57,"318,763.00",237.40,"79,234,040.30","1,029",16.6,21.0,6.99,8.97,2.14,231.06,233.93,439.00,175.90,2023-01-02
252,UPCL,Universal Power Company Limited,57.23,256.90,257.00,243.40,246.00,248.85,"173,844.00",254.00,"43,261,411.30",577,-8.0,13.6,-3.15,5.59,-1.16,231.23,233.71,439.00,175.90,2023-01-03
253,UPCL,Universal Power Company Limited,57.76,248.00,260.00,244.00,256.00,251.81,"221,654.00",246.00,"55,813,782.70",616,10.0,16.0,4.07,6.56,1.64,231.44,233.57,439.00,175.90,2023-01-04
254,UPCL,Universal Power Company Limited,53.64,261.10,261.10,249.00,253.30,253.70,"169,256.00",256.00,"42,940,850.70",601,-2.7,12.1,-1.05,4.86,-0.16,231.66,233.47,439.00,175.90,2023-01-05
254,UPCL,Universal Power Company Limited,54.84,258.30,263.10,248.20,254.00,256.85,"181,354.00",253.30,"46,581,023.60",681,0.70,14.90,0.28,6.0,-1.12,-,-,439.00,175.90,2023-01-08
252,UPCL,Universal Power Company Limited,59.03,254.00,274.60,254.00,272.10,267.07,"310,706.00",254.00,"82,978,717.80","1,008",18.1,20.6,7.13,8.11,1.85,232.48,233.42,439.00,175.90,2023-01-09
249,UPCL,Universal Power Company Limited,55.51,277.50,290.00,265.00,268.10,278.84,"538,636.00",272.10,"150,190,585.90","1,643",-4.0,25.0,-1.47,9.43,-4.0,232.94,233.53,439.00,175.90,2023-01-10
247,UPCL,Universal Power Company Limited,55.54,273.40,283.00,260.00,261.20,267.97,"254,165.00",268.10,"68,109,637.90",872,-6.9,23.0,-2.57,8.85,-2.59,233.21,233.60,439.00,175.90,2023-01-12
245,UPCL,Universal Power Company Limited,50.73,265.00,274.00,256.00,272.00,267.24,"198,950.00",261.20,"53,168,199.30",744,10.8,18.0,4.13,7.03,1.75,233.56,233.79,434.90,175.90,2023-01-17
243,UPCL,Universal Power Company Limited,52.06,277.40,286.00,270.20,273.00,279.73,"333,103.00",272.00,"93,177,400.80",997,1.0,15.8,0.37,5.85,-2.46,233.94,233.98,434.90,175.90,2023-01-18
241,UPCL,Universal Power Company Limited,49.56,278.40,278.40,267.10,272.00,273.40,"113,914.00",273.00,"31,143,579.40",421,-1.0,11.3,-0.37,4.23,-0.51,234.29,234.04,434.90,175.90,2023-01-19
252,UPCL,Universal Power Company Limited,44.68,275.90,276.00,262.00,263.00,267.32,"94,900.00",272.00,"25,368,332.70",391,-9.0,14.0,-3.31,5.34,-1.64,234.56,234.04,434.90,175.90,2023-01-23
243,UPCL,Universal Power Company Limited,42.11,260.00,264.00,254.00,263.00,258.94,"133,326.00",263.00,"34,523,031.20",509,0.0,10.0,0.0,3.94,1.54,234.76,234.06,434.90,175.90,2023-01-24
256,UPCL,Universal Power Company Limited,40.87,262.00,271.00,262.00,267.00,267.85,"109,560.00",263.00,"29,345,184.30",391,4.0,9.0,1.52,3.44,-0.32,235.01,234.10,434.90,175.90,2023-01-25
249,UPCL,Universal Power Company Limited,42.17,272.30,274.90,266.20,266.20,270.12,"124,849.00",267.00,"33,724,278.60",447,-0.8,8.7,-0.3,3.27,-1.47,235.30,234.16,434.90,175.90,2023-01-26
262,UPCL,Universal Power Company Limited,42.01,262.00,270.00,262.00,262.30,265.47,"94,783.00",266.20,"25,161,585.40",335,-3.9,8.0,-1.47,3.05,-1.21,235.60,234.27,434.90,175.90,2023-01-29
251,UPCL,Universal Power Company Limited,41.26,265.00,265.00,253.00,253.50,256.96,"130,739.00",262.30,"33,594,954.40",448,-8.8,12.0,-3.35,4.74,-1.37,235.71,234.37,434.90,175.90,2023-01-30
254,UPCL,Universal Power Company Limited,37.48,258.00,259.90,249.30,253.00,253.04,"91,719.00",253.50,"23,208,461.00",366,-0.5,10.6,-0.2,4.25,-0.02,235.72,234.52,434.90,175.90,2023-01-31
