SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
90,KSBBL,Kamana Sewa Bikas Bank Limited,30.31,308.00,309.00,305.00,305.00,305.80,"13,320.00",309.00,"4,073,255.80",101,-4.0,4.0,-1.29,1.31,-0.26,336.26,365.97,590.00,296.10,2022-12-07
90,KSBBL,Kamana Sewa Bikas Bank Limited,30.31,308.00,309.00,305.00,305.00,305.80,"13,320.00",309.00,"4,073,255.80",101,-4.0,4.0,-1.29,1.31,-0.26,336.26,365.97,590.00,296.10,2022-12-09
93,KSBBL,Kamana Sewa Bikas Bank Limited,31.73,303.00,305.00,300.40,302.90,302.31,"18,115.00",305.00,"5,476,393.40",117,-2.1,4.6,-0.69,1.53,0.19,-,-,590.00,296.10,2022-12-11
92,KSBBL,Kamana Sewa Bikas Bank Limited,31.75,302.00,308.00,302.00,307.90,305.34,"15,818.00",302.90,"4,829,914.00",92,5.0,6.0,1.65,1.99,0.83,335.72,363.88,590.00,296.10,2022-12-12
90,KSBBL,Kamana Sewa Bikas Bank Limited,31.23,306.00,310.00,305.00,307.00,307.51,"6,801.00",307.90,"2,091,373.80",65,-0.9,5.0,-0.29,1.64,-0.17,335.57,362.90,590.00,296.10,2022-12-13
92,KSBBL,Kamana Sewa Bikas Bank Limited,27.65,306.00,307.00,304.20,306.00,305.78,"4,757.00",307.00,"1,454,593.80",47,-1.0,2.8,-0.33,0.92,0.07,335.50,361.81,590.00,296.10,2022-12-14
96,KSBBL,Kamana Sewa Bikas Bank Limited,30.43,301.30,305.00,301.30,302.90,302.87,"6,577.00",306.00,"1,991,975.00",69,-3.1,3.7,-1.01,1.23,0.01,335.32,360.67,590.00,296.10,2022-12-15
93,KSBBL,Kamana Sewa Bikas Bank Limited,37.22,300.00,304.80,297.00,297.50,298.91,"15,387.00",302.90,"4,599,305.50",123,-5.4,7.8,-1.78,2.63,-0.47,335.14,359.54,590.00,296.10,2022-12-18
94,KSBBL,Kamana Sewa Bikas Bank Limited,30.02,295.00,302.00,292.00,296.00,298.05,"14,200.00",297.50,"4,232,376.70",89,-1.5,10.0,-0.5,3.42,-0.69,335.04,358.44,590.00,292.00,2022-12-19
94,KSBBL,Kamana Sewa Bikas Bank Limited,30.02,295.00,305.00,295.00,300.00,300.29,"12,597.00",296.00,"3,782,740.00",58,4.0,10.0,1.35,3.39,-0.1,334.91,357.48,590.00,292.00,2022-12-20
93,KSBBL,Kamana Sewa Bikas Bank Limited,33.6,300.00,302.00,297.10,299.00,299.78,"13,469.00",300.00,"4,037,766.40",69,-1.0,4.9,-0.33,1.65,-0.26,334.57,356.52,590.00,292.00,2022-12-21
92,KSBBL,Kamana Sewa Bikas Bank Limited,33.57,295.00,298.00,295.00,296.50,296.70,"7,202.00",299.00,"2,136,811.00",63,-2.5,3.0,-0.84,1.02,-0.07,334.31,355.57,590.00,292.00,2022-12-22
92,KSBBL,Kamana Sewa Bikas Bank Limited,35.73,301.00,309.70,298.20,308.00,303.36,"53,880.00",296.50,"16,345,182.00",220,11.5,11.5,3.88,3.86,1.51,334.18,354.58,590.00,292.00,2022-12-26
96,KSBBL,Kamana Sewa Bikas Bank Limited,50.53,314.00,318.90,308.70,312.00,314.06,"48,227.00",308.00,"15,146,022.70",346,4.0,10.20,1.3,3.3,-0.66,333.94,353.70,590.00,292.00,2022-12-27
95,KSBBL,Kamana Sewa Bikas Bank Limited,51.52,312.00,316.80,306.20,309.00,312.31,"24,102.00",312.00,"7,527,216.50",159,-3.0,10.6,-0.96,3.46,-1.07,333.49,352.83,590.00,292.00,2022-12-28
97,KSBBL,Kamana Sewa Bikas Bank Limited,51.52,315.00,324.10,305.00,322.50,316.97,"54,457.00",309.00,"17,261,031.70",265,13.5,19.1,4.37,6.26,1.72,333.22,352.04,590.00,292.00,2022-12-29
98,KSBBL,Kamana Sewa Bikas Bank Limited,56.35,328.90,339.00,317.00,324.00,328.80,"84,194.00",322.50,"27,682,990.60",497,1.5,22.00,0.47,6.94,-1.48,332.84,351.30,590.00,292.00,2023-01-01
92,KSBBL,Kamana Sewa Bikas Bank Limited,56.35,321.00,330.10,321.00,328.00,327.67,"31,838.00",324.00,"10,432,492.90",194,4.0,9.1,1.23,2.83,0.1,332.56,350.63,590.00,292.00,2023-01-02
94,KSBBL,Kamana Sewa Bikas Bank Limited,53.57,328.00,334.20,322.00,324.30,327.69,"34,859.00",328.00,"11,422,873.20",238,-3.7,12.2,-1.13,3.79,-1.04,332.36,349.90,590.00,292.00,2023-01-03
95,KSBBL,Kamana Sewa Bikas Bank Limited,57.41,327.00,342.70,325.00,340.50,333.44,"54,466.00",324.30,"18,161,266.00",303,16.2,17.7,5.0,5.45,2.07,332.24,349.31,590.00,292.00,2023-01-04
