SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
217,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,40.84,"1,149.80","1,149.80","1,127.00","1,132.00","1,136.57","10,494.00","1,127.30","11,927,126.80",285,4.7,22.8,0.42,2.02,-0.4,"1,091.87","1,145.30","1,575.00",965.00,2022-12-07
217,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,40.84,"1,149.80","1,149.80","1,127.00","1,132.00","1,136.57","10,494.00","1,127.30","11,927,126.80",285,4.7,22.8,0.42,2.02,-0.4,"1,091.87","1,145.30","1,575.00",965.00,2022-12-09
220,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,42.26,"1,132.00","1,133.00","1,105.00","1,110.00","1,111.09","8,478.00","1,132.00","9,419,790.50",159,-22.0,28.0,-1.94,2.53,-0.1,-,-,"1,570.00",965.00,2022-12-11
216,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,33.03,"1,111.00","1,120.00","1,100.00","1,115.00","1,106.54","9,698.00","1,110.00","10,731,238.20",132,5.0,20.0,0.45,1.82,0.76,"1,090.76","1,142.17","1,570.00",965.00,2022-12-12
219,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,37.86,"1,134.00","1,134.00","1,108.00","1,115.00","1,114.98","2,916.00","1,115.00","3,251,272.10",69,0.0,26.0,0.0,2.35,0.0,"1,090.40","1,140.88","1,570.00",965.00,2022-12-13
215,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,31.13,"1,115.00","1,119.00","1,100.00","1,109.00","1,109.54","4,038.00","1,115.00","4,480,342.00",64,-6.0,19.0,-0.54,1.73,-0.05,"1,090.01","1,139.55","1,570.00",965.00,2022-12-14
224,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,26.84,"1,103.00","1,118.00","1,101.00","1,109.00","1,110.80","6,504.00","1,109.00","7,224,662.30",104,0.0,17.0,0.0,1.54,-0.16,"1,089.83","1,138.28","1,570.00",965.00,2022-12-15
220,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,32.27,"1,120.00","1,120.00","1,092.50","1,100.00","1,098.10","4,531.00","1,109.00","4,975,475.70",101,-9.0,27.5,-0.81,2.52,0.17,"1,089.53","1,136.97","1,525.90",965.00,2022-12-18
220,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,28.23,"1,100.00","1,111.00","1,095.00","1,105.00","1,102.63","3,425.00","1,100.00","3,776,494.70",70,5.0,16.0,0.45,1.46,0.21,"1,089.39","1,135.42","1,525.90",965.00,2022-12-19
226,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,28.23,"1,124.00","1,125.00","1,110.00","1,112.00","1,117.55","3,231.00","1,105.00","3,610,796.00",76,7.0,15.0,0.63,1.35,-0.5,"1,089.31","1,133.95","1,525.90",965.00,2022-12-20
221,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,31.86,"1,111.00","1,130.00","1,110.00","1,115.50","1,116.21","1,869.00","1,112.00","2,086,188.90",60,3.5,20.0,0.31,1.8,-0.06,"1,089.17","1,132.38","1,525.90",965.00,2022-12-21
216,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,28.88,"1,115.50","1,121.90","1,111.00","1,115.00","1,115.86","3,728.00","1,115.50","4,159,931.00",83,-0.5,10.9,-0.04,0.98,-0.08,"1,088.96","1,130.90","1,525.90",965.00,2022-12-22
220,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,32.29,"1,125.00","1,144.00","1,115.00","1,144.00","1,128.76","13,054.00","1,115.00","14,734,796.20",153,29.0,29.0,2.6,2.6,1.33,"1,088.76","1,129.62","1,525.90",965.00,2022-12-26
230,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,43.41,"1,166.00","1,178.50","1,154.00","1,155.00","1,160.75","10,621.00","1,144.00","12,328,300.10",146,11.0,24.50,0.96,2.12,-0.5,"1,088.74","1,128.37","1,525.90",965.00,2022-12-27
226,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,46.46,"1,145.00","1,163.00","1,140.00","1,143.00","1,146.54","5,070.00","1,155.00","5,812,958.50",95,-12.0,23.0,-1.04,2.02,-0.31,"1,088.85","1,127.22","1,525.90",965.00,2022-12-28
226,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,46.46,"1,141.00","1,166.00","1,140.00","1,166.00","1,150.21","16,844.00","1,143.00","19,374,112.70",142,23.0,26.0,2.01,2.28,1.35,"1,089.09","1,126.28","1,525.90",965.00,2022-12-29
230,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,51.62,"1,189.00","1,206.00","1,167.00","1,170.00","1,187.60","18,822.00","1,166.00","22,352,951.70",254,4.0,39.00,0.34,3.34,-1.5,"1,089.48","1,125.36","1,525.90",965.00,2023-01-01
222,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,51.62,"1,170.00","1,200.00","1,170.00","1,195.00","1,188.26","12,138.00","1,170.00","14,423,090.30",179,25.0,30.0,2.14,2.56,0.56,"1,090.08","1,124.84","1,525.90",965.00,2023-01-02
226,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,51.01,"1,204.00","1,218.00","1,180.00","1,200.00","1,199.88","15,864.00","1,195.00","19,034,974.20",179,5.0,38.0,0.42,3.22,0.01,"1,090.62","1,124.34","1,525.90",965.00,2023-01-03
227,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,59.6,"1,200.00","1,260.00","1,191.00","1,260.00","1,238.01","18,751.00","1,200.00","23,213,999.90",197,60.0,69.0,5.0,5.79,1.74,"1,091.70","1,124.12","1,525.90",965.00,2023-01-04
227,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,62.65,"1,260.00","1,310.00","1,260.00","1,280.00","1,285.01","27,045.00","1,260.00","34,752,983.90",342,20.0,50.0,1.59,3.97,-0.39,"1,092.95","1,124.01","1,525.90",965.00,2023-01-05
228,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,63.85,"1,305.00","1,305.00","1,255.00","1,280.00","1,278.98","19,529.00","1,280.00","24,977,126.90",219,0.00,50.00,0.0,3.98,0.08,-,-,"1,525.90",965.00,2023-01-08
226,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,57.1,"1,299.00","1,299.00","1,275.00","1,289.00","1,285.93","16,942.00","1,280.00","21,786,201.00",177,9.0,24.0,0.7,1.88,0.24,"1,095.42","1,124.06","1,525.90",965.00,2023-01-09
223,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,49.98,"1,295.00","1,325.00","1,263.30","1,265.00","1,302.31","21,692.00","1,289.00","28,249,600.20",260,-24.0,61.7,-1.86,4.88,-2.95,"1,096.64","1,124.02","1,525.90",965.00,2023-01-10
220,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,50.0,"1,260.00","1,295.00","1,259.00","1,263.00","1,273.36","23,670.00","1,265.00","30,140,426.80",249,-2.0,36.0,-0.16,2.86,-0.82,"1,098.08","1,123.87","1,525.90",965.00,2023-01-12
220,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,47.74,"1,260.00","1,284.00","1,258.00","1,284.00","1,272.53","8,556.00","1,263.00","10,887,804.80",142,21.0,26.0,1.66,2.07,0.89,"1,099.83","1,123.91","1,491.00",965.00,2023-01-17
217,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,46.83,"1,309.00","1,309.00","1,270.00","1,275.00","1,285.90","11,176.00","1,284.00","14,371,269.00",188,-9.0,39.0,-0.7,3.07,-0.86,"1,101.59","1,124.08","1,440.00",965.00,2023-01-18
216,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,45.23,"1,275.00","1,284.50","1,260.00","1,267.00","1,268.39","6,316.00","1,275.00","8,011,142.70",120,-8.0,24.5,-0.63,1.94,-0.11,"1,103.32","1,124.21","1,425.00",965.00,2023-01-19
226,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,42.35,"1,279.90","1,298.00","1,255.00","1,267.00","1,270.28","8,148.00","1,267.00","10,350,218.30",125,0.0,43.0,0.0,3.43,-0.26,"1,105.17","1,124.41","1,425.00",965.00,2023-01-23
217,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,42.28,"1,254.00","1,275.00","1,229.00","1,275.00","1,251.61","9,142.00","1,267.00","11,442,258.70",118,8.0,46.0,0.63,3.74,1.83,"1,107.24","1,124.83","1,425.00",965.00,2023-01-24
230,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,42.3,"1,275.00","1,300.00","1,260.00","1,268.50","1,269.80","12,046.00","1,275.00","15,296,018.60",125,-6.5,40.0,-0.51,3.17,-0.1,"1,108.90","1,125.24","1,425.00",965.00,2023-01-25
223,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,45.41,"1,255.10","1,325.00","1,255.00","1,275.00","1,283.59","8,628.00","1,268.50","11,074,806.00",114,6.5,70.0,0.51,5.58,-0.67,"1,110.70","1,125.69","1,425.00",965.00,2023-01-26
235,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,43.68,"1,275.00","1,285.90","1,263.00","1,266.00","1,273.41","4,864.00","1,275.00","6,193,855.70",90,-9.0,22.9,-0.71,1.81,-0.59,"1,112.31","1,126.17","1,425.00",965.00,2023-01-29
224,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,40.19,"1,261.00","1,270.00","1,232.00","1,260.00","1,252.51","15,405.00","1,266.00","19,294,854.70",165,-6.0,38.0,-0.47,3.08,0.59,"1,113.86","1,126.29","1,425.00",965.00,2023-01-30
227,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,42.43,"1,248.00","1,260.00","1,235.30","1,248.00","1,241.53","7,393.00","1,260.00","9,178,648.50",104,-12.0,24.7,-0.95,2.0,0.52,"1,115.49","1,126.11","1,425.00",965.00,2023-01-31
229,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,36.03,"1,270.00","1,270.00","1,240.00","1,244.10","1,250.55","6,288.00","1,248.00","7,863,428.60",107,-3.9,30.0,-0.31,2.42,-0.52,"1,117.31","1,126.00","1,425.00",965.00,2023-02-01
225,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,36.25,"1,256.00","1,259.00","1,234.00","1,235.90","1,243.35","6,088.00","1,244.10","7,569,503.10",117,-8.2,25.0,-0.66,2.03,-0.6,"1,118.86","1,125.94","1,425.00",965.00,2023-02-02
226,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,32.45,"1,248.00","1,250.00","1,220.00","1,220.00","1,237.07","6,084.00","1,235.90","7,526,320.80",104,-15.9,30.0,-1.29,2.46,-1.4,"1,120.29","1,125.80","1,407.00",965.00,2023-02-05
228,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,31.62,"1,249.00","1,271.80","1,230.00","1,242.00","1,244.37","7,106.00","1,225.00","8,842,499.90",123,17.0,41.8,1.39,3.4,-0.19,"1,123.76","1,125.81","1,407.00",965.00,2023-02-07
224,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,54.45,"1,250.00","1,265.00","1,226.00","1,250.50","1,241.37","4,573.00","1,241.20","5,676,803.70",97,9.3,39.0,0.75,3.18,0.73,"1,127.61","1,125.85","1,377.00",965.00,2023-02-09
222,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,46.96,"1,250.00","1,250.00","1,220.00","1,230.00","1,235.03","7,561.00","1,250.50","9,338,065.90",141,-20.5,30.0,-1.64,2.46,-0.41,"1,129.65","1,125.76","1,325.00",965.00,2023-02-12
224,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,33.3,"1,225.00","1,225.00","1,210.30","1,212.00","1,216.53","4,958.00","1,230.00","6,031,537.10",118,-18.00,14.7,-1.46,1.21,-0.37,"1,131.42","1,125.75","1,325.00",965.00,2023-02-14
224,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,36.32,"1,216.00","1,227.00","1,205.00","1,210.00","1,212.12","5,076.00","1,215.00","6,152,723.10",110,-5.00,22.00,-0.41,1.83,-0.18,"1,134.46","1,126.04","1,325.00",965.00,2023-02-16
226,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,35.82,"1,211.00","1,232.00","1,190.10","1,192.00","1,201.28","7,274.00","1,210.00","8,738,095.20",147,-18.0,41.9,-1.49,3.52,-0.78,"1,136.06","1,126.03","1,325.00",965.00,2023-02-20
236,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,36.45,"1,180.00","1,202.00","1,180.00","1,190.10","1,196.33","3,895.00","1,192.00","4,659,723.40",101,-1.9,22.0,-0.16,1.86,-0.52,"1,137.36","1,126.05","1,325.00",965.00,2023-02-22
228,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,34.32,"1,170.00","1,170.00","1,071.10","1,075.00","1,088.57","55,750.00","1,190.10","60,687,884.10",773,-115.1,98.9,-9.67,9.23,-1.26,"1,137.30","1,125.49","1,325.00",965.00,2023-02-23
230,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,36.94,"1,053.50","1,128.90","1,040.00","1,105.10","1,071.52","27,286.00","1,075.00","29,237,597.40",444,30.1,88.9,2.8,8.55,3.04,"1,137.41","1,125.18","1,325.00",965.00,2023-02-26
228,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,32.07,"1,100.00","1,111.00","1,078.00","1,090.00","1,084.17","11,787.00","1,110.00","12,779,138.80",136,-20.0,33.0,-1.8,3.06,0.53,"1,137.02","1,124.67","1,325.00",965.00,2023-02-28
223,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,40.91,"1,104.90","1,105.00","1,071.00","1,071.00","1,079.55","5,799.00","1,090.00","6,260,292.20",120,-19.00,34.00,-1.74,3.17,-0.8,"1,137.03","1,124.01","1,325.00",965.00,2023-03-01
222,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,33.76,"1,055.00","1,055.00","1,034.00","1,040.00","1,040.84","9,093.00","1,071.00","9,464,359.90",149,-31.0,21.0,-2.89,2.03,-0.08,"1,136.80","1,123.35","1,325.00",965.00,2023-03-02
224,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,36.66,"1,060.00","1,081.00","1,021.00","1,025.00","1,035.96","15,506.00","1,040.00","16,063,530.90",215,-15.0,60.0,-1.44,5.88,-1.07,"1,136.49","1,122.70","1,325.00",965.00,2023-03-05
226,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,33.86,"1,045.00","1,059.00","1,032.00","1,055.00","1,051.71","3,870.00","1,025.00","4,070,119.20",107,30.0,27.0,2.93,2.62,0.31,"1,136.44","1,122.12","1,325.00",965.00,2023-03-07
226,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,48.85,"1,075.90","1,120.00","1,071.20","1,119.00","1,097.14","14,997.00","1,055.00","16,453,756.10",265,64.0,48.8,6.07,4.56,1.95,"1,137.25","1,121.97","1,325.00",965.00,2023-03-09
225,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,30.47,905.80,937.00,882.00,886.00,899.13,"11,131.00",888.10,"10,008,178.00",239,-2.1,55.0,-0.24,6.24,-1.48,"1,136.16","1,120.62","1,325.00",882.00,2023-03-12
