SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
48,GHL,Ghalemdi Hydro Limited,33.64,202.00,202.00,192.00,196.00,196.84,"11,344.00",198.90,"2,232,936.20",60,-2.9,10.0,-1.46,5.21,-0.43,203.59,221.34,397.80,164.20,2022-12-07
48,GHL,Ghalemdi Hydro Limited,33.64,202.00,202.00,192.00,196.00,196.84,"11,344.00",198.90,"2,232,936.20",60,-2.9,10.0,-1.46,5.21,-0.43,203.59,221.34,397.80,164.20,2022-12-09
52,GHL,Ghalemdi Hydro Limited,35.06,195.50,198.40,188.20,188.20,191.71,"18,831.00",196.00,"3,610,025.20",99,-7.8,10.2,-3.98,5.42,-1.86,-,-,397.80,164.20,2022-12-11
52,GHL,Ghalemdi Hydro Limited,28.94,191.90,196.00,188.00,194.00,192.52,"18,527.00",188.20,"3,566,750.30",85,5.8,8.0,3.08,4.26,0.76,203.39,219.83,397.80,164.20,2022-12-12
51,GHL,Ghalemdi Hydro Limited,29.14,196.10,197.80,191.00,193.00,192.57,"7,485.00",194.00,"1,441,363.60",32,-1.0,6.8,-0.52,3.56,0.22,203.37,219.11,397.80,164.20,2022-12-13
53,GHL,Ghalemdi Hydro Limited,25.65,196.80,196.80,190.50,190.50,193.26,"10,158.00",193.00,"1,963,091.10",34,-2.5,6.3,-1.3,3.31,-1.45,203.38,218.35,397.80,164.20,2022-12-14
54,GHL,Ghalemdi Hydro Limited,24.08,194.00,194.00,186.00,186.00,187.99,"10,114.00",190.50,"1,901,343.40",54,-4.5,8.0,-2.36,4.3,-1.07,203.28,217.53,397.80,164.20,2022-12-15
54,GHL,Ghalemdi Hydro Limited,23.65,189.00,192.00,177.00,178.50,180.58,"13,990.00",186.00,"2,526,309.50",85,-7.5,15.0,-4.03,8.47,-1.17,203.20,216.73,397.80,164.20,2022-12-18
54,GHL,Ghalemdi Hydro Limited,25.54,181.00,185.60,179.00,182.10,182.28,"10,834.00",178.50,"1,974,798.20",85,3.6,6.6,2.02,3.69,-0.1,203.13,215.94,397.80,164.20,2022-12-19
54,GHL,Ghalemdi Hydro Limited,25.54,180.00,193.10,180.00,186.00,188.43,"8,292.00",182.10,"1,562,497.10",51,3.9,13.1,2.14,7.28,-1.31,203.18,215.20,397.80,164.20,2022-12-20
55,GHL,Ghalemdi Hydro Limited,25.05,185.00,203.00,181.50,203.00,193.08,"31,554.00",186.00,"6,092,524.40",150,17.0,21.5,9.14,11.85,4.89,203.21,214.62,397.80,164.20,2022-12-21
53,GHL,Ghalemdi Hydro Limited,44.96,203.00,210.00,193.40,209.90,202.37,"84,321.00",203.00,"17,063,711.30",297,6.9,16.6,3.4,8.58,3.59,203.35,214.08,397.80,164.20,2022-12-22
52,GHL,Ghalemdi Hydro Limited,46.23,214.00,230.80,214.00,230.80,226.38,"164,351.00",209.90,"37,205,528.00",944,20.9,16.8,9.96,7.85,1.92,203.72,213.60,397.80,164.20,2022-12-26
55,GHL,Ghalemdi Hydro Limited,56.08,235.40,248.00,233.30,235.90,240.66,"154,524.00",230.80,"37,187,943.60",929,5.1,14.70,2.21,6.3,-2.02,204.07,213.21,397.80,164.20,2022-12-27
