SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
203,SFMF,Sunrise First Mutual Fund,35.63,8.95,9.08,8.90,8.90,8.97,"46,355.00",9.12,"415,580.05",12,-0.22,0.18,-2.41,2.02,-0.73,10.37,10.78,12.50,8.53,2022-12-07
203,SFMF,Sunrise First Mutual Fund,35.63,8.95,9.08,8.90,8.90,8.97,"46,355.00",9.12,"415,580.05",12,-0.22,0.18,-2.41,2.02,-0.73,10.37,10.78,12.50,8.53,2022-12-09
206,SFMF,Sunrise First Mutual Fund,37.04,8.80,8.91,8.75,8.91,8.88,"13,585.00",8.90,"120,631.25",5,0.01,0.16,0.11,1.83,0.34,-,-,12.50,8.53,2022-12-11
202,SFMF,Sunrise First Mutual Fund,29.29,8.88,8.88,8.80,8.80,8.82,"10,500.00",8.91,"92,623.00",5,-0.11,0.08,-1.23,0.91,-0.24,10.33,10.75,12.50,8.53,2022-12-12
205,SFMF,Sunrise First Mutual Fund,32.59,8.97,9.09,8.81,9.09,8.85,"26,700.00",8.80,"236,367.00",7,0.29,0.28,3.3,3.18,2.61,10.31,10.74,12.50,8.53,2022-12-13
202,SFMF,Sunrise First Mutual Fund,34.52,8.91,9.07,8.91,9.07,9.00,690.00,9.09,"6,208.00",3,-0.02,0.16,-0.22,1.8,0.8,10.29,10.72,12.50,8.53,2022-12-14
210,SFMF,Sunrise First Mutual Fund,38.12,8.91,9.08,8.91,9.08,9.01,"1,500.00",9.07,"13,518.00",2,0.01,0.17,0.11,1.91,0.75,10.27,10.71,12.50,8.53,2022-12-15
206,SFMF,Sunrise First Mutual Fund,37.64,8.90,8.93,8.73,8.93,8.88,"2,500.00",9.08,"22,206.00",6,-0.15,0.2,-1.65,2.29,0.53,10.25,10.69,12.50,8.53,2022-12-18
206,SFMF,Sunrise First Mutual Fund,21.96,8.99,8.99,8.83,8.93,8.87,"2,100.00",8.93,"18,633.00",3,0.0,0.16,0.0,1.81,0.64,10.24,10.68,12.50,8.53,2022-12-19
211,SFMF,Sunrise First Mutual Fund,21.96,8.95,9.00,8.95,9.00,8.95,"8,191.00",8.93,"73,314.45",2,0.07,0.05,0.78,0.56,0.55,10.23,10.66,12.50,8.53,2022-12-20
206,SFMF,Sunrise First Mutual Fund,28.28,8.90,8.90,8.90,8.90,8.90,"6,975.00",9.00,"62,077.50",1,-0.1,0.0,-1.11,0.0,0.0,10.22,10.65,12.50,8.53,2022-12-21
200,SFMF,Sunrise First Mutual Fund,27.35,8.80,8.92,8.75,8.89,8.82,"11,720.00",8.90,"103,338.65",6,-0.01,0.17,-0.11,1.94,0.82,10.21,10.63,12.50,8.53,2022-12-22
205,SFMF,Sunrise First Mutual Fund,37.55,8.80,9.05,8.78,9.05,8.88,"53,242.00",8.89,"472,540.78",10,0.16,0.27,1.8,3.08,1.93,10.20,10.62,12.50,8.53,2022-12-26
215,SFMF,Sunrise First Mutual Fund,50.22,9.07,9.29,9.05,9.29,9.15,"112,615.00",9.05,"1,029,922.65",17,0.24,0.24,2.65,2.65,1.56,10.19,10.60,12.50,8.53,2022-12-27
212,SFMF,Sunrise First Mutual Fund,47.19,9.11,9.29,9.11,9.29,9.12,"1,500.00",9.29,"13,683.00",3,0.0,0.18,0.0,1.98,1.81,10.18,10.59,12.50,8.53,2022-12-28
211,SFMF,Sunrise First Mutual Fund,47.19,9.20,9.35,9.20,9.35,9.22,"51,988.00",9.29,"479,470.12",10,0.06,0.15,0.65,1.63,1.36,10.17,10.58,12.50,8.53,2022-12-29
215,SFMF,Sunrise First Mutual Fund,52.26,9.36,9.50,9.19,9.37,9.28,"39,520.00",9.35,"366,867.00",10,0.02,0.31,0.21,3.37,0.93,10.16,10.56,12.50,8.53,2023-01-01
207,SFMF,Sunrise First Mutual Fund,52.26,9.30,9.48,9.27,9.35,9.39,"129,330.00",9.37,"1,213,838.80",17,-0.02,0.21,-0.21,2.27,-0.38,10.14,10.55,12.50,8.53,2023-01-02
211,SFMF,Sunrise First Mutual Fund,48.53,9.35,9.40,9.32,9.40,9.35,"11,300.00",9.35,"105,654.00",5,0.05,0.08,0.53,0.86,0.53,10.12,10.53,12.50,8.53,2023-01-03
212,SFMF,Sunrise First Mutual Fund,47.14,9.33,9.51,9.33,9.51,9.50,"17,630.00",9.40,"167,535.90",4,0.11,0.18,1.17,1.93,0.07,10.10,10.52,12.50,8.53,2023-01-04
211,SFMF,Sunrise First Mutual Fund,61.81,9.65,9.89,9.65,9.83,9.82,"96,825.00",9.51,"950,766.25",20,0.32,0.24,3.36,2.49,0.11,10.09,10.51,12.50,8.53,2023-01-05
213,SFMF,Sunrise First Mutual Fund,63.01,9.95,9.95,9.51,9.76,9.58,"48,985.00",9.83,"469,506.05",10,-0.07,0.44,-0.71,4.63,1.8,-,-,12.50,8.53,2023-01-08
211,SFMF,Sunrise First Mutual Fund,60.66,9.95,10.28,9.95,10.20,10.06,"57,370.00",9.76,"576,912.00",17,0.44,0.33,4.51,3.32,1.41,10.07,10.49,12.50,8.53,2023-01-09
208,SFMF,Sunrise First Mutual Fund,58.21,10.00,10.36,10.00,10.28,10.15,"67,400.00",10.20,"684,390.00",15,0.08,0.36,0.78,3.6,1.22,10.06,10.49,12.50,8.53,2023-01-10
205,SFMF,Sunrise First Mutual Fund,58.24,10.08,10.19,9.95,9.96,9.98,"95,675.00",10.28,"954,940.45",14,-0.32,0.24,-3.11,2.41,-0.21,10.05,10.48,12.50,8.53,2023-01-12
205,SFMF,Sunrise First Mutual Fund,52.93,9.86,10.10,9.86,10.09,10.06,"132,575.00",9.96,"1,333,283.25",11,0.13,0.24,1.31,2.43,0.33,10.04,10.47,12.50,8.53,2023-01-17
202,SFMF,Sunrise First Mutual Fund,57.31,10.09,10.20,9.93,10.12,10.12,"55,500.00",10.09,"561,761.00",8,0.03,0.27,0.3,2.72,-0.02,10.04,10.46,12.50,8.53,2023-01-18
201,SFMF,Sunrise First Mutual Fund,46.35,10.12,10.30,10.11,10.13,10.14,"27,200.00",10.12,"275,732.00",12,0.01,0.19,0.1,1.88,-0.07,10.03,10.45,12.50,8.53,2023-01-19
