SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
87,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,37.45,880.10,889.00,870.00,875.10,879.52,909.00,894.00,"799,484.40",23,-18.9,19.0,-2.11,2.18,-0.51,"1,020.36","1,086.21","1,393.00",852.80,2022-12-07
87,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,37.45,880.10,889.00,870.00,875.10,879.52,909.00,894.00,"799,484.40",23,-18.9,19.0,-2.11,2.18,-0.51,"1,020.36","1,086.21","1,393.00",852.80,2022-12-09
90,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,38.86,861.00,871.00,861.00,865.00,867.70,847.00,875.10,"734,938.00",19,-10.1,10.0,-1.15,1.16,-0.31,-,-,"1,393.00",852.80,2022-12-11
89,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,33.41,882.00,882.00,857.50,880.00,861.83,735.00,865.00,"633,444.90",15,15.0,24.5,1.73,2.86,2.06,"1,016.33","1,081.88","1,393.00",852.80,2022-12-12
87,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,32.6,872.00,924.00,867.00,896.00,885.64,283.00,880.00,"250,636.20",16,16.0,57.0,1.82,6.57,1.16,"1,014.92","1,079.86","1,393.00",852.80,2022-12-13
89,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,36.16,881.00,911.00,881.00,888.00,889.34,164.00,896.00,"145,851.00",11,-8.0,30.0,-0.89,3.41,-0.15,"1,013.79","1,077.70","1,393.00",852.80,2022-12-14
93,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,39.37,870.30,886.00,869.00,870.00,870.69,547.00,888.00,"476,267.50",16,-18.0,17.0,-2.03,1.96,-0.08,"1,012.08","1,075.34","1,393.00",852.80,2022-12-15
90,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,42.86,861.00,870.00,860.10,870.00,861.18,370.00,870.00,"318,635.00",15,0.0,9.9,0.0,1.15,1.01,"1,010.72","1,072.93","1,393.00",852.80,2022-12-18
91,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,20.76,870.00,870.00,862.10,865.00,864.68,48.00,870.00,"41,504.60",3,-5.0,7.9,-0.57,0.92,0.04,"1,009.75","1,070.34","1,393.00",852.80,2022-12-19
91,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,20.76,882.30,885.00,875.00,885.00,879.55,893.00,865.00,"785,438.80",11,20.0,10.0,2.31,1.14,0.62,"1,008.63","1,068.04","1,393.00",852.80,2022-12-20
89,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,39.94,872.10,885.00,872.00,884.00,872.81,327.00,885.00,"285,407.30",6,-1.0,13.0,-0.11,1.49,1.27,"1,007.17","1,065.83","1,393.00",852.80,2022-12-21
89,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,41.35,870.00,880.00,870.00,877.00,873.53,305.00,884.00,"266,425.20",13,-7.0,10.0,-0.79,1.15,0.4,"1,005.81","1,063.59","1,393.00",852.80,2022-12-22
90,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,40.43,878.00,911.00,878.00,911.00,896.99,"1,453.00",877.00,"1,303,330.10",36,34.0,33.0,3.88,3.76,1.54,"1,004.86","1,061.51","1,393.00",852.80,2022-12-26
93,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,47.8,928.00,930.00,905.10,905.10,917.09,"1,650.00",911.00,"1,513,197.20",31,-5.9,24.90,-0.65,2.75,-1.32,"1,003.64","1,059.37","1,393.00",852.80,2022-12-27
92,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,53.67,905.00,908.90,891.00,897.00,898.22,"1,611.00",905.10,"1,447,035.90",20,-8.1,17.9,-0.89,2.01,-0.14,"1,001.91","1,057.19","1,393.00",852.80,2022-12-28
94,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,53.67,890.00,917.00,886.10,917.00,903.08,"1,762.00",897.00,"1,591,218.40",26,20.0,30.9,2.23,3.49,1.52,"1,000.24","1,055.11","1,393.00",852.80,2022-12-29
94,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,45.77,915.00,950.00,910.00,920.00,925.14,"1,818.00",917.00,"1,681,897.60",41,3.0,40.00,0.33,4.4,-0.56,998.66,"1,053.27","1,393.00",852.80,2023-01-01
89,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,45.77,917.00,934.00,917.00,929.00,922.53,464.00,920.00,"428,053.00",13,9.0,17.0,0.98,1.85,0.7,997.07,"1,051.47","1,393.00",852.80,2023-01-02
91,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,51.35,929.90,960.20,927.00,954.00,946.19,"2,311.00",929.00,"2,186,646.60",47,25.0,33.2,2.69,3.58,0.82,996.07,"1,049.69","1,393.00",852.80,2023-01-03
92,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,61.07,964.00,"1,049.40",955.00,"1,049.40","1,001.12","6,802.00",954.00,"6,809,609.90",104,95.4,94.4,10.0,9.88,4.6,995.81,"1,048.55","1,393.00",852.80,2023-01-04
91,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,63.8,"1,060.00","1,065.00","1,000.00","1,039.00","1,028.97","6,260.00","1,049.40","6,441,331.70",98,-10.4,65.0,-0.99,6.5,0.97,995.44,"1,047.45","1,393.00",852.80,2023-01-05
94,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,65.0,"1,040.00","1,123.00","1,030.00","1,079.00","1,067.82","8,360.00","1,039.00","8,926,982.40",111,40.00,93.00,3.85,9.03,1.04,-,-,"1,393.00",852.80,2023-01-08
91,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,61.01,"1,087.00","1,127.00","1,078.00","1,100.00","1,109.02","7,964.00","1,079.00","8,832,264.00",163,21.0,49.0,1.95,4.55,-0.82,996.43,"1,045.06","1,393.00",852.80,2023-01-09
89,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,50.09,"1,100.00","1,120.00","1,046.00","1,061.00","1,086.89","7,263.00","1,100.00","7,894,053.30",88,-39.0,74.0,-3.55,7.07,-2.44,996.71,"1,043.63","1,393.00",852.80,2023-01-10
92,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,50.12,"1,082.20","1,103.80","1,052.00","1,065.00","1,075.86","7,031.00","1,061.00","7,564,351.00",118,4.0,51.8,0.38,4.92,-1.02,996.53,"1,042.49","1,393.00",852.80,2023-01-12
88,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,50.87,"1,084.00","1,084.00","1,046.20","1,065.00","1,051.62","1,543.00","1,065.00","1,622,655.20",37,0.0,37.8,0.0,3.61,1.26,995.98,"1,041.60","1,393.00",852.80,2023-01-17
88,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,44.21,"1,046.10","1,060.00","1,028.20","1,045.90","1,049.21","2,153.00","1,065.00","2,258,945.30",52,-19.1,31.8,-1.79,3.09,-0.32,994.71,"1,040.53","1,393.00",852.80,2023-01-18
87,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,41.97,"1,031.00","1,045.00","1,010.50","1,020.00","1,024.40","1,136.00","1,045.90","1,163,717.00",25,-25.9,34.5,-2.48,3.41,-0.43,993.63,"1,038.98","1,393.00",852.80,2023-01-19
91,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,38.55,"1,040.40","1,061.00","1,030.00","1,032.00","1,043.86","2,970.00","1,020.00","3,100,258.00",102,12.0,31.0,1.18,3.01,-1.15,992.84,"1,037.77","1,393.00",852.80,2023-01-23
91,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,41.23,"1,022.00","1,036.00","1,020.00","1,036.00","1,026.01","1,445.00","1,032.00","1,482,578.30",35,4.0,16.0,0.39,1.57,0.96,991.99,"1,036.61","1,393.00",852.80,2023-01-24
90,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,38.49,"1,050.00","1,056.70","1,030.00","1,055.00","1,043.86","2,645.00","1,036.00","2,761,013.20",50,19.0,26.7,1.83,2.59,1.06,991.36,"1,035.44","1,393.00",852.80,2023-01-25
87,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,46.43,"1,036.00","1,054.50","1,036.00","1,054.00","1,044.37",891.00,"1,055.00","930,538.00",18,-1.0,18.5,-0.09,1.79,0.91,990.79,"1,034.38","1,393.00",852.80,2023-01-26
