SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
159,NTC,Nepal Doorsanchar Company Limited,26.05,861.00,878.00,861.00,868.60,868.90,"9,359.00",872.00,"8,131,998.20",136,-3.4,17.0,-0.39,1.97,-0.03,878.95,942.67,"1,799.90",803.00,2022-12-07
159,NTC,Nepal Doorsanchar Company Limited,26.05,861.00,878.00,861.00,868.60,868.90,"9,359.00",872.00,"8,131,998.20",136,-3.4,17.0,-0.39,1.97,-0.03,878.95,942.67,"1,799.90",803.00,2022-12-09
162,NTC,Nepal Doorsanchar Company Limited,27.47,879.00,885.90,858.00,858.00,866.39,"14,323.00",868.60,"12,409,373.30",197,-10.6,27.9,-1.22,3.25,-0.98,-,-,"1,799.90",803.00,2022-12-11
159,NTC,Nepal Doorsanchar Company Limited,29.0,869.00,922.00,854.10,922.00,865.73,"15,365.00",858.00,"13,301,984.50",191,64.0,67.9,7.46,7.95,6.1,878.91,934.81,"1,799.90",803.00,2022-12-12
158,NTC,Nepal Doorsanchar Company Limited,46.76,903.60,912.00,874.00,909.90,899.66,"67,105.00",922.00,"60,371,847.80",588,-12.1,38.0,-1.31,4.35,1.13,879.26,931.26,"1,799.90",803.00,2022-12-13
159,NTC,Nepal Doorsanchar Company Limited,47.31,902.00,914.00,895.00,909.00,909.21,"59,297.00",909.90,"53,913,189.10",329,-0.9,19.0,-0.1,2.12,-0.02,879.73,927.95,"1,799.90",803.00,2022-12-14
165,NTC,Nepal Doorsanchar Company Limited,46.88,895.10,915.00,895.10,903.30,908.77,"58,745.00",909.00,"53,385,974.20",331,-5.7,19.9,-0.63,2.22,-0.61,879.92,924.48,"1,799.90",803.00,2022-12-15
159,NTC,Nepal Doorsanchar Company Limited,49.49,900.00,907.90,885.00,887.00,897.60,"54,549.00",903.30,"48,963,178.20",363,-16.3,22.9,-1.8,2.59,-1.2,880.14,921.03,"1,799.90",803.00,2022-12-18
160,NTC,Nepal Doorsanchar Company Limited,36.08,887.00,921.00,887.00,915.00,906.69,"41,541.00",887.00,"37,664,859.00",415,28.0,34.0,3.16,3.83,0.91,880.69,917.98,"1,799.90",803.00,2022-12-19
163,NTC,Nepal Doorsanchar Company Limited,36.08,920.00,945.00,903.10,931.00,930.92,"68,574.00",915.00,"63,837,218.60",609,16.0,41.9,1.75,4.64,0.01,881.22,916.65,"1,799.90",803.00,2022-12-20
160,NTC,Nepal Doorsanchar Company Limited,43.92,945.00,945.00,912.00,917.00,924.06,"32,531.00",931.00,"30,060,477.40",294,-14.0,33.0,-1.5,3.62,-0.77,881.22,915.45,"1,799.90",803.00,2022-12-21
156,NTC,Nepal Doorsanchar Company Limited,37.27,898.70,953.00,860.00,953.00,874.08,"171,553.00",917.00,"149,950,346.90","1,431",36.0,93.0,3.93,10.81,8.28,881.83,914.49,"1,799.90",803.00,2022-12-22
157,NTC,Nepal Doorsanchar Company Limited,47.94,934.00,934.00,875.00,900.00,887.87,"235,177.00",953.00,"208,807,244.90","1,426",-53.0,59.0,-5.56,6.74,1.35,882.13,912.92,"1,799.90",803.00,2022-12-26
166,NTC,Nepal Doorsanchar Company Limited,35.25,900.00,917.00,896.00,915.90,903.79,"155,133.00",900.00,"140,208,408.90","1,077",15.9,21.00,1.77,2.34,1.32,882.47,911.51,"1,799.90",803.00,2022-12-27
163,NTC,Nepal Doorsanchar Company Limited,32.21,934.00,934.00,892.00,898.00,902.56,"43,881.00",915.90,"39,605,148.50",495,-17.9,42.0,-1.95,4.71,-0.51,882.37,910.27,"1,799.90",803.00,2022-12-28
164,NTC,Nepal Doorsanchar Company Limited,32.21,898.00,911.00,891.00,910.00,903.39,"120,931.00",898.00,"109,248,002.20",671,12.0,20.0,1.34,2.24,0.73,882.49,909.22,"1,799.90",803.00,2022-12-29
168,NTC,Nepal Doorsanchar Company Limited,51.09,928.20,932.00,909.00,922.00,920.79,"215,904.00",910.00,"198,801,321.50","1,278",12.0,23.00,1.32,2.53,0.13,882.28,908.51,"1,799.90",803.00,2023-01-01
160,NTC,Nepal Doorsanchar Company Limited,51.09,903.60,903.60,879.00,885.00,886.72,"94,264.00",922.00,"83,585,915.00",808,-37.0,24.6,-4.01,2.8,-0.19,881.84,907.50,"1,799.90",803.00,2023-01-02
163,NTC,Nepal Doorsanchar Company Limited,37.42,881.10,941.00,868.00,869.00,880.54,"89,764.00",885.00,"79,040,343.80",778,-16.0,73.0,-1.81,8.41,-1.33,881.57,906.05,"1,799.90",803.00,2023-01-03
164,NTC,Nepal Doorsanchar Company Limited,40.77,886.00,902.00,875.00,895.00,887.10,"113,214.00",869.00,"100,431,906.70",657,26.0,27.0,2.99,3.09,0.88,881.43,905.13,"1,799.90",803.00,2023-01-04
164,NTC,Nepal Doorsanchar Company Limited,40.7,895.00,908.00,880.00,885.00,886.57,"52,409.00",895.00,"46,464,432.10",580,-10.0,28.0,-1.12,3.18,-0.18,881.38,904.30,"1,799.90",803.00,2023-01-05
165,NTC,Nepal Doorsanchar Company Limited,41.9,885.00,895.00,880.00,882.90,887.07,"59,479.00",885.00,"52,762,033.30",526,-2.10,15.00,-0.24,1.7,-0.47,-,-,"1,799.90",803.00,2023-01-08
163,NTC,Nepal Doorsanchar Company Limited,59.66,900.50,905.00,883.00,895.00,892.65,"98,408.00",882.90,"87,844,238.60",697,12.1,22.0,1.37,2.49,0.26,881.83,902.42,"1,799.90",803.00,2023-01-09
159,NTC,Nepal Doorsanchar Company Limited,51.29,905.00,933.00,877.10,879.00,906.19,"163,518.00",895.00,"148,178,520.00","1,228",-16.0,55.9,-1.79,6.37,-3.09,882.15,901.66,"1,799.90",803.00,2023-01-10
157,NTC,Nepal Doorsanchar Company Limited,51.31,896.00,910.00,868.00,868.30,881.57,"56,435.00",879.00,"49,751,274.70",651,-10.7,42.0,-1.22,4.84,-1.53,881.98,900.75,"1,799.90",803.00,2023-01-12
158,NTC,Nepal Doorsanchar Company Limited,45.02,880.00,886.00,866.10,879.00,876.00,"36,669.00",868.30,"32,121,992.40",396,10.7,19.9,1.23,2.3,0.34,881.91,900.10,"1,799.90",803.00,2023-01-17
155,NTC,Nepal Doorsanchar Company Limited,48.98,872.00,892.00,870.00,874.00,880.57,"108,034.00",879.00,"95,131,807.50",548,-5.0,22.0,-0.57,2.53,-0.75,881.87,899.27,"1,799.90",803.00,2023-01-18
154,NTC,Nepal Doorsanchar Company Limited,43.36,875.00,879.90,865.20,867.00,871.35,"40,453.00",874.00,"35,248,641.60",440,-7.0,14.7,-0.8,1.7,-0.5,881.89,898.17,"1,799.90",803.00,2023-01-19
161,NTC,Nepal Doorsanchar Company Limited,39.01,875.00,875.00,855.00,859.00,863.33,"62,199.00",867.00,"53,698,552.70",603,-8.0,20.0,-0.92,2.34,-0.5,881.73,897.16,"1,799.90",803.00,2023-01-23
156,NTC,Nepal Doorsanchar Company Limited,47.49,852.00,896.00,850.00,889.00,861.35,"149,890.00",859.00,"129,107,396.00",457,30.0,46.0,3.49,5.41,3.11,881.80,896.33,"1,799.90",803.00,2023-01-24
160,NTC,Nepal Doorsanchar Company Limited,58.63,880.00,889.80,867.00,869.90,876.21,"56,067.00",889.00,"49,126,206.90",429,-19.1,22.8,-2.15,2.63,-0.72,881.65,895.34,"1,799.90",803.00,2023-01-25
158,NTC,Nepal Doorsanchar Company Limited,50.05,887.20,887.20,859.20,865.00,867.19,"28,285.00",869.90,"24,528,471.50",348,-4.9,28.0,-0.56,3.26,-0.25,881.40,894.42,"1,799.90",803.00,2023-01-26
164,NTC,Nepal Doorsanchar Company Limited,47.85,882.00,882.00,851.00,852.00,860.63,"42,494.00",865.00,"36,571,761.00",397,-13.0,31.0,-1.5,3.64,-1.01,881.24,893.66,"1,799.90",803.00,2023-01-29
159,NTC,Nepal Doorsanchar Company Limited,46.88,868.00,868.00,840.00,841.00,846.74,"59,696.00",852.00,"50,546,869.60",576,-11.0,28.0,-1.29,3.33,-0.68,880.54,892.89,"1,799.90",803.00,2023-01-30
161,NTC,Nepal Doorsanchar Company Limited,38.75,856.00,856.00,836.00,836.00,841.16,"33,308.00",841.00,"28,017,194.00",433,-5.0,20.0,-0.59,2.39,-0.62,879.76,892.08,"1,799.90",803.00,2023-01-31
160,NTC,Nepal Doorsanchar Company Limited,36.9,819.30,868.00,819.30,839.00,839.07,"46,155.00",836.00,"38,727,387.60",500,3.0,48.7,0.36,5.94,-0.01,879.25,891.13,"1,799.90",803.00,2023-02-01
161,NTC,Nepal Doorsanchar Company Limited,43.74,855.70,855.70,833.00,833.30,838.76,"18,911.00",839.00,"15,861,834.20",298,-5.7,22.7,-0.68,2.73,-0.66,878.47,890.09,"1,799.90",803.00,2023-02-02
161,NTC,Nepal Doorsanchar Company Limited,43.44,846.00,846.00,827.00,835.00,833.51,"36,242.00",833.30,"30,207,973.10",449,1.7,19.0,0.2,2.3,0.18,877.64,888.96,"1,799.90",803.00,2023-02-05
162,NTC,Nepal Doorsanchar Company Limited,42.99,835.00,854.00,835.00,854.00,845.48,"33,627.00",834.00,"28,430,895.10",466,20.0,19.0,2.4,2.28,1.0,875.55,886.65,"1,799.90",803.00,2023-02-07
161,NTC,Nepal Doorsanchar Company Limited,55.56,835.00,858.00,835.00,848.00,850.45,"20,363.00",852.00,"17,317,622.00",261,-4.0,23.0,-0.47,2.75,-0.29,873.59,885.10,"1,799.90",803.00,2023-02-09
156,NTC,Nepal Doorsanchar Company Limited,45.36,831.20,853.00,831.20,834.00,841.80,"39,583.00",848.00,"33,320,834.70",570,-14.0,21.8,-1.65,2.62,-0.93,872.61,884.24,"1,799.90",803.00,2023-02-12
159,NTC,Nepal Doorsanchar Company Limited,33.25,848.00,848.00,833.00,835.00,837.91,"14,750.00",834.00,"12,359,166.60",268,1.00,15.0,0.12,1.8,-0.35,871.82,883.47,"1,799.90",803.00,2023-02-14
159,NTC,Nepal Doorsanchar Company Limited,38.98,835.00,840.80,825.00,837.00,830.25,"17,417.00",830.00,"14,460,526.70",370,7.00,15.80,0.84,1.92,0.81,869.94,881.80,"1,799.90",803.00,2023-02-16
161,NTC,Nepal Doorsanchar Company Limited,37.28,830.00,835.00,823.30,823.30,829.64,"23,621.00",837.00,"19,596,947.90",363,-13.7,11.7,-1.64,1.42,-0.77,869.08,880.85,"1,799.90",803.00,2023-02-20
169,NTC,Nepal Doorsanchar Company Limited,41.99,839.00,839.00,826.00,834.00,830.81,"23,713.00",823.30,"19,701,072.40",291,10.7,13.0,1.3,1.57,0.38,868.63,880.03,"1,799.90",803.00,2023-02-22
162,NTC,Nepal Doorsanchar Company Limited,35.92,826.00,838.00,817.00,820.00,822.44,"28,766.00",834.00,"23,658,175.60",451,-14.0,21.0,-1.68,2.57,-0.3,868.13,879.26,"1,799.00",803.00,2023-02-23
161,NTC,Nepal Doorsanchar Company Limited,36.69,815.00,825.00,805.00,820.10,815.85,"24,360.00",820.00,"19,874,050.60",445,0.1,20.0,0.01,2.48,0.52,867.75,878.62,"1,748.20",803.00,2023-02-26
165,NTC,Nepal Doorsanchar Company Limited,32.99,837.90,837.90,818.00,818.00,823.49,"17,095.00",824.90,"14,077,574.00",229,-6.9,19.9,-0.84,2.43,-0.67,866.61,877.42,"1,748.20",803.00,2023-02-28
159,NTC,Nepal Doorsanchar Company Limited,37.06,829.30,829.30,814.00,815.20,816.41,"14,125.00",818.00,"11,531,782.90",237,-2.80,15.30,-0.34,1.88,-0.15,865.80,876.87,"1,748.20",803.00,2023-03-01
160,NTC,Nepal Doorsanchar Company Limited,32.14,826.00,826.00,811.00,811.00,814.83,"16,158.00",815.20,"13,165,969.10",256,-4.2,15.0,-0.52,1.85,-0.47,864.94,876.35,"1,748.20",803.00,2023-03-02
161,NTC,Nepal Doorsanchar Company Limited,28.56,824.00,824.00,806.10,807.00,810.13,"15,517.00",811.00,"12,570,717.60",305,-4.0,17.9,-0.49,2.22,-0.39,863.85,875.78,"1,748.20",803.00,2023-03-05
