SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
131,NGPL,Ngadi Group Power Limited,29.15,210.00,214.00,205.90,205.90,208.27,"57,328.00",209.00,"11,939,617.50",285,-3.1,8.1,-1.48,3.93,-1.15,285.84,388.76,795.00,185.20,2022-12-07
131,NGPL,Ngadi Group Power Limited,29.15,210.00,214.00,205.90,205.90,208.27,"57,328.00",209.00,"11,939,617.50",285,-3.1,8.1,-1.48,3.93,-1.15,285.84,388.76,795.00,185.20,2022-12-09
133,NGPL,Ngadi Group Power Limited,30.57,205.00,207.00,202.00,202.00,204.68,"73,331.00",205.90,"15,009,253.90",316,-3.9,5.0,-1.89,2.48,-1.33,-,-,795.00,185.20,2022-12-11
130,NGPL,Ngadi Group Power Limited,29.7,200.00,209.00,200.00,208.50,206.29,"79,590.00",202.00,"16,418,836.50",340,6.5,9.0,3.22,4.5,1.06,280.45,384.23,795.00,185.20,2022-12-12
131,NGPL,Ngadi Group Power Limited,30.2,208.50,210.90,206.00,208.00,208.26,"34,710.00",208.50,"7,228,568.50",184,-0.5,4.9,-0.24,2.38,-0.12,277.93,381.95,795.00,185.20,2022-12-13
130,NGPL,Ngadi Group Power Limited,30.68,211.00,211.00,205.00,205.50,206.74,"48,086.00",208.00,"9,941,295.90",201,-2.5,6.0,-1.2,2.93,-0.6,275.59,379.40,795.00,185.20,2022-12-14
136,NGPL,Ngadi Group Power Limited,25.03,208.80,208.80,202.60,203.00,203.84,"50,922.00",205.50,"10,379,988.20",235,-2.5,6.2,-1.22,3.06,-0.41,273.08,376.92,795.00,185.20,2022-12-15
131,NGPL,Ngadi Group Power Limited,31.04,203.00,204.00,198.10,199.00,200.43,"73,249.00",203.00,"14,681,279.40",318,-4.0,5.9,-1.97,2.98,-0.72,270.64,374.45,795.00,185.20,2022-12-18
133,NGPL,Ngadi Group Power Limited,24.69,201.00,204.00,200.00,204.00,202.74,"33,008.00",199.00,"6,692,089.70",192,5.0,4.0,2.51,2.0,0.62,268.18,372.09,795.00,185.20,2022-12-19
134,NGPL,Ngadi Group Power Limited,24.69,204.10,207.60,203.00,204.00,205.01,"32,355.00",204.00,"6,633,038.30",175,0.0,4.6,0.0,2.27,-0.49,265.50,369.83,795.00,185.20,2022-12-20
132,NGPL,Ngadi Group Power Limited,29.77,207.00,207.80,202.00,203.90,203.88,"28,466.00",204.00,"5,803,685.70",141,-0.1,5.8,-0.05,2.87,0.01,262.38,367.49,795.00,185.20,2022-12-21
129,NGPL,Ngadi Group Power Limited,39.19,203.00,206.90,201.40,204.00,203.21,"35,425.00",203.90,"7,198,725.40",155,0.1,5.5,0.05,2.73,0.39,259.50,365.18,795.00,185.20,2022-12-22
130,NGPL,Ngadi Group Power Limited,41.35,207.00,219.00,206.00,218.00,213.54,"100,956.00",204.00,"21,557,661.00",501,14.0,13.0,6.86,6.31,2.05,256.92,362.87,795.00,185.20,2022-12-26
136,NGPL,Ngadi Group Power Limited,47.31,222.00,228.00,219.10,220.00,223.78,"193,807.00",218.00,"43,371,046.10",872,2.0,8.90,0.92,4.06,-1.72,254.25,360.62,795.00,185.20,2022-12-27
134,NGPL,Ngadi Group Power Limited,54.47,220.10,223.00,214.00,217.00,218.79,"150,213.00",220.00,"32,864,495.80",548,-3.0,9.0,-1.36,4.21,-0.82,251.55,358.40,795.00,185.20,2022-12-28
136,NGPL,Ngadi Group Power Limited,54.47,220.00,229.00,215.00,227.00,223.55,"177,218.00",217.00,"39,617,673.90",619,10.0,14.0,4.61,6.51,1.52,249.06,356.23,795.00,185.20,2022-12-29
139,NGPL,Ngadi Group Power Limited,55.08,231.50,236.50,225.50,228.00,230.86,"212,310.00",227.00,"49,014,717.00",927,1.0,11.00,0.44,4.88,-1.26,246.72,354.14,795.00,185.20,2023-01-01
131,NGPL,Ngadi Group Power Limited,55.08,232.00,241.50,223.50,239.00,234.32,"231,535.00",228.00,"54,252,276.30",828,11.0,18.0,4.82,8.05,1.96,246.29,352.14,795.00,185.20,2023-01-02
135,NGPL,Ngadi Group Power Limited,56.59,242.00,243.00,235.20,236.00,239.44,"145,354.00",239.00,"34,803,554.80",688,-3.0,7.8,-1.26,3.32,-1.46,245.60,350.11,795.00,185.20,2023-01-03
135,NGPL,Ngadi Group Power Limited,57.6,235.00,251.00,235.00,249.90,242.50,"188,934.00",236.00,"45,815,690.50",821,13.9,16.0,5.89,6.81,2.96,245.11,348.17,795.00,185.20,2023-01-04
133,NGPL,Ngadi Group Power Limited,60.21,254.00,264.00,246.00,258.90,253.74,"303,047.00",249.90,"76,895,807.80","1,180",9.0,18.0,3.6,7.32,1.99,244.70,346.32,795.00,185.20,2023-01-05
135,NGPL,Ngadi Group Power Limited,61.41,264.00,284.70,254.00,284.60,275.35,"526,234.00",258.90,"144,897,410.40","2,149",25.70,30.70,9.93,12.09,3.25,-,-,795.00,185.20,2023-01-08
134,NGPL,Ngadi Group Power Limited,62.75,290.20,311.00,285.00,310.00,303.01,"560,047.00",284.60,"169,699,466.40","2,505",25.4,26.0,8.92,9.12,2.26,244.83,343.02,795.00,185.20,2023-01-09
130,NGPL,Ngadi Group Power Limited,60.39,315.00,338.60,299.00,316.00,323.73,"655,173.00",310.00,"212,101,436.60","3,187",6.0,39.6,1.94,13.24,-2.45,245.08,341.64,795.00,185.20,2023-01-10
130,NGPL,Ngadi Group Power Limited,60.42,322.30,340.00,306.00,308.00,318.06,"532,665.00",316.00,"169,420,670.90","2,455",-8.0,34.0,-2.53,11.11,-3.27,245.12,340.20,795.00,185.20,2023-01-12
127,NGPL,Ngadi Group Power Limited,55.68,305.00,318.00,301.10,315.00,312.59,"335,415.00",308.00,"104,847,316.00","1,525",7.0,16.9,2.27,5.61,0.77,245.23,338.89,775.00,185.20,2023-01-17
129,NGPL,Ngadi Group Power Limited,50.88,321.00,325.90,308.70,310.00,316.98,"243,724.00",315.00,"77,256,374.10","1,177",-5.0,17.2,-1.59,5.57,-2.25,245.34,337.61,775.00,185.20,2023-01-18
127,NGPL,Ngadi Group Power Limited,46.63,310.00,316.00,305.10,308.00,310.07,"117,022.00",310.00,"36,284,951.60",673,-2.0,10.9,-0.65,3.57,-0.67,245.42,336.07,753.50,185.20,2023-01-19
133,NGPL,Ngadi Group Power Limited,42.67,313.80,317.00,301.90,302.00,305.49,"204,725.00",308.00,"62,542,223.30",852,-6.0,15.1,-1.95,5.0,-1.16,245.44,334.57,753.50,185.20,2023-01-23
