SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
15,BHDC,Bindhyabasini Hydropower Development Company Limited,34.6,340.10,346.50,337.10,343.50,342.85,"3,370.00",343.10,"1,155,410.00",83,0.4,9.4,0.12,2.79,0.19,-,-,520.00,310.00,2022-12-07
15,BHDC,Bindhyabasini Hydropower Development Company Limited,34.6,340.10,346.50,337.10,343.50,342.85,"3,370.00",343.10,"1,155,410.00",83,0.4,9.4,0.12,2.79,0.19,-,-,520.00,310.00,2022-12-07
15,BHDC,Bindhyabasini Hydropower Development Company Limited,34.6,340.10,346.50,337.10,343.50,342.85,"3,370.00",343.10,"1,155,410.00",83,0.4,9.4,0.12,2.79,0.19,-,-,520.00,310.00,2022-12-09
15,BHDC,Bindhyabasini Hydropower Development Company Limited,36.02,337.00,342.00,331.00,341.00,338.45,"3,250.00",343.50,"1,099,958.00",74,-2.5,11.0,-0.73,3.32,0.75,-,-,520.00,310.00,2022-12-11
16,BHDC,Bindhyabasini Hydropower Development Company Limited,31.62,334.20,344.90,330.00,344.90,334.92,"1,535.00",341.00,"514,102.50",65,3.9,14.9,1.14,4.52,2.89,-,-,520.00,310.00,2022-12-12
16,BHDC,Bindhyabasini Hydropower Development Company Limited,40.09,338.30,348.00,338.30,348.00,344.82,"1,640.00",344.90,"565,507.00",60,3.1,9.7,0.9,2.87,0.91,-,-,520.00,310.00,2022-12-13
15,BHDC,Bindhyabasini Hydropower Development Company Limited,36.02,343.00,354.50,343.00,350.00,350.35,"6,181.00",348.00,"2,165,538.00",106,2.0,11.5,0.57,3.35,-0.1,-,-,520.00,310.00,2022-12-14
16,BHDC,Bindhyabasini Hydropower Development Company Limited,38.17,344.00,350.80,340.00,344.00,347.61,"3,759.00",350.00,"1,306,671.00",96,-6.0,10.8,-1.71,3.18,-1.05,-,-,520.00,310.00,2022-12-15
15,BHDC,Bindhyabasini Hydropower Development Company Limited,35.52,338.00,340.00,330.00,340.00,333.30,"8,570.00",344.00,"2,856,339.00",92,-4.0,10.0,-1.16,3.03,1.97,-,-,520.00,310.00,2022-12-18
16,BHDC,Bindhyabasini Hydropower Development Company Limited,27.92,333.20,340.00,332.00,340.00,336.65,"3,001.00",340.00,"1,010,297.00",78,0.0,8.0,0.0,2.41,0.98,-,-,520.00,310.00,2022-12-19
15,BHDC,Bindhyabasini Hydropower Development Company Limited,27.92,336.00,343.00,336.00,342.00,340.73,934.00,340.00,"318,238.90",65,2.0,7.0,0.59,2.08,0.37,-,-,520.00,310.00,2022-12-20
17,BHDC,Bindhyabasini Hydropower Development Company Limited,26.44,336.00,344.70,336.00,340.70,340.92,"2,000.00",342.00,"681,844.00",60,-1.3,8.7,-0.38,2.59,-0.07,-,-,520.00,310.00,2022-12-21
17,BHDC,Bindhyabasini Hydropower Development Company Limited,26.41,340.00,342.00,333.90,336.10,339.48,"2,870.00",340.70,"974,315.10",72,-4.6,8.1,-1.35,2.43,-1.01,-,-,520.00,310.00,2022-12-22
