SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
124,NBL,Nepal Bank Limited,27.91,278.00,280.00,275.50,275.50,276.95,"29,175.00",278.00,"8,080,033.40",167,-2.5,4.5,-0.9,1.63,-0.53,282.14,292.67,402.00,263.00,2022-12-07
124,NBL,Nepal Bank Limited,27.91,278.00,280.00,275.50,275.50,276.95,"29,175.00",278.00,"8,080,033.40",167,-2.5,4.5,-0.9,1.63,-0.53,282.14,292.67,402.00,263.00,2022-12-09
127,NBL,Nepal Bank Limited,29.32,276.10,278.00,273.20,274.00,274.62,"32,587.00",275.50,"8,949,014.50",224,-1.5,4.8,-0.54,1.76,-0.23,-,-,402.00,263.00,2022-12-11
125,NBL,Nepal Bank Limited,29.83,274.00,277.00,273.00,277.00,274.53,"15,664.00",274.00,"4,300,204.70",144,3.0,4.0,1.09,1.47,0.89,282.03,291.90,402.00,263.00,2022-12-12
125,NBL,Nepal Bank Limited,26.32,277.00,277.00,274.00,276.40,274.32,"128,136.00",277.00,"35,150,426.90",159,-0.6,3.0,-0.22,1.09,0.75,282.01,291.55,402.00,263.00,2022-12-13
125,NBL,Nepal Bank Limited,32.21,274.00,277.00,274.00,276.00,275.45,"11,493.00",276.40,"3,165,774.10",125,-0.4,3.0,-0.14,1.09,0.2,282.05,291.16,402.00,263.00,2022-12-14
129,NBL,Nepal Bank Limited,28.6,277.00,278.00,275.00,277.00,275.90,"19,693.00",276.00,"5,433,355.50",151,1.0,3.0,0.36,1.09,0.4,282.05,290.78,402.00,263.00,2022-12-15
126,NBL,Nepal Bank Limited,39.8,271.50,271.50,259.10,263.60,263.71,"115,056.00",277.00,"30,341,832.70",761,-13.4,12.4,-4.84,4.79,-0.04,281.97,290.36,402.00,259.10,2022-12-18
128,NBL,Nepal Bank Limited,25.57,267.00,267.00,262.30,264.00,264.08,"31,488.00",263.60,"8,315,360.80",253,0.4,4.7,0.15,1.79,-0.03,281.92,289.95,402.00,259.10,2022-12-19
129,NBL,Nepal Bank Limited,25.57,266.00,268.00,264.10,265.00,265.67,"27,742.00",264.00,"7,370,138.90",187,1.0,3.9,0.38,1.48,-0.25,281.89,289.57,402.00,259.10,2022-12-20
127,NBL,Nepal Bank Limited,25.91,266.00,270.00,266.00,266.50,268.19,"23,435.00",265.00,"6,285,075.40",194,1.5,4.0,0.57,1.5,-0.63,281.80,289.23,402.00,259.10,2022-12-21
124,NBL,Nepal Bank Limited,25.47,271.80,271.80,265.00,269.80,268.64,"41,644.00",266.50,"11,187,049.80",237,3.3,6.8,1.24,2.57,0.43,281.78,288.92,402.00,259.10,2022-12-22
124,NBL,Nepal Bank Limited,43.05,271.00,278.00,270.00,277.90,274.72,"55,877.00",269.80,"15,350,408.00",300,8.1,8.0,3.0,2.96,1.15,281.81,288.63,402.00,259.10,2022-12-26
131,NBL,Nepal Bank Limited,49.22,277.90,290.00,277.90,287.10,285.02,"73,968.00",277.90,"21,082,448.80",476,9.2,12.10,3.31,4.35,0.72,281.88,288.42,402.00,259.10,2022-12-27
129,NBL,Nepal Bank Limited,55.07,285.50,288.60,281.40,286.50,285.33,"112,881.00",287.10,"32,208,156.80",545,-0.6,7.2,-0.21,2.56,0.41,281.83,288.22,402.00,259.10,2022-12-28
130,NBL,Nepal Bank Limited,55.07,275.30,280.00,270.10,280.00,276.84,"92,934.00",280.88,"25,727,613.20",457,-0.88,9.9,-0.31,3.67,1.13,281.74,287.98,402.00,259.10,2022-12-29
133,NBL,Nepal Bank Limited,52.97,281.00,284.00,275.00,279.00,279.04,"72,930.00",280.00,"20,350,308.10",408,-1.0,9.00,-0.36,3.27,-0.01,281.64,287.75,402.00,259.10,2023-01-01
126,NBL,Nepal Bank Limited,52.97,281.90,281.90,273.60,277.90,277.43,"56,863.00",279.00,"15,775,682.60",288,-1.1,8.3,-0.39,3.03,0.17,281.54,287.54,402.00,259.10,2023-01-02
129,NBL,Nepal Bank Limited,37.12,276.00,277.00,274.10,274.90,275.19,"38,050.00",277.90,"10,470,962.60",256,-3.0,2.9,-1.08,1.06,-0.11,281.42,287.26,402.00,259.10,2023-01-03
129,NBL,Nepal Bank Limited,39.35,275.00,278.90,273.00,277.00,275.51,"55,521.00",274.90,"15,296,579.90",281,2.1,5.9,0.76,2.16,0.54,281.35,287.02,402.00,259.10,2023-01-04
127,NBL,Nepal Bank Limited,44.66,281.00,281.00,274.00,277.30,277.99,"87,289.00",277.00,"24,265,117.30",338,0.3,7.0,0.11,2.55,-0.25,281.26,286.79,402.00,259.10,2023-01-05
