SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
118,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,31.88,"1,035.30","1,035.30","1,009.40","1,009.40","1,012.07",586.00,"1,015.00","593,074.40",10,-5.6,25.9,-0.55,2.57,-0.26,"1,104.95","1,166.24","1,919.90",960.00,2022-12-07
118,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,31.88,"1,035.30","1,035.30","1,009.40","1,009.40","1,012.07",586.00,"1,015.00","593,074.40",10,-5.6,25.9,-0.55,2.57,-0.26,"1,104.95","1,166.24","1,919.90",960.00,2022-12-09
121,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,33.29,"1,010.00","1,029.00","1,010.00","1,027.00","1,022.16",31.00,"1,009.40","31,687.00",3,17.6,19.0,1.74,1.88,0.47,-,-,"1,919.90",960.00,2022-12-11
119,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,32.9,"1,015.00","1,039.00","1,010.00","1,039.00","1,026.16",229.00,"1,027.00","234,989.60",6,12.0,29.0,1.17,2.87,1.24,"1,105.01","1,161.21","1,919.90",960.00,2022-12-12
119,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,45.69,"1,050.00","1,050.00","1,020.00","1,039.00","1,022.25",171.00,"1,039.00","174,804.00",9,0.0,30.0,0.0,2.94,1.61,"1,105.14","1,158.74","1,919.90",960.00,2022-12-13
119,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,39.05,"1,030.00","1,039.00","1,020.00","1,039.00","1,028.32",246.00,"1,039.00","252,966.50",10,0.0,19.0,0.0,1.86,1.03,"1,105.41","1,156.23","1,919.90",960.00,2022-12-14
123,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,39.6,"1,039.00","1,058.00","1,039.00","1,058.00","1,045.76",147.00,"1,039.00","153,726.80",6,19.0,19.0,1.83,1.83,1.16,"1,105.90","1,153.91","1,919.90",960.00,2022-12-15
120,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,34.0,"1,036.90","1,036.90","1,036.00","1,036.00","1,036.45",20.00,"1,058.00","20,729.00",2,-22.0,0.9,-2.08,0.09,-0.04,"1,105.77","1,151.59","1,919.90",960.00,2022-12-18
122,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,27.42,"1,036.00","1,056.00","1,034.90","1,034.90","1,046.36",106.00,"1,036.00","110,914.00",6,-1.1,21.1,-0.11,2.04,-1.11,"1,105.81","1,149.17","1,919.90",960.00,2022-12-19
123,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,27.42,"1,015.00","1,020.10","1,005.00","1,020.00","1,017.98",214.00,"1,034.90","217,848.00",10,-14.9,15.1,-1.44,1.5,0.2,"1,105.73","1,146.81","1,919.90",960.00,2022-12-20
121,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,29.4,"1,020.00","1,020.00",990.00,990.00,998.47,242.00,"1,020.00","241,629.90",9,-30.0,30.0,-2.94,3.03,-0.86,"1,105.98","1,144.26","1,919.90",960.00,2022-12-21
118,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,28.15,992.00,"1,026.00",991.00,"1,026.00",999.97,519.00,990.00,"518,984.00",10,36.0,35.0,3.64,3.53,2.54,"1,105.78","1,142.01","1,919.90",960.00,2022-12-22
118,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,28.79,"1,046.00","1,066.70","1,007.00","1,066.70","1,038.40",222.00,"1,026.00","230,524.90",10,40.7,59.7,3.97,5.93,2.65,"1,106.17","1,140.13","1,919.90",960.00,2022-12-26
125,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,38.76,"1,085.00","1,088.00","1,055.00","1,076.00","1,067.47","1,137.00","1,066.70","1,213,708.30",34,9.3,33.00,0.87,3.13,0.79,"1,106.64","1,138.46","1,744.00",960.00,2022-12-27
123,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,54.4,"1,060.00","1,060.00","1,020.00","1,020.00","1,042.57",775.00,"1,076.00","807,989.00",20,-56.0,40.0,-5.2,3.92,-2.21,"1,106.31","1,136.32","1,744.00",960.00,2022-12-28
124,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,54.4,"1,015.00","1,082.40","1,015.00","1,082.40","1,053.89","1,604.00","1,020.00","1,690,442.00",16,62.4,67.4,6.12,6.64,2.63,"1,106.19","1,134.66","1,744.00",960.00,2022-12-29
127,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,41.28,"1,100.00","1,122.00","1,078.00","1,078.00","1,098.93",366.00,"1,082.40","402,208.00",11,-4.4,44.00,-0.41,4.08,-1.94,"1,105.89","1,133.08","1,744.00",960.00,2023-01-01
120,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,41.28,"1,078.00","1,099.00","1,068.00","1,078.00","1,084.58",288.00,"1,078.00","312,360.00",10,0.0,31.0,0.0,2.9,-0.61,"1,105.04","1,131.40","1,744.00",960.00,2023-01-02
123,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,39.91,"1,057.00","1,099.50","1,057.00","1,063.30","1,077.11",796.00,"1,078.00","857,380.00",15,-14.7,42.5,-1.36,4.02,-1.3,"1,104.41","1,129.77","1,744.00",960.00,2023-01-03
123,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,58.97,"1,075.00","1,149.00","1,070.00","1,135.00","1,105.65",791.00,"1,063.30","874,568.00",31,71.7,79.0,6.74,7.38,2.59,"1,104.62","1,128.67","1,744.00",960.00,2023-01-04
121,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,62.26,"1,157.70","1,223.90","1,120.00","1,223.90","1,169.85","2,216.00","1,135.00","2,592,387.40",59,88.9,103.9,7.83,9.28,4.42,"1,105.39","1,128.07","1,744.00",960.00,2023-01-05
124,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,63.46,"1,248.00","1,271.80","1,201.10","1,225.10","1,249.52","1,249.00","1,223.90","1,560,644.60",26,1.20,70.70,0.1,5.89,-1.99,-,-,"1,744.00",960.00,2023-01-08
123,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,63.44,"1,216.00","1,260.00","1,216.00","1,230.90","1,233.79","1,480.00","1,225.10","1,826,016.10",32,5.8,44.0,0.47,3.62,-0.24,"1,106.92","1,127.13","1,744.00",960.00,2023-01-09
118,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,62.76,"1,255.00","1,280.00","1,231.10","1,235.00","1,257.27","1,061.00","1,230.90","1,333,965.10",38,4.1,48.9,0.33,3.97,-1.8,"1,108.32","1,126.49","1,715.00",960.00,2023-01-18
116,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,55.84,"1,225.00","1,268.00","1,210.30","1,250.10","1,227.19","1,696.00","1,235.00","2,081,308.60",36,15.1,57.7,1.22,4.77,1.83,"1,109.85","1,126.05","1,715.00",960.00,2023-01-19
122,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,49.59,"1,232.00","1,244.00","1,207.80","1,244.00","1,230.89",550.00,"1,250.10","676,992.00",16,-6.1,36.2,-0.49,3.0,1.05,"1,110.83","1,125.71","1,700.00",960.00,2023-01-23
120,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,45.11,"1,221.00","1,240.00","1,220.00","1,240.00","1,229.09",357.00,"1,244.00","438,786.00",15,-4.0,20.0,-0.32,1.64,0.88,"1,111.72","1,125.24","1,670.00",960.00,2023-01-24
119,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,43.74,"1,240.00","1,264.80","1,225.60","1,255.00","1,248.82",659.00,"1,240.00","822,969.40",12,15.0,39.2,1.21,3.2,0.49,"1,112.55","1,124.99","1,670.00",960.00,2023-01-25
