SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
75,JBBL,Jyoti Bikash Bank Limited,29.75,278.10,282.00,277.00,277.00,278.88,"20,065.00",282.00,"5,595,664.70",120,-5.0,5.0,-1.77,1.81,-0.68,292.60,315.14,499.90,248.00,2022-12-07
75,JBBL,Jyoti Bikash Bank Limited,29.75,278.10,282.00,277.00,277.00,278.88,"20,065.00",282.00,"5,595,664.70",120,-5.0,5.0,-1.77,1.81,-0.68,292.60,315.14,499.90,248.00,2022-12-09
79,JBBL,Jyoti Bikash Bank Limited,31.17,276.00,277.00,271.00,271.10,273.47,"17,041.00",277.00,"4,660,150.20",158,-5.9,6.0,-2.13,2.21,-0.87,-,-,493.90,248.00,2022-12-11
77,JBBL,Jyoti Bikash Bank Limited,30.66,272.00,280.00,272.00,280.00,276.35,"24,562.00",271.10,"6,787,681.50",130,8.9,8.0,3.28,2.94,1.3,292.30,313.61,493.90,248.00,2022-12-12
76,JBBL,Jyoti Bikash Bank Limited,33.05,277.00,281.00,275.00,280.00,276.91,"9,550.00",280.00,"2,644,526.30",72,0.0,6.0,0.0,2.18,1.1,292.29,312.88,493.90,248.00,2022-12-13
78,JBBL,Jyoti Bikash Bank Limited,29.55,280.00,280.00,275.00,275.00,277.32,"11,900.00",280.00,"3,300,062.50",74,-5.0,5.0,-1.79,1.82,-0.84,292.33,312.08,493.90,248.00,2022-12-14
82,JBBL,Jyoti Bikash Bank Limited,26.75,270.00,276.50,270.00,274.00,273.83,"4,740.00",275.00,"1,297,936.80",66,-1.0,6.5,-0.36,2.41,0.06,292.27,311.22,493.90,248.00,2022-12-15
79,JBBL,Jyoti Bikash Bank Limited,40.09,273.00,273.00,268.00,269.00,269.64,"17,210.00",274.00,"4,640,420.90",125,-5.0,5.0,-1.82,1.87,-0.24,292.27,310.37,493.90,248.00,2022-12-18
80,JBBL,Jyoti Bikash Bank Limited,28.03,270.00,272.90,266.20,269.00,269.40,"12,940.00",269.00,"3,486,086.40",81,0.0,6.7,0.0,2.52,-0.15,292.36,309.59,493.90,248.00,2022-12-19
79,JBBL,Jyoti Bikash Bank Limited,28.03,273.40,273.40,267.00,270.00,270.32,"12,409.00",269.00,"3,354,351.30",76,1.0,6.4,0.37,2.4,-0.12,292.40,308.88,493.90,248.00,2022-12-20
78,JBBL,Jyoti Bikash Bank Limited,36.43,266.00,271.70,266.00,266.00,267.31,"10,149.00",270.00,"2,712,919.00",87,-4.0,5.7,-1.48,2.14,-0.49,292.20,308.17,493.90,248.00,2022-12-21
78,JBBL,Jyoti Bikash Bank Limited,31.08,265.00,268.50,264.60,266.90,265.63,"11,246.00",266.00,"2,987,308.00",93,0.9,3.9,0.34,1.47,0.47,292.10,307.49,493.90,248.00,2022-12-22
78,JBBL,Jyoti Bikash Bank Limited,36.26,270.00,289.00,270.00,288.50,279.78,"39,312.00",266.90,"10,998,831.10",244,21.6,19.0,8.09,7.04,3.02,292.24,306.85,493.90,248.00,2022-12-26
82,JBBL,Jyoti Bikash Bank Limited,44.87,292.00,299.90,290.00,295.00,294.67,"71,926.00",288.50,"21,194,476.80",476,6.5,9.90,2.25,3.41,0.11,292.32,306.28,493.90,248.00,2022-12-27
81,JBBL,Jyoti Bikash Bank Limited,53.93,290.10,296.00,286.20,288.00,291.05,"44,395.00",295.00,"12,921,035.60",225,-7.0,9.8,-2.37,3.42,-1.06,292.20,305.72,493.90,248.00,2022-12-28
82,JBBL,Jyoti Bikash Bank Limited,53.93,286.00,299.80,285.00,298.00,296.21,"45,156.00",288.00,"13,375,449.50",310,10.0,14.8,3.47,5.19,0.6,292.22,305.22,493.90,248.00,2022-12-29
84,JBBL,Jyoti Bikash Bank Limited,56.35,302.80,310.00,296.10,300.00,303.75,"96,840.00",298.00,"29,415,592.40",486,2.0,13.90,0.67,4.69,-1.25,292.14,304.75,493.90,248.00,2023-01-01
79,JBBL,Jyoti Bikash Bank Limited,56.35,300.00,307.00,294.00,304.00,303.22,"57,474.00",300.00,"17,427,466.70",265,4.0,13.0,1.33,4.42,0.26,292.10,304.33,493.90,248.00,2023-01-02
81,JBBL,Jyoti Bikash Bank Limited,54.86,300.10,308.00,300.10,302.00,304.77,"53,436.00",304.00,"16,285,425.90",260,-2.0,7.9,-0.66,2.63,-0.92,292.14,303.85,493.90,248.00,2023-01-03
82,JBBL,Jyoti Bikash Bank Limited,58.18,297.00,315.00,297.00,313.00,309.59,"82,172.00",302.00,"25,439,281.20",369,11.0,18.0,3.64,6.06,1.09,292.20,303.48,493.90,248.00,2023-01-04
81,JBBL,Jyoti Bikash Bank Limited,58.48,319.20,325.00,309.00,316.00,316.43,"120,222.00",313.00,"38,042,242.20",528,3.0,16.0,0.96,5.18,-0.14,292.34,303.17,493.90,248.00,2023-01-05
84,JBBL,Jyoti Bikash Bank Limited,59.68,309.70,323.00,305.00,315.00,313.80,"251,437.00",316.00,"78,900,100.00",968,-1.00,18.00,-0.32,5.9,0.38,-,-,493.90,248.00,2023-01-08
80,JBBL,Jyoti Bikash Bank Limited,58.28,309.00,326.00,309.00,324.50,320.30,"182,156.00",315.00,"58,344,314.00",647,9.5,17.0,3.02,5.5,1.29,292.93,302.53,493.90,248.00,2023-01-09
79,JBBL,Jyoti Bikash Bank Limited,54.77,328.00,344.00,318.40,324.00,333.32,"228,811.00",324.50,"76,268,131.90","1,139",-0.5,25.6,-0.15,8.04,-2.88,293.26,302.28,493.90,248.00,2023-01-10
82,JBBL,Jyoti Bikash Bank Limited,54.79,330.40,345.00,313.00,316.00,324.23,"192,459.00",324.00,"62,400,282.70",760,-8.0,32.0,-2.47,10.22,-2.6,293.35,302.00,493.90,248.00,2023-01-12
78,JBBL,Jyoti Bikash Bank Limited,48.85,321.00,327.00,310.70,325.00,319.84,"73,575.00",316.00,"23,531,933.90",403,9.0,16.3,2.85,5.25,1.59,293.53,301.82,490.00,248.00,2023-01-17
