SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
132,NHDL,Nepal Hydro Developer Limited,26.67,314.00,319.90,314.00,315.40,316.28,"2,983.00",320.00,"943,453.10",15,-4.6,5.9,-1.44,1.88,-0.28,352.10,378.89,625.00,294.00,2022-12-07
132,NHDL,Nepal Hydro Developer Limited,26.67,314.00,319.90,314.00,315.40,316.28,"2,983.00",320.00,"943,453.10",15,-4.6,5.9,-1.44,1.88,-0.28,352.10,378.89,625.00,294.00,2022-12-09
134,NHDL,Nepal Hydro Developer Limited,28.08,310.00,326.00,309.90,310.00,312.10,"5,502.00",315.40,"1,717,154.80",37,-5.4,16.1,-1.71,5.2,-0.68,-,-,625.00,294.00,2022-12-11
131,NHDL,Nepal Hydro Developer Limited,31.34,315.00,318.00,313.50,315.00,316.32,"1,521.00",310.00,"481,121.70",18,5.0,4.5,1.61,1.44,-0.42,351.26,376.72,625.00,294.00,2022-12-12
132,NHDL,Nepal Hydro Developer Limited,26.06,315.10,320.00,310.20,320.00,314.38,"1,992.00",315.00,"626,242.00",18,5.0,9.8,1.59,3.16,1.76,351.06,375.68,625.00,294.00,2022-12-13
131,NHDL,Nepal Hydro Developer Limited,31.17,316.10,320.00,313.60,313.60,316.12,"2,275.00",320.00,"719,174.40",17,-6.4,6.4,-2.0,2.04,-0.8,350.90,374.49,625.00,294.00,2022-12-14
137,NHDL,Nepal Hydro Developer Limited,24.71,309.00,310.50,309.00,310.50,309.88,"2,469.00",313.60,"765,087.40",20,-3.1,1.5,-0.99,0.49,0.2,350.65,373.31,625.00,294.00,2022-12-15
132,NHDL,Nepal Hydro Developer Limited,38.34,305.00,310.30,300.10,305.00,301.83,"1,722.00",310.50,"519,743.00",27,-5.5,10.2,-1.77,3.4,1.04,350.40,372.17,625.00,294.00,2022-12-18
134,NHDL,Nepal Hydro Developer Limited,26.93,300.00,305.00,299.00,301.20,300.27,"2,698.00",305.00,"810,117.20",24,-3.8,6.0,-1.25,2.01,0.31,350.29,371.03,625.00,294.00,2022-12-19
135,NHDL,Nepal Hydro Developer Limited,26.93,301.10,313.00,301.10,310.00,308.07,"1,423.00",301.20,"438,385.00",15,8.8,11.9,2.92,3.95,0.62,350.25,370.06,625.00,294.00,2022-12-20
133,NHDL,Nepal Hydro Developer Limited,33.32,306.00,309.00,304.00,304.00,305.83,"2,488.00",310.00,"760,916.00",21,-6.0,5.0,-1.94,1.64,-0.6,349.92,369.07,625.00,294.00,2022-12-21
130,NHDL,Nepal Hydro Developer Limited,34.66,301.60,317.20,301.60,317.20,307.19,"1,809.00",304.00,"555,712.80",15,13.2,15.6,4.34,5.17,3.15,349.75,368.11,625.00,294.00,2022-12-22
131,NHDL,Nepal Hydro Developer Limited,40.99,303.10,324.00,303.10,318.50,319.41,"8,315.00",302.10,"2,655,898.60",39,16.4,20.9,5.43,6.9,-0.29,349.69,367.07,625.00,294.00,2022-12-26
137,NHDL,Nepal Hydro Developer Limited,47.96,324.80,337.00,322.00,330.60,329.31,"23,468.00",318.50,"7,728,133.00",112,12.1,15.00,3.8,4.66,0.39,349.64,366.20,625.00,294.00,2022-12-27
135,NHDL,Nepal Hydro Developer Limited,51.49,330.60,331.00,325.00,328.00,328.56,"7,010.00",330.60,"2,303,196.50",42,-2.6,6.0,-0.79,1.85,-0.17,349.41,365.34,625.00,294.00,2022-12-28
137,NHDL,Nepal Hydro Developer Limited,51.49,322.00,355.00,322.00,355.00,338.59,"13,145.00",328.00,"4,450,747.70",70,27.0,33.0,8.23,10.25,4.62,349.47,364.68,625.00,294.00,2022-12-29
140,NHDL,Nepal Hydro Developer Limited,54.44,358.00,359.00,342.00,345.00,351.06,"15,629.00",355.00,"5,486,713.70",93,-10.0,17.00,-2.82,4.97,-1.76,349.22,364.05,625.00,294.00,2023-01-01
132,NHDL,Nepal Hydro Developer Limited,54.44,349.00,353.90,345.00,352.00,350.26,"6,334.00",345.00,"2,218,517.00",53,7.0,8.9,2.03,2.58,0.5,349.06,363.49,625.00,294.00,2023-01-02
136,NHDL,Nepal Hydro Developer Limited,52.61,345.00,364.90,338.10,354.00,353.59,"14,436.00",352.00,"5,104,398.20",78,2.0,26.8,0.57,7.93,0.12,349.02,362.87,625.00,294.00,2023-01-03
136,NHDL,Nepal Hydro Developer Limited,60.28,353.00,380.00,349.00,378.90,358.31,"16,951.00",354.00,"6,073,749.60",81,24.9,31.0,7.03,8.88,5.43,349.09,362.47,625.00,294.00,2023-01-04
134,NHDL,Nepal Hydro Developer Limited,60.53,386.40,386.40,365.10,382.00,374.98,"23,404.00",378.90,"8,775,928.80",134,3.1,21.3,0.82,5.83,1.84,349.20,362.14,625.00,294.00,2023-01-05
136,NHDL,Nepal Hydro Developer Limited,61.73,388.00,399.00,368.00,383.00,389.34,"29,518.00",382.00,"11,492,644.80",140,1.00,31.00,0.26,8.42,-1.66,-,-,625.00,294.00,2023-01-08
135,NHDL,Nepal Hydro Developer Limited,57.11,381.00,399.00,381.00,394.10,394.14,"20,845.00",383.00,"8,215,912.30",110,11.1,18.0,2.9,4.72,-0.01,349.93,361.56,625.00,294.00,2023-01-09
131,NHDL,Nepal Hydro Developer Limited,54.38,400.20,419.00,378.50,392.00,402.22,"59,899.00",394.10,"24,092,541.60",263,-2.1,40.5,-0.53,10.7,-2.61,350.42,361.46,625.00,294.00,2023-01-10
131,NHDL,Nepal Hydro Developer Limited,54.41,399.80,404.00,372.40,380.00,387.59,"21,929.00",392.00,"8,499,373.20",138,-12.0,31.6,-3.06,8.49,-2.0,350.62,361.25,625.00,294.00,2023-01-12
