SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
165,PHCL,Peoples Hydropower Company Limited,0.0,300.00,300.00,270.00,270.00,271.31,"13,121.00",300.00,"3,559,832.10","1,084",-30.0,30.0,-10.0,11.11,-0.48,-,-,300.00,270.00,2022-12-14
172,PHCL,Peoples Hydropower Company Limited,32.84,264.60,264.60,243.00,243.00,243.60,"6,205.00",270.00,"1,511,562.00",134,-27.0,21.6,-10.0,8.89,-0.25,-,-,300.00,243.00,2022-12-15
167,PHCL,Peoples Hydropower Company Limited,22.07,238.20,238.20,218.70,218.70,218.81,"6,609.00",243.00,"1,446,098.30",210,-24.3,19.5,-10.0,8.92,-0.05,-,-,300.00,218.70,2022-12-18
167,PHCL,Peoples Hydropower Company Limited,27.76,214.40,214.40,196.90,205.50,200.65,"163,559.00",218.70,"32,818,434.20","11,200",-13.2,17.5,-6.04,8.89,2.36,-,-,300.00,196.90,2022-12-19
171,PHCL,Peoples Hydropower Company Limited,27.76,201.40,209.20,198.50,205.80,203.93,"55,571.00",205.50,"11,332,632.40","3,621",0.3,10.7,0.15,5.39,0.91,-,-,300.00,196.90,2022-12-20
168,PHCL,Peoples Hydropower Company Limited,26.62,202.00,205.50,200.50,204.90,203.79,"29,210.00",205.80,"5,952,650.00","1,989",-0.9,5.0,-0.44,2.49,0.54,-,-,300.00,196.90,2022-12-21
164,PHCL,Peoples Hydropower Company Limited,24.44,204.00,204.00,197.10,199.00,199.72,"38,684.00",204.90,"7,725,879.80","1,560",-5.9,6.9,-2.88,3.5,-0.36,-,-,300.00,196.90,2022-12-22
165,PHCL,Peoples Hydropower Company Limited,30.22,202.90,210.10,197.00,205.00,202.95,"48,390.00",199.00,"9,820,817.00","1,938",6.0,13.1,3.02,6.65,1.0,-,-,300.00,196.90,2022-12-26
175,PHCL,Peoples Hydropower Company Limited,39.0,202.00,215.00,202.00,210.00,210.72,"70,046.00",205.00,"14,760,081.20","1,912",5.0,13.00,2.44,6.44,-0.34,-,-,300.00,196.90,2022-12-27
171,PHCL,Peoples Hydropower Company Limited,41.37,207.00,213.90,203.50,208.00,209.36,"37,641.00",210.00,"7,880,651.90","1,480",-2.0,10.4,-0.95,5.11,-0.66,-,-,300.00,196.90,2022-12-28
172,PHCL,Peoples Hydropower Company Limited,41.37,208.00,219.00,205.10,214.10,213.62,"33,748.00",208.00,"7,209,104.30","1,548",6.1,13.9,2.93,6.78,0.23,-,-,300.00,196.90,2022-12-29
176,PHCL,Peoples Hydropower Company Limited,50.14,214.10,225.40,213.90,218.00,220.68,"89,702.00",214.10,"19,795,547.40","1,673",3.9,11.50,1.82,5.38,-1.23,-,-,300.00,196.90,2023-01-01
168,PHCL,Peoples Hydropower Company Limited,50.14,213.80,229.90,213.70,228.00,223.32,"74,947.00",218.00,"16,736,897.20","1,829",10.0,16.2,4.59,7.58,2.05,-,-,300.00,196.90,2023-01-02
173,PHCL,Peoples Hydropower Company Limited,50.85,228.00,239.30,225.00,234.00,230.92,"43,536.00",228.00,"10,053,290.10","1,628",6.0,14.3,2.63,6.36,1.32,-,-,300.00,196.90,2023-01-03
172,PHCL,Peoples Hydropower Company Limited,51.13,229.40,252.90,229.40,250.00,238.71,"69,470.00",234.00,"16,583,247.40","2,043",16.0,23.5,6.84,10.24,4.52,-,-,300.00,196.90,2023-01-04
171,PHCL,Peoples Hydropower Company Limited,55.68,250.00,258.00,238.10,249.00,246.96,"68,130.00",250.00,"16,825,083.20","1,734",-1.0,19.9,-0.4,8.36,0.82,-,-,300.00,196.90,2023-01-05
173,PHCL,Peoples Hydropower Company Limited,56.88,253.90,268.00,240.30,253.80,253.41,"90,591.00",249.00,"22,956,423.80","1,884",4.80,27.70,1.93,11.53,0.15,-,-,300.00,196.90,2023-01-08
170,PHCL,Peoples Hydropower Company Limited,67.2,249.00,279.10,249.00,279.10,270.01,"94,077.00",253.80,"25,401,267.20","2,267",25.3,30.1,9.97,12.09,3.26,-,-,300.00,196.90,2023-01-09
168,PHCL,Peoples Hydropower Company Limited,57.1,281.00,300.00,267.00,275.00,286.89,"83,862.00",279.10,"24,059,548.40","2,108",-4.1,33.0,-1.47,12.36,-4.33,-,-,300.00,196.90,2023-01-10
165,PHCL,Peoples Hydropower Company Limited,57.13,277.00,288.00,270.00,270.00,277.87,"78,962.00",275.00,"21,940,980.50","2,349",-5.0,18.0,-1.82,6.67,-2.91,-,-,300.00,196.90,2023-01-12
166,PHCL,Peoples Hydropower Company Limited,48.03,270.00,297.00,270.00,297.00,291.46,"83,296.00",270.00,"24,277,578.50","2,175",27.0,27.0,10.0,10.0,1.86,0.00,0.00,300.00,196.90,2023-01-17
163,PHCL,Peoples Hydropower Company Limited,65.53,302.00,326.70,302.00,326.70,326.65,"53,835.00",297.00,"17,585,093.50","1,840",29.7,24.7,10.0,8.18,0.02,0.00,0.00,326.70,196.90,2023-01-18
162,PHCL,Peoples Hydropower Company Limited,58.56,333.20,359.30,316.00,345.00,345.28,"301,371.00",326.70,"104,058,502.20","6,933",18.3,43.3,5.6,13.7,-0.08,0.00,0.00,359.30,196.90,2023-01-19
169,PHCL,Peoples Hydropower Company Limited,57.4,345.00,379.50,339.00,374.50,368.55,"127,279.00",345.00,"46,908,726.60","4,299",29.5,40.5,8.55,11.95,1.59,0.00,0.00,379.50,196.90,2023-01-23
162,PHCL,Peoples Hydropower Company Limited,54.61,370.00,402.00,353.00,390.00,368.90,"76,695.00",374.50,"28,293,009.40","4,017",15.5,49.0,4.14,13.88,5.41,0.00,0.00,402.00,196.90,2023-01-24
169,PHCL,Peoples Hydropower Company Limited,51.0,391.60,405.00,372.50,377.00,378.03,"157,234.00",390.00,"59,439,642.50","2,822",-13.0,32.5,-3.33,8.72,-0.27,0.00,0.00,405.00,196.90,2023-01-25
164,PHCL,Peoples Hydropower Company Limited,52.48,372.00,384.40,365.00,370.00,371.58,"94,783.00",377.00,"35,219,250.70","2,483",-7.0,19.4,-1.86,5.32,-0.43,0.00,0.00,405.00,196.90,2023-01-26
173,PHCL,Peoples Hydropower Company Limited,47.16,362.60,374.00,355.40,361.80,366.16,"57,465.00",370.00,"21,041,302.20","2,246",-8.2,18.6,-2.22,5.23,-1.2,0.00,0.00,405.00,196.90,2023-01-29
166,PHCL,Peoples Hydropower Company Limited,42.59,357.20,394.00,357.20,380.00,378.80,"252,453.00",361.80,"95,629,697.20","3,891",18.2,36.8,5.03,10.3,0.32,0.00,0.00,405.00,196.90,2023-01-30
169,PHCL,Peoples Hydropower Company Limited,47.36,378.00,416.10,376.10,397.60,395.61,"116,340.00",380.00,"46,025,010.30","3,635",17.6,40.0,4.63,10.64,0.5,0.00,0.00,416.10,196.90,2023-01-31
168,PHCL,Peoples Hydropower Company Limited,44.15,397.00,405.00,385.00,399.00,398.48,"98,335.00",397.60,"39,184,414.00","2,423",1.4,20.0,0.35,5.19,0.13,0.00,0.00,416.10,196.90,2023-02-01
168,PHCL,Peoples Hydropower Company Limited,45.54,392.00,403.90,377.30,383.00,388.37,"82,932.00",399.00,"32,208,679.90","1,716",-16.0,26.6,-4.01,7.05,-1.4,0.00,0.00,416.10,196.90,2023-02-02
169,PHCL,Peoples Hydropower Company Limited,37.93,376.00,400.00,370.20,377.00,379.58,"58,573.00",383.00,"22,233,297.20","1,721",-6.0,29.8,-1.57,8.05,-0.69,0.00,0.00,416.10,196.90,2023-02-05
