SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
104,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,45.93,765.00,780.30,763.00,770.00,775.19,"1,809.00",777.90,"1,402,322.00",29,-7.9,17.3,-1.02,2.27,-0.67,824.81,865.60,"1,340.20",730.00,2022-12-07
104,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,45.93,765.00,780.30,763.00,770.00,775.19,"1,809.00",777.90,"1,402,322.00",29,-7.9,17.3,-1.02,2.27,-0.67,824.81,865.60,"1,340.20",730.00,2022-12-09
107,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,47.35,755.00,761.00,755.00,755.20,756.34,"1,262.00",770.00,"954,505.30",30,-14.8,6.0,-1.92,0.79,-0.15,-,-,"1,340.20",730.00,2022-12-11
105,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,33.08,750.00,770.00,748.00,770.00,759.31,"1,995.00",755.20,"1,514,828.90",27,14.8,22.0,1.96,2.94,1.39,823.35,862.13,"1,340.20",730.00,2022-12-12
104,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,30.8,770.00,775.00,761.10,766.00,766.24,934.00,770.00,"715,666.90",22,-4.0,13.9,-0.52,1.83,-0.03,822.91,860.52,"1,340.20",730.00,2022-12-13
105,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,28.16,758.00,766.00,752.10,752.10,760.19,"1,397.00",766.00,"1,061,981.70",22,-13.9,13.9,-1.81,1.85,-1.08,822.59,858.81,"1,340.20",730.00,2022-12-14
109,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,26.56,750.00,760.00,744.50,760.00,755.82,"1,806.00",752.10,"1,365,002.50",29,7.9,15.5,1.05,2.08,0.55,822.13,857.13,"1,340.20",730.00,2022-12-15
106,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,36.17,760.00,760.00,750.00,754.00,753.33,754.00,760.00,"568,009.50",22,-6.0,10.0,-0.79,1.33,0.09,821.69,855.44,"1,340.20",730.00,2022-12-18
107,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,26.71,750.20,752.00,750.00,750.00,749.70,"1,107.00",754.00,"829,913.30",26,-4.0,2.0,-0.53,0.27,0.04,821.41,853.72,"1,340.20",730.00,2022-12-19
109,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,26.71,750.00,763.40,750.00,758.00,757.75,"3,195.00",750.00,"2,421,026.00",44,8.0,13.4,1.07,1.79,0.03,821.19,852.17,"1,340.20",730.00,2022-12-20
107,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,48.62,745.00,759.00,722.00,739.00,737.75,"8,730.00",758.00,"6,440,527.10",137,-19.0,37.0,-2.51,5.12,0.17,820.45,850.68,"1,340.20",722.00,2022-12-21
105,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,33.33,731.00,735.00,730.00,734.00,731.01,"3,328.00",739.00,"2,432,814.30",45,-5.0,5.0,-0.68,0.68,0.41,819.73,849.16,"1,340.20",722.00,2022-12-22
105,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,29.93,734.00,757.00,734.00,748.20,743.42,"3,883.00",734.00,"2,886,684.80",55,14.2,23.0,1.93,3.13,0.64,819.21,847.59,"1,340.20",722.00,2022-12-26
110,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,33.19,761.00,770.00,755.00,755.00,762.41,"5,397.00",748.20,"4,114,741.50",101,6.8,15.00,0.91,1.99,-0.98,818.54,846.18,"1,340.20",722.00,2022-12-27
108,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,51.31,755.00,761.00,748.00,757.60,752.35,"3,951.00",755.00,"2,972,548.80",55,2.6,13.0,0.34,1.74,0.69,817.45,844.85,"1,340.20",722.00,2022-12-28
110,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,51.31,764.00,805.00,760.10,794.00,776.00,"7,545.00",757.60,"5,854,919.60",113,36.4,44.9,4.8,5.91,2.27,816.67,843.75,"1,340.20",722.00,2022-12-29
112,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,54.83,801.00,824.90,790.00,803.00,803.80,"6,758.00",794.00,"5,432,056.00",113,9.0,34.90,1.13,4.42,-0.1,815.78,842.81,"1,340.20",722.00,2023-01-01
105,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,54.83,790.00,808.00,790.00,799.00,800.53,"3,488.00",803.00,"2,792,254.00",77,-4.0,18.0,-0.5,2.28,-0.19,815.02,841.91,"1,340.20",722.00,2023-01-02
107,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,53.5,814.00,829.70,801.10,818.00,818.85,"10,757.00",799.00,"8,808,423.10",134,19.0,28.6,2.38,3.57,-0.1,814.71,840.99,"1,340.20",722.00,2023-01-03
108,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,61.53,825.00,899.80,825.00,885.00,866.79,"16,475.00",818.00,"14,280,421.00",214,67.0,74.8,8.19,9.07,2.06,814.75,840.49,"1,340.20",722.00,2023-01-04
107,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,63.8,902.00,945.00,902.00,943.90,927.73,"43,421.00",885.00,"40,282,754.70",554,58.9,43.0,6.66,4.77,1.71,815.31,840.43,"1,340.20",722.00,2023-01-05
110,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,65.0,875.20,875.20,826.00,835.00,844.74,"16,369.00",858.09,"13,827,624.60",207,-23.09,49.20,-2.69,5.96,-1.17,-,-,"1,340.20",722.00,2023-01-08
108,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,49.18,851.00,851.00,825.10,831.00,834.33,"6,397.00",835.00,"5,337,224.80",132,-4.0,25.9,-0.48,3.14,-0.4,815.13,838.89,"1,340.20",722.00,2023-01-09
106,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,42.63,831.00,845.00,790.00,807.70,821.18,"10,391.00",831.00,"8,532,915.30",174,-23.3,55.0,-2.8,6.96,-1.67,815.03,838.10,"1,340.20",722.00,2023-01-10
107,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,42.65,815.00,831.00,760.00,767.00,791.75,"6,516.00",807.70,"5,159,058.60",136,-40.7,71.0,-5.04,9.34,-3.23,814.49,837.06,"1,340.20",722.00,2023-01-12
103,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,41.38,782.30,783.00,765.00,782.00,775.03,"4,559.00",767.00,"3,533,370.20",85,15.0,18.0,1.96,2.35,0.89,814.08,836.15,"1,320.00",722.00,2023-01-17
104,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,40.54,780.00,795.00,768.00,775.00,781.87,"6,239.00",782.00,"4,878,104.30",99,-7.0,27.0,-0.9,3.52,-0.89,813.48,835.18,"1,300.00",722.00,2023-01-18
102,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,40.95,761.00,778.00,760.00,762.00,770.94,"4,600.00",775.00,"3,546,342.00",91,-13.0,18.0,-1.68,2.37,-1.17,812.74,833.88,"1,298.90",722.00,2023-01-19
106,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,37.51,763.00,800.00,760.00,764.00,771.26,"4,996.00",762.00,"3,853,211.00",80,2.0,40.0,0.26,5.26,-0.95,811.90,832.68,"1,280.00",722.00,2023-01-23
106,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,38.14,775.00,775.00,756.00,765.00,761.70,"4,047.00",764.00,"3,082,587.50",55,1.0,19.0,0.13,2.51,0.43,810.94,831.52,"1,255.00",722.00,2023-01-24
105,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,37.1,767.00,790.00,765.00,788.00,778.13,"9,533.00",765.00,"7,417,878.00",102,23.0,25.0,3.01,3.27,1.25,810.16,830.48,"1,255.00",722.00,2023-01-25
103,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,51.21,803.00,805.00,770.00,784.00,778.91,"6,975.00",788.00,"5,432,893.00",86,-4.0,35.0,-0.51,4.55,0.65,809.33,829.46,"1,255.00",722.00,2023-01-26
107,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,51.23,769.00,779.00,757.20,772.50,766.15,"1,661.00",784.00,"1,272,577.10",49,-11.5,21.8,-1.47,2.88,0.82,808.58,828.52,"1,255.00",722.00,2023-01-29
106,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,44.55,758.00,762.00,740.00,749.00,749.50,"5,534.00",772.50,"4,147,736.10",99,-23.5,22.0,-3.04,2.97,-0.07,807.25,827.63,"1,255.00",722.00,2023-01-30
107,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,37.11,745.00,752.00,736.40,750.00,740.11,"3,474.00",749.00,"2,571,134.40",69,1.0,15.6,0.13,2.12,1.32,805.51,826.80,"1,255.00",722.00,2023-01-31
103,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,33.63,740.00,749.50,721.50,744.00,734.96,"4,199.00",750.00,"3,086,080.50",52,-6.0,28.0,-0.8,3.88,1.22,804.00,825.89,"1,239.00",721.50,2023-02-01
105,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,36.83,735.50,745.00,730.00,738.00,736.49,"2,766.00",744.00,"2,037,143.40",50,-6.0,15.0,-0.81,2.05,0.2,802.32,824.90,"1,232.00",721.50,2023-02-02
109,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,37.52,725.00,739.00,725.00,728.00,729.04,"2,036.00",738.00,"1,484,331.50",45,-10.0,14.0,-1.36,1.93,-0.14,800.32,823.75,"1,213.00",721.50,2023-02-05
110,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,37.19,714.00,743.00,713.00,738.00,727.70,"10,129.00",715.00,"7,370,895.30",107,23.0,30.0,3.22,4.21,1.4,796.37,821.14,"1,213.00",712.50,2023-02-07
108,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,50.63,735.00,750.00,733.00,750.00,743.03,"2,630.00",740.00,"1,954,175.90",41,10.0,17.0,1.35,2.32,0.93,792.74,819.08,"1,179.00",712.50,2023-02-09
104,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,46.84,745.00,745.00,720.00,725.00,725.05,"3,738.00",750.00,"2,710,222.00",70,-25.0,25.0,-3.33,3.47,-0.01,790.75,818.00,"1,160.00",712.50,2023-02-12
108,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,38.26,712.00,725.20,711.00,721.00,718.29,"1,524.00",725.00,"1,094,671.10",44,-4.00,14.2,-0.55,2.0,0.38,788.93,816.95,"1,160.00",711.00,2023-02-14
106,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,36.48,714.00,719.00,700.30,702.00,707.89,"3,304.00",721.00,"2,338,875.70",72,-19.00,18.70,-2.64,2.67,-0.84,785.61,814.93,"1,160.00",700.30,2023-02-16
106,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,35.33,697.00,702.00,684.00,685.00,692.46,"3,586.00",702.00,"2,483,165.80",74,-17.0,18.0,-2.42,2.63,-1.09,783.81,813.70,"1,122.00",684.00,2023-02-20
113,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,36.49,677.00,688.00,674.00,679.00,678.58,"4,884.00",685.00,"3,314,190.10",87,-6.0,14.0,-0.88,2.08,0.06,782.16,812.50,"1,116.00",674.00,2023-02-22
108,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,33.96,665.50,665.50,611.10,611.10,618.34,"23,626.00",679.00,"14,608,794.30",354,-67.9,54.4,-10.0,8.9,-1.18,780.03,810.93,"1,107.00",611.10,2023-02-23
107,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,39.85,598.90,651.00,557.00,648.00,607.62,"14,521.00",611.10,"8,823,209.30",260,36.9,94.0,6.04,16.88,6.23,778.22,809.65,"1,100.00",557.00,2023-02-26
107,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,34.84,643.00,643.00,630.20,636.90,634.30,"3,198.00",643.00,"2,028,482.50",46,-6.1,12.8,-0.95,2.03,0.41,774.29,807.16,"1,100.00",557.00,2023-02-28
