SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
154,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,42.35,675.00,675.00,666.00,666.10,669.94,"1,286.00",675.00,"861,539.50",22,-8.9,9.0,-1.32,1.35,-0.58,733.31,773.48,"1,280.00",635.00,2022-12-07
154,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,42.35,675.00,675.00,666.00,666.10,669.94,"1,286.00",675.00,"861,539.50",22,-8.9,9.0,-1.32,1.35,-0.58,733.31,773.48,"1,280.00",635.00,2022-12-09
157,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,43.76,658.00,658.00,652.00,652.00,653.84,714.00,666.10,"466,844.30",20,-14.1,6.0,-2.12,0.92,-0.28,-,-,"1,280.00",635.00,2022-12-11
154,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,34.19,650.00,665.00,643.00,665.00,655.11,858.00,652.00,"562,081.50",13,13.0,22.0,1.99,3.42,1.49,732.41,769.81,"1,280.00",635.00,2022-12-12
153,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,35.86,664.90,664.90,655.00,655.10,655.18,409.00,665.00,"267,967.10",9,-9.9,9.9,-1.49,1.51,-0.01,732.14,768.02,"1,280.00",635.00,2022-12-13
154,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,25.49,650.00,660.00,650.00,657.00,652.70,769.00,655.10,"501,928.50",17,1.9,10.0,0.29,1.54,0.65,732.00,766.25,"1,280.00",635.00,2022-12-14
160,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,24.86,645.00,655.00,633.00,655.00,640.94,"1,173.00",657.00,"751,818.00",15,-2.0,22.0,-0.3,3.48,2.15,731.62,764.45,"1,280.00",633.00,2022-12-15
154,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,44.39,643.00,643.00,630.00,640.00,637.98,"1,332.00",655.00,"849,789.00",16,-15.0,13.0,-2.29,2.06,0.32,731.09,762.59,"1,280.00",630.00,2022-12-18
155,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,26.24,631.10,645.00,631.00,645.00,640.52,843.00,640.00,"539,958.10",15,5.0,14.0,0.78,2.22,0.69,730.84,760.79,"1,280.00",630.00,2022-12-19
158,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,26.24,650.00,653.00,650.00,650.00,650.55,477.00,645.00,"310,310.00",13,5.0,3.0,0.78,0.46,-0.08,730.67,759.18,"1,280.00",630.00,2022-12-20
155,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,25.77,659.00,659.00,639.30,639.30,641.49,899.00,650.00,"576,695.10",20,-10.7,19.7,-1.65,3.08,-0.34,729.99,757.58,"1,280.00",630.00,2022-12-21
151,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,26.12,636.20,652.00,636.10,645.00,640.23,"2,295.00",639.30,"1,469,317.00",42,5.7,15.9,0.89,2.5,0.74,729.48,756.02,"1,280.00",630.00,2022-12-22
152,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,45.81,651.00,668.00,632.10,668.00,654.87,"2,989.00",645.00,"1,957,406.80",41,23.0,35.9,3.57,5.68,1.97,729.09,754.50,"1,240.00",630.00,2022-12-26
161,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,48.99,681.30,682.00,656.00,682.00,673.45,"5,207.00",668.00,"3,506,677.40",83,14.0,26.00,2.1,3.96,1.25,728.68,753.12,"1,240.00",630.00,2022-12-27
158,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,52.09,672.00,674.00,656.20,669.90,663.97,"2,576.00",682.00,"1,710,376.80",45,-12.1,17.8,-1.77,2.71,0.89,727.65,751.70,"1,240.00",630.00,2022-12-28
159,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,52.09,662.00,707.40,654.10,707.40,671.88,"6,014.00",669.90,"4,040,699.80",62,37.5,53.3,5.6,8.15,5.02,727.04,750.52,"1,240.00",630.00,2022-12-29
