SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
112,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,37.78,"1,036.00","1,036.00",994.70,994.70,"1,006.14",465.00,"1,020.00","467,854.00",20,-25.3,41.3,-2.48,4.15,-1.15,"1,107.81","1,145.62","1,695.00",872.00,2022-12-07
112,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,37.78,"1,036.00","1,036.00",994.70,994.70,"1,006.14",465.00,"1,020.00","467,854.00",20,-25.3,41.3,-2.48,4.15,-1.15,"1,107.81","1,145.62","1,695.00",872.00,2022-12-09
115,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,39.19,"1,012.00","1,018.00",995.00,"1,018.00","1,010.86",280.00,994.70,"283,041.00",15,23.3,23.0,2.34,2.31,0.7,-,-,"1,695.00",872.00,2022-12-11
113,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,38.52,"1,029.00","1,029.00",999.60,"1,000.10","1,007.93",110.00,"1,018.00","110,872.50",10,-17.9,29.4,-1.76,2.94,-0.78,"1,107.32","1,141.49","1,695.00",872.00,2022-12-12
112,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,35.63,"1,000.00","1,020.00",995.10,"1,000.20","1,000.33",750.00,"1,000.10","750,248.00",21,0.1,24.9,0.01,2.5,-0.01,"1,107.41","1,139.38","1,695.00",872.00,2022-12-13
113,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,40.88,991.00,"1,004.90",983.00,"1,004.90",990.35,180.00,"1,000.20","178,263.00",8,4.7,21.9,0.47,2.23,1.45,"1,108.07","1,137.33","1,695.00",872.00,2022-12-14
117,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,41.94,995.00,"1,003.00",985.30,990.10,991.21,155.00,"1,004.90","153,638.00",11,-14.8,17.7,-1.47,1.8,-0.11,"1,108.25","1,135.22","1,695.00",872.00,2022-12-15
114,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,29.66,990.00,990.00,960.00,960.00,973.13,630.00,990.10,"613,074.00",17,-30.1,30.0,-3.04,3.13,-1.37,"1,108.26","1,132.92","1,695.00",872.00,2022-12-18
115,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,38.66,975.00,975.00,940.00,950.00,947.05,710.00,960.00,"672,409.00",25,-10.0,35.0,-1.04,3.72,0.31,"1,108.16","1,130.35","1,695.00",872.00,2022-12-19
117,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,38.66,950.00,970.00,945.00,960.00,957.71,140.00,950.00,"134,080.00",11,10.0,25.0,1.05,2.65,0.24,"1,108.00","1,127.96","1,695.00",872.00,2022-12-20
115,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,32.31,978.00,978.00,930.00,945.00,935.80,"1,342.00",960.00,"1,255,844.50",30,-15.0,48.0,-1.56,5.16,0.97,"1,107.39","1,125.61","1,695.00",872.00,2022-12-21
113,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,39.19,926.10,940.00,920.30,920.30,928.62,340.00,945.00,"315,730.50",15,-24.7,19.7,-2.61,2.14,-0.9,"1,106.59","1,123.28","1,695.00",872.00,2022-12-22
