SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
202,SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),21.6,257.00,263.00,257.00,261.90,260.20,"6,159.00",262.00,"1,602,554.00",57,-0.1,6.0,-0.04,2.33,0.65,257.58,265.71,571.20,179.40,2022-12-07
202,SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),21.6,257.00,263.00,257.00,261.90,260.20,"6,159.00",262.00,"1,602,554.00",57,-0.1,6.0,-0.04,2.33,0.65,257.58,265.71,571.20,179.40,2022-12-09
205,SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),23.01,256.80,260.00,253.00,255.00,255.58,"11,076.00",261.90,"2,830,749.10",82,-6.9,7.0,-2.63,2.77,-0.23,-,-,545.00,179.40,2022-12-11
201,SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),25.1,259.00,260.00,254.40,258.00,257.16,"7,354.00",255.00,"1,891,135.80",62,3.0,5.6,1.18,2.2,0.33,258.19,264.69,545.00,179.40,2022-12-12
204,SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),32.4,256.00,258.10,255.00,257.70,256.28,"7,110.00",258.00,"1,822,156.40",41,-0.3,3.1,-0.12,1.22,0.55,258.55,264.22,545.00,179.40,2022-12-13
201,SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),28.16,255.00,265.00,249.00,255.00,256.27,"9,447.00",257.70,"2,420,991.30",51,-2.7,16.0,-1.05,6.43,-0.5,259.02,263.66,545.00,179.40,2022-12-14
209,SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),26.93,260.10,260.10,247.00,248.00,249.53,"9,032.00",255.00,"2,253,786.20",79,-7.0,13.1,-2.75,5.3,-0.62,259.37,263.07,545.00,179.40,2022-12-15
205,SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),21.89,247.00,247.00,241.00,243.80,243.21,"12,316.00",248.00,"2,995,409.50",81,-4.2,6.0,-1.69,2.49,0.24,259.74,262.48,529.00,179.40,2022-12-18
205,SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),26.19,248.50,249.90,244.00,245.00,246.20,"7,785.00",243.80,"1,916,636.60",52,1.2,5.9,0.49,2.42,-0.49,260.22,261.96,529.00,179.40,2022-12-19
210,SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),26.19,242.00,250.00,242.00,246.00,247.63,"6,754.00",245.00,"1,672,515.00",43,1.0,8.0,0.41,3.31,-0.66,260.64,261.50,529.00,179.40,2022-12-20
205,SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),28.01,245.00,249.00,240.40,241.00,243.06,"17,867.00",246.00,"4,342,836.70",76,-5.0,8.6,-2.03,3.58,-0.86,260.86,261.07,512.80,179.40,2022-12-21
199,SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),35.27,239.00,241.50,237.10,238.00,238.88,"8,882.00",241.00,"2,121,704.00",75,-3.0,4.4,-1.24,1.86,-0.37,261.13,260.60,512.80,179.40,2022-12-22
204,SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),29.97,241.70,261.80,241.70,260.80,253.05,"32,616.00",238.00,"8,253,487.70",194,22.8,20.1,9.58,8.32,2.97,261.64,260.20,457.00,179.40,2022-12-26
214,SFCL,Samriddhi Finance Company Limited (former World Merchant Banking),45.15,266.00,281.00,266.00,275.00,273.35,"46,195.00",260.80,"12,627,442.30",282,14.2,15.00,5.44,5.64,0.6,262.17,259.95,457.00,179.40,2022-12-27
