SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
152,NMB50,NMB 50,35.58,8.76,8.76,8.55,8.55,8.64,"100,214.00",8.75,"866,040.70",18,-0.2,0.21,-2.29,2.46,-1.08,11.08,11.61,13.68,8.55,2022-12-07
152,NMB50,NMB 50,35.58,8.76,8.76,8.55,8.55,8.64,"100,214.00",8.75,"866,040.70",18,-0.2,0.21,-2.29,2.46,-1.08,11.08,11.61,13.68,8.55,2022-12-09
155,NMB50,NMB 50,37.0,8.41,8.73,8.41,8.73,8.55,"2,000.00",8.55,"17,094.00",9,0.18,0.32,2.11,3.8,2.1,-,-,13.68,8.41,2022-12-11
152,NMB50,NMB 50,28.97,8.90,8.90,8.90,8.90,8.90,"1,000.00",8.73,"8,900.00",2,0.17,0.0,1.95,0.0,0.0,11.02,11.56,13.68,8.41,2022-12-12
151,NMB50,NMB 50,29.01,9.06,9.06,8.88,9.06,8.91,"2,400.00",8.90,"21,373.00",6,0.16,0.18,1.8,2.03,1.71,10.99,11.54,13.68,8.41,2022-12-13
152,NMB50,NMB 50,45.81,9.24,9.42,8.89,9.12,8.98,"13,400.00",9.06,"120,340.00",21,0.06,0.53,0.66,5.96,1.53,10.96,11.52,13.68,8.41,2022-12-14
158,NMB50,NMB 50,45.69,8.94,8.94,8.65,8.72,8.75,"37,175.00",9.12,"325,301.75",17,-0.4,0.29,-4.39,3.35,-0.35,10.93,11.50,13.68,8.41,2022-12-15
152,NMB50,NMB 50,42.86,8.72,8.72,8.42,8.42,8.61,"42,300.00",8.72,"364,221.00",12,-0.3,0.3,-3.44,3.56,-2.26,10.90,11.47,13.68,8.41,2022-12-18
153,NMB50,NMB 50,33.02,8.58,8.68,8.28,8.68,8.52,"2,775.00",8.42,"23,640.75",6,0.26,0.4,3.09,4.83,1.85,10.86,11.45,13.68,8.28,2022-12-19
156,NMB50,NMB 50,33.02,8.75,8.75,8.52,8.52,8.59,"42,830.00",8.68,"367,776.70",14,-0.16,0.23,-1.84,2.7,-0.79,10.83,11.43,13.68,8.28,2022-12-20
154,NMB50,NMB 50,38.27,8.37,8.53,8.37,8.51,8.51,"69,250.00",8.52,"589,366.50",14,-0.01,0.16,-0.12,1.91,-0.01,10.80,11.40,13.68,8.28,2022-12-21
149,NMB50,NMB 50,41.93,8.37,8.47,8.37,8.43,8.43,"22,681.00",8.51,"191,197.33",8,-0.08,0.1,-0.94,1.19,0.0,10.76,11.38,13.68,8.28,2022-12-22
151,NMB50,NMB 50,41.23,8.59,8.93,8.59,8.93,8.90,"16,175.00",8.43,"143,906.00",8,0.5,0.34,5.93,3.96,0.37,10.73,11.36,13.68,8.28,2022-12-26
159,NMB50,NMB 50,46.42,8.99,9.18,8.88,9.18,9.02,"73,000.00",8.93,"658,145.00",11,0.25,0.30,2.8,3.38,1.79,10.70,11.35,13.68,8.28,2022-12-27
156,NMB50,NMB 50,46.98,9.36,9.36,9.36,9.36,9.36,100.00,9.18,936.00,1,0.18,0.0,1.96,0.0,0.0,10.68,11.33,13.68,8.28,2022-12-28
157,NMB50,NMB 50,46.98,9.54,9.54,9.01,9.01,9.12,"38,200.00",9.36,"348,448.00",9,-0.35,0.53,-3.74,5.88,-1.24,10.65,11.31,13.68,8.28,2022-12-29
161,NMB50,NMB 50,55.81,9.00,9.70,9.00,9.38,9.42,"70,923.00",9.01,"667,849.21",24,0.37,0.70,4.11,7.78,-0.39,10.63,11.30,13.68,8.28,2023-01-01
153,NMB50,NMB 50,55.81,9.30,9.30,8.90,8.93,9.04,"95,800.00",9.38,"866,001.72",18,-0.45,0.4,-4.8,4.49,-1.23,10.60,11.28,13.68,8.28,2023-01-02
157,NMB50,NMB 50,45.2,8.79,9.36,8.79,9.36,9.04,"6,750.00",8.93,"60,998.00",11,0.43,0.57,4.82,6.48,3.45,10.59,11.26,13.68,8.28,2023-01-03
157,NMB50,NMB 50,40.44,9.25,9.50,9.00,9.48,9.29,"16,639.00",9.36,"154,650.80",13,0.12,0.5,1.28,5.56,1.96,10.57,11.24,13.68,8.28,2023-01-04
