SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
184,RMF1,RBB Mutual Fund 1,39.48,7.75,7.79,7.75,7.75,7.76,430.00,7.64,"3,336.50",3,0.11,0.04,1.44,0.52,-0.12,7.87,8.11,9.58,7.21,2022-12-07
184,RMF1,RBB Mutual Fund 1,39.48,7.75,7.79,7.75,7.75,7.76,430.00,7.64,"3,336.50",3,0.11,0.04,1.44,0.52,-0.12,7.87,8.11,9.58,7.21,2022-12-09
187,RMF1,RBB Mutual Fund 1,40.89,7.60,7.70,7.56,7.56,7.64,"8,100.00",7.75,"61,924.00",8,-0.19,0.14,-2.45,1.85,-1.12,-,-,9.58,7.21,2022-12-11
183,RMF1,RBB Mutual Fund 1,33.26,7.42,7.50,7.31,7.50,7.32,"11,100.00",7.56,"81,286.00",6,-0.06,0.19,-0.79,2.6,2.36,7.86,8.09,9.58,7.21,2022-12-13
184,RMF1,RBB Mutual Fund 1,47.47,7.50,7.68,7.50,7.68,7.63,"2,700.00",7.50,"20,589.00",6,0.18,0.18,2.4,2.4,0.71,7.86,8.08,9.58,7.21,2022-12-14
192,RMF1,RBB Mutual Fund 1,36.33,7.53,7.78,7.53,7.78,7.54,"4,920.00",7.68,"37,115.60",10,0.1,0.25,1.3,3.32,3.04,7.85,8.08,9.58,7.21,2022-12-15
187,RMF1,RBB Mutual Fund 1,35.7,7.63,7.63,7.27,7.27,7.41,"21,300.00",7.78,"157,853.00",7,-0.51,0.36,-6.56,4.95,-1.94,7.85,8.07,9.58,7.21,2022-12-18
187,RMF1,RBB Mutual Fund 1,27.76,7.27,7.27,7.19,7.20,7.20,"2,100.00",7.27,"15,120.00",9,-0.07,0.08,-0.96,1.11,0.0,7.84,8.06,9.58,7.19,2022-12-19
191,RMF1,RBB Mutual Fund 1,27.76,7.25,7.26,7.11,7.26,7.22,"31,690.00",7.20,"228,670.23",19,0.06,0.15,0.83,2.11,0.61,7.83,8.05,9.58,7.11,2022-12-20
188,RMF1,RBB Mutual Fund 1,35.6,7.26,7.26,7.12,7.21,7.22,"12,308.00",7.26,"88,823.68",8,-0.05,0.14,-0.69,1.97,-0.09,7.83,8.04,9.58,7.11,2022-12-21
184,RMF1,RBB Mutual Fund 1,30.55,7.16,7.30,7.16,7.18,7.19,"50,100.00",7.21,"360,338.00",19,-0.03,0.14,-0.42,1.96,-0.17,7.82,8.03,9.58,7.11,2022-12-22
185,RMF1,RBB Mutual Fund 1,36.89,7.04,7.52,7.04,7.23,7.35,"7,592.00",7.18,"55,814.16",14,0.05,0.48,0.7,6.82,-1.68,7.81,8.02,9.58,7.04,2022-12-26
195,RMF1,RBB Mutual Fund 1,43.08,7.24,7.45,7.24,7.40,7.36,"51,820.00",7.23,"381,201.82",24,0.17,0.21,2.35,2.9,0.59,7.81,8.01,9.58,7.04,2022-12-27
