SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
41,ENL,Emerging Nepal Limited,30.52,581.00,590.00,572.00,572.00,578.13,730.00,581.00,"422,037.00",18,-9.0,18.0,-1.55,3.15,-1.07,654.55,710.16,"1,481.90",287.10,2022-12-07
41,ENL,Emerging Nepal Limited,30.52,581.00,590.00,572.00,572.00,578.13,730.00,581.00,"422,037.00",18,-9.0,18.0,-1.55,3.15,-1.07,654.55,710.16,"1,481.90",287.10,2022-12-09
44,ENL,Emerging Nepal Limited,31.93,565.00,575.00,565.00,565.00,572.79,"1,360.00",572.00,"778,998.60",20,-7.0,10.0,-1.22,1.77,-1.38,-,-,"1,481.90",287.10,2022-12-11
44,ENL,Emerging Nepal Limited,36.07,559.00,591.00,559.00,591.00,580.74,"2,065.00",565.00,"1,199,232.00",36,26.0,32.0,4.6,5.72,1.74,653.38,711.57,"1,481.90",287.10,2022-12-12
44,ENL,Emerging Nepal Limited,50.55,579.50,590.00,579.30,588.00,584.95,176.00,591.00,"102,951.00",13,-3.0,10.7,-0.51,1.85,0.52,652.82,711.95,"1,481.90",287.10,2022-12-13
45,ENL,Emerging Nepal Limited,42.11,576.50,580.00,576.50,578.10,578.56,290.00,588.00,"167,782.00",13,-9.9,3.5,-1.68,0.61,-0.08,652.44,711.99,"1,481.90",287.10,2022-12-14
45,ENL,Emerging Nepal Limited,40.43,567.00,580.00,566.60,567.00,568.05,840.00,578.10,"477,158.00",29,-11.1,13.4,-1.92,2.36,-0.18,651.97,711.64,"1,481.90",287.10,2022-12-15
46,ENL,Emerging Nepal Limited,41.16,557.00,567.00,556.00,556.60,558.37,520.00,567.00,"290,350.00",22,-10.4,11.0,-1.83,1.98,-0.32,651.51,710.89,"1,481.90",287.10,2022-12-18
46,ENL,Emerging Nepal Limited,26.14,547.00,583.00,547.00,553.10,558.00,491.00,556.60,"273,976.60",31,-3.5,36.0,-0.63,6.58,-0.89,651.39,709.74,"1,481.90",287.10,2022-12-19
46,ENL,Emerging Nepal Limited,26.14,542.20,576.30,542.20,559.00,567.70,625.00,553.10,"354,815.50",25,5.9,34.1,1.07,6.29,-1.56,651.23,708.20,"1,481.90",287.10,2022-12-20
46,ENL,Emerging Nepal Limited,27.83,552.00,567.10,552.00,567.10,554.24,630.00,559.00,"349,169.00",18,8.1,15.1,1.45,2.74,2.27,650.95,706.24,"1,481.90",287.10,2022-12-21
44,ENL,Emerging Nepal Limited,39.02,556.20,561.00,545.10,561.00,550.71,"1,600.00",567.10,"881,130.00",31,-6.1,15.9,-1.08,2.92,1.83,650.63,703.73,"1,481.90",287.10,2022-12-22
42,ENL,Emerging Nepal Limited,45.37,561.00,590.00,561.00,589.00,576.80,"1,600.00",561.00,"922,877.00",35,28.0,29.0,4.99,5.17,2.07,650.70,700.82,"1,481.90",287.10,2022-12-26
46,ENL,Emerging Nepal Limited,48.49,600.70,619.00,590.00,609.00,607.12,"6,644.00",589.00,"4,033,725.60",89,20.0,29.00,3.4,4.92,0.31,650.75,697.39,"1,481.90",287.10,2022-12-27
47,ENL,Emerging Nepal Limited,51.7,609.00,620.00,596.40,614.90,613.57,"2,153.00",609.00,"1,321,014.80",45,5.9,23.6,0.97,3.96,0.22,650.63,693.33,"1,481.90",287.10,2022-12-28
47,ENL,Emerging Nepal Limited,51.7,603.00,635.00,603.00,635.00,622.49,"2,941.00",614.90,"1,830,737.00",59,20.1,32.0,3.27,5.31,1.97,650.56,688.69,"1,481.90",287.10,2022-12-29
49,ENL,Emerging Nepal Limited,55.17,623.00,652.00,617.00,629.00,631.00,"4,625.00",635.00,"2,918,390.80",77,-6.0,35.00,-0.94,5.67,-0.32,650.23,684.83,"1,481.90",287.10,2023-01-01
46,ENL,Emerging Nepal Limited,55.17,620.00,650.00,616.60,650.00,638.95,"2,530.00",629.00,"1,616,536.00",64,21.0,33.4,3.34,5.42,1.7,650.05,681.83,"1,481.90",287.10,2023-01-02
47,ENL,Emerging Nepal Limited,53.65,638.00,650.00,620.30,647.00,633.10,"2,800.00",650.00,"1,772,693.70",51,-3.0,29.7,-0.46,4.79,2.15,650.03,679.24,"1,481.90",287.10,2023-01-03
48,ENL,Emerging Nepal Limited,57.58,640.00,706.80,635.00,706.80,669.63,"5,876.00",647.00,"3,934,757.50",84,59.8,71.8,9.24,11.31,5.26,650.18,677.61,"1,481.90",287.10,2023-01-04
46,ENL,Emerging Nepal Limited,61.1,692.70,713.00,678.90,713.00,697.08,"8,954.00",706.80,"6,241,696.00",98,6.2,34.1,0.88,5.02,2.23,650.34,676.38,"1,481.90",287.10,2023-01-05
49,ENL,Emerging Nepal Limited,62.3,700.00,739.00,673.00,725.00,712.75,"4,638.00",713.00,"3,305,725.80",89,12.00,66.00,1.68,9.81,1.69,-,-,"1,481.90",287.10,2023-01-08
46,ENL,Emerging Nepal Limited,54.84,720.00,732.80,697.00,725.00,722.40,"2,801.00",725.00,"2,023,439.40",70,0.0,35.8,0.0,5.14,0.36,651.21,674.00,"1,481.90",287.10,2023-01-09
45,ENL,Emerging Nepal Limited,47.23,739.00,765.00,682.00,682.00,730.82,"7,993.00",725.00,"5,841,462.40",118,-43.0,83.0,-5.93,12.17,-7.16,651.37,673.13,"1,481.90",287.10,2023-01-10
45,ENL,Emerging Nepal Limited,47.26,670.00,724.00,670.00,676.00,691.85,"7,354.00",682.00,"5,087,843.50",97,-6.0,54.0,-0.88,8.06,-2.34,651.42,672.11,"1,481.90",287.10,2023-01-12
46,ENL,Emerging Nepal Limited,45.64,663.10,728.00,652.10,724.00,698.79,"2,038.00",676.00,"1,424,138.00",56,48.0,75.9,7.1,11.64,3.48,651.76,671.47,"1,481.90",287.10,2023-01-17
46,ENL,Emerging Nepal Limited,46.16,710.10,743.00,690.00,718.00,715.60,"3,753.00",724.00,"2,685,646.00",70,-6.0,53.0,-0.83,7.68,0.33,652.05,670.78,"1,481.90",287.10,2023-01-18
45,ENL,Emerging Nepal Limited,46.96,703.80,720.00,691.00,701.00,708.11,"2,119.00",718.00,"1,500,493.50",49,-17.0,29.0,-2.37,4.2,-1.01,652.00,669.76,"1,481.90",287.10,2023-01-19
47,ENL,Emerging Nepal Limited,45.17,690.00,725.00,690.00,703.00,699.82,"2,617.00",701.00,"1,831,437.50",60,2.0,35.0,0.29,5.07,0.45,651.41,668.92,"1,481.90",287.10,2023-01-23
46,ENL,Emerging Nepal Limited,45.05,691.10,704.00,680.00,695.00,689.55,"1,905.00",703.00,"1,313,588.00",44,-8.0,24.0,-1.14,3.53,0.78,650.24,668.19,"1,481.90",287.10,2023-01-24
45,ENL,Emerging Nepal Limited,38.84,690.00,708.90,690.00,699.80,699.16,"2,916.00",695.00,"2,038,759.70",61,4.8,18.9,0.69,2.74,0.09,649.40,667.42,"1,481.90",287.10,2023-01-25
43,ENL,Emerging Nepal Limited,43.23,686.20,713.60,686.20,690.00,697.92,992.00,699.80,"692,335.00",36,-9.8,27.4,-1.4,3.99,-1.15,648.65,666.64,"1,481.90",287.10,2023-01-26
