SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
146,NIL,Neco Insurance Company Limited,47.5,722.00,722.00,711.10,715.00,716.28,"4,685.00",720.00,"3,355,777.00",45,-5.0,10.9,-0.69,1.53,-0.18,704.52,755.55,"1,380.00",601.00,2022-12-07
146,NIL,Neco Insurance Company Limited,47.5,722.00,722.00,711.10,715.00,716.28,"4,685.00",720.00,"3,355,777.00",45,-5.0,10.9,-0.69,1.53,-0.18,704.52,755.55,"1,380.00",601.00,2022-12-09
149,NIL,Neco Insurance Company Limited,48.91,708.00,719.50,702.00,715.00,711.30,"5,949.00",715.00,"4,231,509.20",68,0.0,17.5,0.0,2.49,0.52,-,-,"1,380.00",601.00,2022-12-11
146,NIL,Neco Insurance Company Limited,32.96,715.00,719.00,710.10,715.00,712.92,"1,813.00",715.00,"1,292,527.60",33,0.0,8.9,0.0,1.25,0.29,705.21,752.11,"1,380.00",601.00,2022-12-12
145,NIL,Neco Insurance Company Limited,30.22,715.20,720.00,715.20,718.80,717.34,"3,032.00",715.00,"2,174,982.60",32,3.8,4.8,0.53,0.67,0.2,705.71,750.42,"1,380.00",601.00,2022-12-13
146,NIL,Neco Insurance Company Limited,33.08,725.70,725.70,711.00,714.00,712.57,"2,340.00",718.80,"1,667,415.60",27,-4.8,14.7,-0.67,2.07,0.2,706.46,748.67,"1,380.00",601.00,2022-12-14
152,NIL,Neco Insurance Company Limited,29.04,710.60,720.00,710.20,712.30,714.75,"1,433.00",714.00,"1,024,239.20",28,-1.7,9.8,-0.24,1.38,-0.34,707.03,746.86,"1,380.00",601.00,2022-12-15
146,NIL,Neco Insurance Company Limited,24.38,705.00,707.00,701.10,705.00,703.22,"5,881.00",712.30,"4,135,615.40",80,-7.3,5.9,-1.02,0.84,0.25,707.68,745.08,"1,380.00",601.00,2022-12-18
147,NIL,Neco Insurance Company Limited,25.34,705.00,705.00,699.00,703.90,701.50,"1,746.00",705.00,"1,224,815.50",43,-1.1,6.0,-0.16,0.86,0.34,708.42,743.25,"1,380.00",601.00,2022-12-19
150,NIL,Neco Insurance Company Limited,25.34,704.00,708.10,700.00,706.10,703.25,"4,894.00",703.90,"3,441,683.70",55,2.2,8.1,0.31,1.16,0.4,709.10,741.53,"1,380.00",601.00,2022-12-20
148,NIL,Neco Insurance Company Limited,31.6,720.00,720.00,706.00,707.00,707.06,"2,851.00",706.10,"2,015,818.00",42,0.9,14.0,0.13,1.98,-0.01,709.45,739.96,"1,380.00",601.00,2022-12-21
143,NIL,Neco Insurance Company Limited,26.7,703.00,709.00,700.00,700.00,702.42,"4,657.00",707.00,"3,271,168.00",50,-7.0,9.0,-0.99,1.29,-0.35,709.77,738.36,"1,380.00",601.00,2022-12-22
145,NIL,Neco Insurance Company Limited,28.27,710.00,728.00,710.00,725.00,721.33,"5,475.00",700.00,"3,949,305.90",79,25.0,18.0,3.57,2.54,0.51,710.31,736.78,"1,380.00",601.00,2022-12-26
153,NIL,Neco Insurance Company Limited,47.89,725.00,754.00,725.00,747.00,744.80,"12,695.00",725.00,"9,455,185.60",156,22.0,29.00,3.03,4.0,0.3,710.91,735.37,"1,380.00",601.00,2022-12-27
150,NIL,Neco Insurance Company Limited,55.05,735.20,754.00,730.20,740.00,738.71,"13,446.00",747.00,"9,932,647.40",112,-7.0,23.8,-0.94,3.26,0.17,711.08,734.02,"1,380.00",601.00,2022-12-28
151,NIL,Neco Insurance Company Limited,55.05,742.00,780.00,738.00,779.00,764.45,"19,891.00",740.00,"15,205,773.20",157,39.0,42.0,5.27,5.69,1.87,711.62,732.98,"1,380.00",601.00,2022-12-29
155,NIL,Neco Insurance Company Limited,55.01,793.00,813.00,773.00,778.00,795.82,"22,485.00",779.00,"17,894,110.50",228,-1.0,40.00,-0.13,5.17,-2.29,712.04,732.06,"1,380.00",601.00,2023-01-01
147,NIL,Neco Insurance Company Limited,55.01,766.00,829.00,766.00,808.00,798.69,"19,451.00",778.00,"15,535,239.20",164,30.0,63.0,3.86,8.22,1.15,712.86,731.45,"1,380.00",601.00,2023-01-02
151,NIL,Neco Insurance Company Limited,53.44,818.80,824.00,797.20,805.00,809.19,"20,905.00",808.00,"16,916,157.60",179,-3.0,26.8,-0.37,3.36,-0.52,713.73,730.77,"1,380.00",601.00,2023-01-03
151,NIL,Neco Insurance Company Limited,58.97,800.00,840.00,796.00,834.00,813.79,"20,513.00",805.00,"16,693,310.50",232,29.0,44.0,3.6,5.53,2.42,714.83,730.43,"1,380.00",601.00,2023-01-04
149,NIL,Neco Insurance Company Limited,58.82,845.00,860.00,820.00,848.00,839.38,"30,345.00",834.00,"25,470,850.10",267,14.0,40.0,1.68,4.88,1.02,716.11,730.26,"1,380.00",601.00,2023-01-05
