SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
147,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,36.34,820.00,823.00,815.00,815.10,818.13,"1,349.00",823.20,"1,103,662.20",26,-8.1,8.0,-0.98,0.98,-0.37,892.85,926.47,"1,326.00",780.00,2022-12-07
147,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,36.34,820.00,823.00,815.00,815.10,818.13,"1,349.00",823.20,"1,103,662.20",26,-8.1,8.0,-0.98,0.98,-0.37,892.85,926.47,"1,326.00",780.00,2022-12-09
150,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,37.75,830.00,830.00,800.00,800.00,802.62,"1,044.00",815.10,"837,935.00",21,-15.1,30.0,-1.85,3.75,-0.33,-,-,"1,326.00",780.00,2022-12-11
147,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,29.11,816.00,816.00,788.10,801.00,801.96,"1,945.00",800.00,"1,559,803.50",15,1.0,27.9,0.13,3.54,-0.12,891.31,923.45,"1,326.00",780.00,2022-12-12
146,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,32.91,817.00,817.00,810.00,810.00,812.00,817.00,801.00,"663,401.00",10,9.0,7.0,1.12,0.86,-0.25,890.74,922.06,"1,326.00",780.00,2022-12-13
147,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,28.26,805.00,815.00,805.00,805.10,808.86,821.00,810.00,"664,070.00",15,-4.9,10.0,-0.6,1.24,-0.47,890.37,920.57,"1,326.00",780.00,2022-12-14
153,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,25.61,793.00,810.00,792.60,792.60,797.89,"1,126.00",805.10,"898,423.00",23,-12.5,17.4,-1.55,2.2,-0.67,889.74,918.90,"1,326.00",780.00,2022-12-15
147,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,26.92,782.00,789.00,780.00,786.00,783.55,"1,712.00",792.60,"1,341,431.80",29,-6.6,9.0,-0.83,1.15,0.31,889.16,917.30,"1,326.00",780.00,2022-12-18
148,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,24.4,785.00,797.50,782.00,797.50,785.72,421.00,786.00,"330,787.80",15,11.5,15.5,1.46,1.98,1.48,889.03,915.62,"1,326.00",780.00,2022-12-19
151,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,24.4,795.00,813.40,795.00,800.00,807.43,832.00,797.50,"671,778.80",16,2.5,18.4,0.31,2.31,-0.93,888.87,914.25,"1,326.00",780.00,2022-12-20
149,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,27.62,790.00,800.00,790.00,800.00,792.17,298.00,800.00,"236,066.00",8,0.0,10.0,0.0,1.27,0.98,888.37,912.98,"1,326.00",780.00,2022-12-21
144,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,39.76,816.00,866.00,816.00,843.00,842.66,"8,841.00",800.00,"7,449,971.20",163,43.0,50.0,5.38,6.13,0.04,888.24,911.94,"1,326.00",780.00,2022-12-22
146,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,49.55,859.80,880.00,842.80,880.00,869.26,"7,803.00",843.00,"6,782,840.90",92,37.0,37.2,4.39,4.41,1.22,888.53,910.99,"1,326.00",780.00,2022-12-26
154,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,51.91,897.40,915.50,886.00,904.00,899.73,"8,362.00",880.00,"7,523,545.50",120,24.0,29.50,2.73,3.33,0.47,888.75,910.34,"1,326.00",780.00,2022-12-27
151,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,50.1,900.00,900.00,881.10,881.10,888.46,"3,221.00",904.00,"2,861,743.70",53,-22.9,18.9,-2.53,2.15,-0.84,888.53,909.66,"1,326.00",780.00,2022-12-28
152,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,50.1,879.00,912.00,877.20,894.00,889.10,"4,469.00",881.10,"3,973,399.30",60,12.9,34.8,1.46,3.97,0.55,888.47,909.03,"1,326.00",780.00,2022-12-29
156,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,45.51,905.00,911.80,895.00,907.00,901.41,"4,288.00",894.00,"3,865,254.20",59,13.0,16.80,1.45,1.88,0.62,888.24,908.56,"1,326.00",780.00,2023-01-01
148,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,45.51,891.00,910.00,891.00,905.00,901.56,"2,377.00",907.00,"2,142,999.40",37,-2.0,19.0,-0.22,2.13,0.38,887.99,908.03,"1,326.00",780.00,2023-01-02
152,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,40.54,915.00,989.00,905.00,975.00,954.06,"14,920.00",905.00,"14,234,640.50",149,70.0,84.0,7.73,9.28,2.15,888.61,907.69,"1,326.00",780.00,2023-01-03
152,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,61.53,980.00,"1,030.00",979.00,"1,030.00",998.67,"9,465.00",975.00,"9,452,438.70",144,55.0,51.0,5.64,5.21,3.04,889.69,907.86,"1,326.00",780.00,2023-01-04
150,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,59.19,"1,040.00","1,050.00","1,000.00","1,030.00","1,020.50","10,920.00","1,030.00","11,143,887.70",130,0.0,50.0,0.0,5.0,0.92,890.86,908.16,"1,326.00",780.00,2023-01-05
153,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,60.39,"1,015.00","1,045.00","1,011.00","1,040.00","1,030.57","21,710.00","1,030.00","22,373,739.50",164,10.00,34.00,0.97,3.36,0.91,-,-,"1,326.00",780.00,2023-01-08
151,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,51.82,"1,060.80","1,060.80","1,003.00","1,041.00","1,033.81","8,031.00","1,040.00","8,302,564.90",114,1.0,57.8,0.1,5.76,0.69,893.87,908.83,"1,326.00",780.00,2023-01-09
147,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,46.82,"1,040.00","1,052.00","1,011.60","1,015.00","1,031.72","8,529.00","1,041.00","8,799,533.00",114,-26.0,40.4,-2.5,3.99,-1.65,895.32,908.99,"1,326.00",780.00,2023-01-10
145,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,46.85,"1,035.00","1,035.00",996.00,"1,007.00","1,010.58","17,103.00","1,015.00","17,283,873.30",167,-8.0,39.0,-0.79,3.92,-0.36,896.42,909.08,"1,326.00",780.00,2023-01-12
146,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,49.0,"1,008.00","1,041.00","1,000.00","1,030.00","1,024.25","9,598.00","1,007.00","9,830,739.30",140,23.0,41.0,2.28,4.1,0.56,897.67,909.42,"1,315.00",780.00,2023-01-17
143,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,47.5,"1,044.00","1,053.00","1,026.00","1,038.00","1,044.19","9,113.00","1,030.00","9,515,691.40",100,8.0,27.0,0.78,2.63,-0.6,898.98,909.82,"1,315.00",780.00,2023-01-18
141,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,48.04,"1,035.00","1,038.00","1,015.00","1,025.00","1,023.66","6,131.00","1,038.00","6,276,047.60",110,-13.0,23.0,-1.25,2.27,0.13,900.07,909.93,"1,315.00",780.00,2023-01-19
