SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
217,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,0.0,906.00,996.60,906.00,996.60,962.72,170.00,906.00,"163,662.80",23,90.6,90.6,10.0,10.0,3.4,-,-,996.60,906.00,2022-12-20
212,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,34.21,978.30,"1,096.20",978.30,"1,096.20","1,057.77",130.00,996.60,"137,509.90",14,99.6,117.9,9.99,12.05,3.51,-,-,"1,096.20",906.00,2022-12-21
207,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,48.7,"1,075.00","1,205.80","1,075.00","1,205.80","1,184.09",220.00,"1,096.20","260,500.50",23,109.6,130.8,10.0,12.17,1.8,-,-,"1,205.80",906.00,2022-12-22
211,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,50.08,"1,205.80","1,326.30","1,205.80","1,326.30","1,293.49",130.00,"1,205.80","168,153.50",14,120.5,120.5,9.99,9.99,2.47,-,-,"1,326.30",906.00,2022-12-26
221,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,49.41,"1,352.80","1,458.90","1,352.80","1,458.90","1,441.55",150.00,"1,326.30","216,232.00",15,132.6,106.10,10.0,7.84,1.19,-,-,"1,458.90",906.00,2022-12-27
218,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,50.03,"1,488.00","1,604.70","1,488.00","1,604.70","1,587.86",170.00,"1,458.90","269,937.00",17,145.8,116.7,9.99,7.84,1.05,-,-,"1,604.70",906.00,2022-12-28
217,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,50.03,"1,604.60","1,765.10","1,604.60","1,765.10","1,746.07",250.00,"1,604.70","436,517.00",25,160.4,160.5,10.0,10.0,1.08,-,-,"1,765.10",906.00,2022-12-29
221,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,49.62,"1,800.00","1,941.60","1,800.00","1,941.60","1,931.67",350.00,"1,765.10","676,084.00",35,176.5,141.60,10.0,7.87,0.51,-,-,"1,941.60",906.00,2023-01-01
213,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,49.62,"1,980.40","2,135.70","1,980.40","2,135.70","2,134.61","3,500.00","1,941.60","7,471,146.00",325,194.1,155.3,10.0,7.84,0.05,-,-,"2,135.70",906.00,2023-01-02
217,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,52.53,"2,178.40","2,349.20","2,075.00","2,203.00","2,183.65","19,859.00","2,135.70","43,365,012.60","1,609",67.3,274.2,3.15,13.21,0.88,-,-,"2,349.20",906.00,2023-01-03
