SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
19,BHPL,Barahi Hydropower Public Limited,0.0,194.30,213.70,194.30,213.70,210.99,370.00,0.00,"78,066.70",38,213.7,19.4,0.0,9.98,1.27,-,-,213.70,194.30,2023-01-04
18,BHPL,Barahi Hydropower Public Limited,58.24,217.90,235.00,217.90,235.00,233.86,370.00,213.70,"86,528.00",37,21.3,17.1,9.97,7.85,0.49,-,-,235.00,194.30,2023-01-05
19,BHPL,Barahi Hydropower Public Limited,59.44,239.70,258.50,239.70,258.50,257.42,430.00,235.00,"110,689.00",43,23.50,18.80,10.0,7.84,0.42,-,-,258.50,194.30,2023-01-08
17,BHPL,Barahi Hydropower Public Limited,59.37,263.60,284.30,263.60,284.30,282.79,340.00,258.50,"96,150.00",34,25.8,20.7,9.98,7.85,0.53,-,-,284.30,194.30,2023-01-09
19,BHPL,Barahi Hydropower Public Limited,61.75,289.90,312.70,289.90,312.70,312.21,"1,140.00",284.30,"355,915.00",114,28.4,22.8,9.99,7.86,0.16,-,-,312.70,194.30,2023-01-10
19,BHPL,Barahi Hydropower Public Limited,61.77,318.90,343.90,318.90,343.90,343.69,"2,890.00",312.70,"993,256.00",289,31.2,25.0,9.98,7.84,0.06,-,-,343.90,194.30,2023-01-12
19,BHPL,Barahi Hydropower Public Limited,62.09,350.70,378.20,350.70,378.20,377.67,"4,980.00",343.90,"1,880,773.00",438,34.3,27.5,9.97,7.84,0.14,0.00,0.00,378.20,194.30,2023-01-17
17,BHPL,Barahi Hydropower Public Limited,61.22,385.70,416.00,385.70,416.00,415.32,"16,324.00",378.20,"6,779,761.00",912,37.8,30.3,9.99,7.86,0.16,0.00,0.00,416.00,194.30,2023-01-18
18,BHPL,Barahi Hydropower Public Limited,60.21,424.30,439.60,401.20,419.10,417.22,"21,229.00",416.00,"8,857,146.30","1,818",3.1,38.4,0.75,9.57,0.45,0.00,0.00,439.60,194.30,2023-01-19
19,BHPL,Barahi Hydropower Public Limited,55.95,410.80,420.00,405.00,412.00,412.18,"11,120.00",419.10,"4,583,428.00",796,-7.1,15.0,-1.69,3.7,-0.04,0.00,0.00,439.60,194.30,2023-01-23
18,BHPL,Barahi Hydropower Public Limited,50.3,412.00,412.00,400.00,408.00,406.25,"6,710.00",412.00,"2,725,917.00",612,-4.0,12.0,-0.97,3.0,0.43,0.00,0.00,439.60,194.30,2023-01-24
