SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
197,SBID83,10.25% Nepal SBI Bank Debenture 2083,40.81,895.00,896.00,895.00,896.00,895.26,95.00,897.10,"85,049.50",3,-1.1,1.0,-0.12,0.11,0.08,-,-,"1,000.00",891.00,2022-12-07
197,SBID83,10.25% Nepal SBI Bank Debenture 2083,40.81,895.00,896.00,895.00,896.00,895.26,95.00,897.10,"85,049.50",3,-1.1,1.0,-0.12,0.11,0.08,-,-,"1,000.00",891.00,2022-12-09
200,SBID83,10.25% Nepal SBI Bank Debenture 2083,42.22,900.00,900.00,900.00,900.00,900.00,75.00,896.00,"67,500.00",2,4.0,0.0,0.45,0.0,0.0,-,-,"1,000.00",891.00,2022-12-11
197,SBID83,10.25% Nepal SBI Bank Debenture 2083,43.27,888.00,888.00,888.00,888.00,888.00,25.00,900.00,"22,200.00",1,-12.0,0.0,-1.33,0.0,0.0,-,-,"1,000.00",888.00,2022-12-12
196,SBID83,10.25% Nepal SBI Bank Debenture 2083,36.81,895.10,895.10,895.10,895.10,895.10,25.00,888.00,"22,377.50",1,7.1,0.0,0.8,0.0,0.0,-,-,"1,000.00",888.00,2022-12-13
196,SBID83,10.25% Nepal SBI Bank Debenture 2083,37.31,892.00,900.00,892.00,900.00,899.64,550.00,895.10,"494,800.00",4,4.9,8.0,0.55,0.9,0.04,-,-,"1,000.00",888.00,2022-12-14
199,SBID83,10.25% Nepal SBI Bank Debenture 2083,43.91,887.00,887.00,887.00,887.00,887.00,25.00,900.00,"22,175.00",1,-13.0,0.0,-1.44,0.0,0.0,-,-,"1,000.00",887.00,2022-12-18
203,SBID83,10.25% Nepal SBI Bank Debenture 2083,34.43,886.30,890.20,886.30,890.10,889.11,37.00,887.00,"32,897.20",3,3.1,3.9,0.35,0.44,0.11,-,-,"1,000.00",886.30,2022-12-20
200,SBID83,10.25% Nepal SBI Bank Debenture 2083,38.33,900.00,902.00,900.00,902.00,901.60,500.00,890.10,"450,800.00",2,11.9,2.0,1.34,0.22,0.04,-,-,"1,000.00",886.30,2022-12-21
197,SBID83,10.25% Nepal SBI Bank Debenture 2083,46.3,903.00,903.00,903.00,903.00,903.00,25.00,902.00,"22,575.00",1,1.0,0.0,0.11,0.0,0.0,-,-,"1,000.00",886.30,2022-12-26
204,SBID83,10.25% Nepal SBI Bank Debenture 2083,44.46,910.00,925.00,910.00,925.00,920.00,30.00,903.00,"27,600.00",2,22.0,15.0,2.44,1.65,0.54,-,-,"1,000.00",886.30,2022-12-28
204,SBID83,10.25% Nepal SBI Bank Debenture 2083,53.94,910.00,910.00,900.00,900.00,904.19,100.00,925.00,"90,419.00",4,-25.0,10.0,-2.7,1.11,-0.47,-,-,"1,000.00",886.30,2023-01-05
206,SBID83,10.25% Nepal SBI Bank Debenture 2083,55.14,892.00,892.00,892.00,892.00,892.00,25.00,900.00,"22,300.00",1,-8.00,0.00,-0.89,0.0,0.0,-,-,"1,000.00",886.30,2023-01-08
205,SBID83,10.25% Nepal SBI Bank Debenture 2083,56.94,909.80,910.00,909.80,910.00,909.98,110.00,892.00,"100,098.00",4,18.0,0.2,2.02,0.02,0.0,-,-,"1,000.00",886.30,2023-01-09
199,SBID83,10.25% Nepal SBI Bank Debenture 2083,55.67,891.80,891.80,891.80,891.80,891.80,10.00,910.00,"8,918.00",1,-18.2,0.0,-2.0,0.0,0.0,0.00,0.00,"1,000.00",886.30,2023-01-17
203,SBID83,10.25% Nepal SBI Bank Debenture 2083,36.4,880.10,880.10,880.00,880.00,880.05,400.00,891.80,"352,020.00",3,-11.8,0.1,-1.32,0.01,-0.01,0.00,0.00,"1,000.00",880.00,2023-01-23
195,SBID83,10.25% Nepal SBI Bank Debenture 2083,45.93,881.00,895.00,881.00,895.00,886.00,325.00,880.00,"287,950.00",3,15.0,14.0,1.7,1.59,1.01,0.00,0.00,"1,000.00",880.00,2023-01-24
205,SBID83,10.25% Nepal SBI Bank Debenture 2083,59.97,880.10,880.10,880.00,880.00,880.01,553.00,895.00,"486,645.30",3,-15.0,0.1,-1.68,0.01,0.0,0.00,0.00,"1,000.00",880.00,2023-01-25
207,SBID83,10.25% Nepal SBI Bank Debenture 2083,46.45,880.10,880.10,880.10,880.10,880.10,25.00,880.00,"22,002.50",1,0.1,0.0,0.01,0.0,0.0,0.00,0.00,"1,000.00",880.00,2023-01-29
200,SBID83,10.25% Nepal SBI Bank Debenture 2083,38.39,880.00,880.00,880.00,880.00,880.00,200.00,880.10,"176,000.00",1,-0.1,0.0,-0.01,0.0,0.0,0.00,0.00,"1,000.00",880.00,2023-01-30
203,SBID83,10.25% Nepal SBI Bank Debenture 2083,51.16,890.00,890.00,872.20,885.00,882.17,163.00,880.00,"143,793.00",4,5.0,17.8,0.57,2.04,0.32,0.00,0.00,"1,000.00",872.20,2023-02-01
204,SBID83,10.25% Nepal SBI Bank Debenture 2083,35.75,870.10,872.00,870.10,871.00,870.50,70.00,885.00,"60,935.00",4,-14.0,1.9,-1.58,0.22,0.06,0.00,0.00,"1,000.00",870.10,2023-02-07
198,SBID83,10.25% Nepal SBI Bank Debenture 2083,34.7,870.20,870.20,870.20,870.20,870.20,25.00,871.00,"21,755.00",1,-0.8,0.0,-0.09,0.0,0.0,0.00,0.00,"1,000.00",870.10,2023-02-12
202,SBID83,10.25% Nepal SBI Bank Debenture 2083,26.85,870.20,870.20,870.20,870.20,870.20,25.00,874.10,"21,755.00",1,-3.9,0.0,-0.45,0.0,0.0,0.00,0.00,"1,000.00",870.10,2023-02-20
212,SBID83,10.25% Nepal SBI Bank Debenture 2083,42.22,872.00,872.00,865.00,865.00,870.53,425.00,870.20,"369,973.30",6,-5.2,7.0,-0.6,0.81,-0.64,0.00,0.00,"1,000.00",865.00,2023-02-22
204,SBID83,10.25% Nepal SBI Bank Debenture 2083,30.42,860.30,860.30,860.20,860.20,860.25,50.00,865.00,"43,012.70",2,-4.8,0.1,-0.55,0.01,-0.01,0.00,0.00,"1,000.00",860.20,2023-02-23
205,SBID83,10.25% Nepal SBI Bank Debenture 2083,31.0,865.00,865.00,865.00,865.00,865.00,25.00,860.20,"21,625.00",1,4.8,0.0,0.56,0.0,0.0,0.00,0.00,"1,000.00",860.20,2023-02-26
203,SBID83,10.25% Nepal SBI Bank Debenture 2083,38.41,861.00,861.00,861.00,861.00,861.00,100.00,860.00,"86,100.00",3,1.0,0.0,0.12,0.0,0.0,0.00,0.00,"1,000.00",851.00,2023-03-07
198,SBID83,10.25% Nepal SBI Bank Debenture 2083,43.47,878.20,895.00,878.20,895.00,879.73,110.00,861.00,"96,770.00",3,34.0,16.8,3.95,1.91,1.71,0.00,0.00,"1,000.00",851.00,2023-03-14
199,SBID83,10.25% Nepal SBI Bank Debenture 2083,51.48,900.00,909.00,900.00,909.00,906.64,545.00,895.00,"494,120.00",11,14.0,9.0,1.56,1.0,0.26,0.00,0.00,"1,000.00",851.00,2023-03-16
