SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
99,MBL,Machhapuchchhre Bank Limited,35.28,221.00,221.00,219.00,220.00,219.32,"11,732.00",221.00,"2,573,029.30",50,-1.0,2.0,-0.45,0.91,0.31,230.16,244.85,350.30,210.00,2022-12-07
99,MBL,Machhapuchchhre Bank Limited,35.28,221.00,221.00,219.00,220.00,219.32,"11,732.00",221.00,"2,573,029.30",50,-1.0,2.0,-0.45,0.91,0.31,230.16,244.85,350.30,210.00,2022-12-09
102,MBL,Machhapuchchhre Bank Limited,36.7,218.00,220.00,217.10,218.00,218.35,"11,124.00",220.00,"2,428,883.50",64,-2.0,2.9,-0.91,1.34,-0.16,-,-,350.30,210.00,2022-12-11
101,MBL,Machhapuchchhre Bank Limited,30.14,217.00,218.00,211.00,214.00,212.24,"59,947.00",218.00,"12,723,221.00",117,-4.0,7.0,-1.83,3.32,0.82,229.74,243.92,350.30,210.00,2022-12-12
100,MBL,Machhapuchchhre Bank Limited,36.49,214.00,215.00,210.10,214.00,212.12,"21,300.00",214.00,"4,518,127.90",96,0.0,4.9,0.0,2.33,0.88,229.58,243.46,350.30,210.00,2022-12-13
101,MBL,Machhapuchchhre Bank Limited,33.14,217.00,217.00,210.10,212.90,212.26,"10,595.00",214.00,"2,248,889.80",58,-1.1,6.9,-0.51,3.28,0.3,229.43,242.99,350.30,210.00,2022-12-14
105,MBL,Machhapuchchhre Bank Limited,28.47,210.10,211.90,209.10,211.00,210.24,"16,137.00",212.90,"3,392,622.90",84,-1.9,2.8,-0.89,1.34,0.36,229.20,242.48,350.30,209.10,2022-12-15
102,MBL,Machhapuchchhre Bank Limited,29.21,206.80,208.50,199.00,205.00,205.62,"36,529.00",211.00,"7,511,178.10",176,-6.0,9.5,-2.84,4.77,-0.3,228.95,241.95,350.30,199.00,2022-12-18
103,MBL,Machhapuchchhre Bank Limited,33.35,209.00,209.00,204.00,204.00,205.42,"25,349.00",205.00,"5,207,306.80",75,-1.0,5.0,-0.49,2.45,-0.7,228.70,241.43,350.30,199.00,2022-12-19
104,MBL,Machhapuchchhre Bank Limited,33.35,200.30,211.90,200.30,206.50,207.49,"23,172.00",204.00,"4,808,039.50",82,2.5,11.6,1.23,5.79,-0.48,228.47,240.97,350.30,199.00,2022-12-20
103,MBL,Machhapuchchhre Bank Limited,37.74,208.90,210.10,206.10,206.50,208.66,"26,068.00",206.50,"5,439,470.70",86,0.0,4.0,0.0,1.94,-1.05,228.17,240.52,350.30,199.00,2022-12-21
101,MBL,Machhapuchchhre Bank Limited,37.81,208.00,211.80,205.50,211.80,207.24,"35,248.00",206.50,"7,304,708.40",108,5.3,6.3,2.57,3.07,2.15,227.97,240.10,350.30,199.00,2022-12-22
101,MBL,Machhapuchchhre Bank Limited,48.25,214.00,218.00,209.10,216.20,214.82,"26,812.00",211.80,"5,759,720.30",121,4.4,8.9,2.08,4.26,0.64,227.82,239.71,350.30,199.00,2022-12-26
106,MBL,Machhapuchchhre Bank Limited,48.2,219.00,223.90,219.00,223.90,221.81,"43,431.00",216.20,"9,633,586.00",182,7.7,4.90,3.56,2.24,0.93,227.72,239.37,350.30,199.00,2022-12-27
104,MBL,Machhapuchchhre Bank Limited,40.53,220.10,223.00,218.00,222.00,220.77,"13,938.00",223.90,"3,077,055.90",90,-1.9,5.0,-0.85,2.29,0.56,227.56,239.02,350.30,199.00,2022-12-28
106,MBL,Machhapuchchhre Bank Limited,40.53,220.00,229.00,219.00,229.00,225.45,"35,371.00",222.00,"7,974,496.70",128,7.0,10.0,3.15,4.57,1.55,227.50,238.73,350.30,199.00,2022-12-29
107,MBL,Machhapuchchhre Bank Limited,54.58,229.90,233.50,225.60,227.00,227.17,"43,741.00",229.00,"9,936,746.70",181,-2.0,7.90,-0.87,3.5,-0.08,227.39,238.45,350.30,199.00,2023-01-01
101,MBL,Machhapuchchhre Bank Limited,54.58,223.00,234.00,223.00,230.00,228.78,"27,806.00",227.00,"6,361,518.40",127,3.0,11.0,1.32,4.93,0.53,227.28,238.21,350.30,199.00,2023-01-02
103,MBL,Machhapuchchhre Bank Limited,53.63,234.00,235.00,227.40,235.00,232.82,"33,576.00",230.00,"7,817,297.60",155,5.0,7.6,2.17,3.34,0.93,227.28,237.97,350.30,199.00,2023-01-03
104,MBL,Machhapuchchhre Bank Limited,57.54,230.30,236.50,230.30,236.40,235.02,"43,842.00",235.00,"10,303,653.30",122,1.4,6.2,0.6,2.69,0.58,227.29,237.75,350.30,199.00,2023-01-04
103,MBL,Machhapuchchhre Bank Limited,61.15,238.00,241.00,235.00,239.90,238.81,"56,406.00",236.40,"13,470,560.00",192,3.5,6.0,1.48,2.55,0.45,227.34,237.58,350.30,199.00,2023-01-05
106,MBL,Machhapuchchhre Bank Limited,62.35,238.00,242.70,236.70,241.30,240.73,"38,893.00",239.90,"9,362,775.10",155,1.40,6.00,0.58,2.53,0.24,-,-,350.30,199.00,2023-01-08
