SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
153,NMBHF1,NMB Hybrid Fund L- 1,41.56,9.25,9.25,8.81,9.15,8.99,"45,974.00",9.15,"413,334.88",15,0.0,0.44,0.0,4.99,1.74,10.31,10.76,13.00,8.81,2022-12-07
153,NMBHF1,NMB Hybrid Fund L- 1,41.56,9.25,9.25,8.81,9.15,8.99,"45,974.00",9.15,"413,334.88",15,0.0,0.44,0.0,4.99,1.74,10.31,10.76,13.00,8.81,2022-12-09
156,NMBHF1,NMB Hybrid Fund L- 1,42.97,9.01,9.14,8.79,8.96,9.00,"59,567.00",9.15,"536,069.93",17,-0.19,0.35,-2.08,3.98,-0.44,-,-,13.00,8.79,2022-12-11
153,NMBHF1,NMB Hybrid Fund L- 1,36.93,9.13,9.31,9.13,9.31,9.30,"12,150.00",8.96,"113,024.50",11,0.35,0.18,3.91,1.97,0.08,10.27,10.73,13.00,8.79,2022-12-12
152,NMBHF1,NMB Hybrid Fund L- 1,39.75,9.38,9.46,9.38,9.46,9.42,200.00,9.31,"1,884.00",2,0.15,0.08,1.61,0.85,0.42,10.26,10.72,13.00,8.79,2022-12-13
153,NMBHF1,NMB Hybrid Fund L- 1,45.36,9.28,9.28,9.13,9.13,9.15,"20,234.00",9.46,"185,178.74",13,-0.33,0.15,-3.49,1.64,-0.24,10.24,10.71,13.00,8.79,2022-12-14
159,NMBHF1,NMB Hybrid Fund L- 1,29.97,9.10,9.10,9.05,9.05,9.10,"5,461.00",9.13,"49,672.05",4,-0.08,0.05,-0.88,0.55,-0.51,10.22,10.69,13.00,8.79,2022-12-15
153,NMBHF1,NMB Hybrid Fund L- 1,43.67,9.23,9.23,9.04,9.04,9.09,"15,400.00",9.05,"140,016.52",12,-0.01,0.19,-0.11,2.1,-0.58,10.20,10.68,13.00,8.79,2022-12-18
154,NMBHF1,NMB Hybrid Fund L- 1,22.9,9.05,9.05,9.05,9.05,9.05,800.00,9.04,"7,240.00",1,0.01,0.0,0.11,0.0,0.0,10.18,10.66,13.00,8.79,2022-12-19
157,NMBHF1,NMB Hybrid Fund L- 1,22.9,9.00,9.05,9.00,9.04,9.03,"8,240.00",9.05,"74,443.04",6,-0.01,0.05,-0.11,0.56,0.06,10.17,10.65,13.00,8.79,2022-12-20
150,NMBHF1,NMB Hybrid Fund L- 1,27.09,9.21,9.21,9.14,9.17,9.16,"13,000.00",9.04,"119,110.00",9,0.13,0.07,1.44,0.77,0.08,10.15,10.63,13.00,8.79,2022-12-22
160,NMBHF1,NMB Hybrid Fund L- 1,47.67,9.01,9.18,9.00,9.15,9.11,"23,406.00",9.17,"213,142.70",8,-0.02,0.18,-0.22,2.0,0.48,10.14,10.62,13.00,8.79,2022-12-27
157,NMBHF1,NMB Hybrid Fund L- 1,52.92,9.15,9.49,9.15,9.15,9.34,"26,577.00",9.15,"248,127.69",10,0.0,0.34,0.0,3.72,-2.03,10.12,10.61,13.00,8.79,2022-12-28
158,NMBHF1,NMB Hybrid Fund L- 1,52.92,9.15,9.48,9.11,9.48,9.23,"22,161.00",9.15,"204,496.71",5,0.33,0.37,3.61,4.06,2.66,10.11,10.60,13.00,8.79,2022-12-29
162,NMBHF1,NMB Hybrid Fund L- 1,52.74,9.63,9.65,9.48,9.48,9.58,"20,000.00",9.48,"191,660.00",7,0.0,0.17,0.0,1.79,-1.09,10.11,10.59,13.00,8.79,2023-01-01
154,NMBHF1,NMB Hybrid Fund L- 1,52.74,9.34,9.38,9.34,9.34,9.35,"51,000.00",9.48,"476,750.00",7,-0.14,0.04,-1.48,0.43,-0.09,10.09,10.57,13.00,8.79,2023-01-02
158,NMBHF1,NMB Hybrid Fund L- 1,61.53,9.34,9.65,9.34,9.64,9.56,"8,615.00",9.34,"82,331.30",5,0.3,0.31,3.21,3.32,0.86,10.09,10.56,13.00,8.79,2023-01-04
157,NMBHF1,NMB Hybrid Fund L- 1,43.69,9.50,9.50,9.50,9.50,9.50,"4,433.00",9.64,"42,113.50",3,-0.14,0.0,-1.45,0.0,0.0,10.08,10.55,13.00,8.79,2023-01-05
159,NMBHF1,NMB Hybrid Fund L- 1,44.89,9.31,9.97,9.13,9.97,9.42,"10,499.00",9.50,"98,873.19",11,0.47,0.84,4.95,9.2,5.54,-,-,13.00,8.79,2023-01-08
157,NMBHF1,NMB Hybrid Fund L- 1,54.46,9.99,9.99,9.99,9.99,9.99,"2,000.00",9.97,"19,980.00",1,0.02,0.0,0.2,0.0,0.0,10.07,10.54,13.00,8.79,2023-01-09
153,NMBHF1,NMB Hybrid Fund L- 1,52.1,9.93,10.10,9.92,9.92,9.93,"17,776.00",9.99,"176,581.68",9,-0.07,0.18,-0.7,1.81,-0.14,10.06,10.53,13.00,8.79,2023-01-10
