SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
92,LBL,Laxmi Bank Limited,35.59,198.90,200.00,198.00,200.00,198.98,"3,458.00",198.90,"688,089.50",33,1.1,2.0,0.55,1.01,0.51,200.27,213.72,330.00,185.50,2022-12-07
92,LBL,Laxmi Bank Limited,35.59,198.90,200.00,198.00,200.00,198.98,"3,458.00",198.90,"688,089.50",33,1.1,2.0,0.55,1.01,0.51,200.27,213.72,330.00,185.50,2022-12-09
95,LBL,Laxmi Bank Limited,37.0,200.00,200.00,190.00,191.00,191.54,"36,832.00",200.00,"7,054,797.30",156,-9.0,10.0,-4.5,5.26,-0.28,-,-,330.00,185.50,2022-12-11
94,LBL,Laxmi Bank Limited,37.49,190.00,193.00,189.50,191.80,190.64,"13,986.00",191.00,"2,666,358.80",91,0.8,3.5,0.42,1.85,0.6,199.99,212.85,330.00,185.50,2022-12-12
92,LBL,Laxmi Bank Limited,36.36,191.00,194.00,188.20,193.00,191.08,"13,103.00",191.80,"2,503,708.20",71,1.2,5.8,0.63,3.08,1.0,199.87,212.44,330.00,185.50,2022-12-13
94,LBL,Laxmi Bank Limited,36.3,195.00,195.70,191.60,192.50,193.32,"15,163.00",193.00,"2,931,364.50",54,-0.5,4.1,-0.26,2.14,-0.43,199.78,212.03,330.00,185.50,2022-12-14
98,LBL,Laxmi Bank Limited,32.71,190.30,193.00,190.30,190.60,191.49,"15,965.00",192.50,"3,057,166.10",55,-1.9,2.7,-0.99,1.42,-0.47,199.66,211.58,330.00,185.50,2022-12-15
95,LBL,Laxmi Bank Limited,42.12,189.10,191.00,188.20,190.00,189.17,"12,127.00",190.60,"2,294,043.70",56,-0.6,2.8,-0.31,1.49,0.44,199.57,211.16,330.00,185.50,2022-12-18
96,LBL,Laxmi Bank Limited,37.32,190.00,193.60,186.40,188.90,189.77,"13,180.00",190.00,"2,501,187.90",55,-1.1,7.2,-0.58,3.86,-0.46,199.49,210.75,330.00,185.50,2022-12-19
97,LBL,Laxmi Bank Limited,37.32,189.00,195.00,188.00,189.00,190.08,"23,458.00",188.90,"4,458,827.30",85,0.1,7.0,0.05,3.72,-0.57,199.40,210.35,330.00,185.50,2022-12-20
96,LBL,Laxmi Bank Limited,42.79,190.00,194.40,190.00,190.70,191.89,"16,773.00",189.00,"3,218,611.70",75,1.7,4.4,0.9,2.32,-0.63,199.29,209.97,330.00,185.50,2022-12-21
94,LBL,Laxmi Bank Limited,42.51,189.40,191.20,189.20,189.50,190.18,"10,895.00",190.70,"2,071,958.20",49,-1.2,2.0,-0.63,1.06,-0.36,199.25,209.56,330.00,185.50,2022-12-22
94,LBL,Laxmi Bank Limited,38.65,193.00,197.00,188.10,197.00,192.25,"44,489.00",189.50,"8,553,179.80",131,7.5,8.9,3.96,4.73,2.41,199.24,209.19,330.00,185.50,2022-12-26
99,LBL,Laxmi Bank Limited,51.23,200.90,202.90,195.00,200.00,195.68,"1,070,599.00",197.00,"209,490,509.00",351,3.0,7.90,1.52,4.05,2.16,199.24,208.83,330.00,185.50,2022-12-27
97,LBL,Laxmi Bank Limited,47.93,201.00,203.50,196.10,202.70,199.82,"40,848.00",200.00,"8,162,383.20",131,2.7,7.4,1.35,3.77,1.42,199.23,208.48,330.00,185.50,2022-12-28
99,LBL,Laxmi Bank Limited,47.93,203.00,210.00,200.00,210.00,202.98,"63,014.00",202.70,"12,790,332.40",180,7.3,10.0,3.6,5.0,3.34,199.34,208.19,330.00,185.50,2022-12-29
100,LBL,Laxmi Bank Limited,49.42,210.00,211.50,204.00,206.00,207.58,"64,647.00",210.00,"13,419,416.40",190,-4.0,7.50,-1.9,3.68,-0.77,199.40,207.89,330.00,185.50,2023-01-01
94,LBL,Laxmi Bank Limited,49.42,208.90,210.10,205.00,206.80,207.91,"84,461.00",206.00,"17,559,906.10",161,0.8,5.1,0.39,2.49,-0.53,199.47,207.63,330.00,185.50,2023-01-02
96,LBL,Laxmi Bank Limited,51.7,205.40,209.00,205.00,208.00,206.52,"51,262.00",206.80,"10,586,625.10",105,1.2,4.0,0.58,1.95,0.71,199.56,207.34,330.00,185.50,2023-01-03
97,LBL,Laxmi Bank Limited,53.73,212.10,212.10,202.90,205.00,203.97,"56,156.00",208.00,"11,454,299.10",193,-3.0,9.2,-1.44,4.53,0.5,199.62,207.07,330.00,185.50,2023-01-04
96,LBL,Laxmi Bank Limited,39.48,208.00,210.00,202.30,204.00,205.30,"53,461.00",205.00,"10,975,696.20",164,-1.0,7.7,-0.49,3.81,-0.64,199.67,206.78,330.00,185.50,2023-01-05
99,LBL,Laxmi Bank Limited,40.68,207.00,207.00,200.00,202.90,202.22,"39,999.00",204.00,"8,088,552.00",173,-1.10,7.00,-0.54,3.5,0.34,-,-,330.00,185.50,2023-01-08
96,LBL,Laxmi Bank Limited,46.07,201.00,206.90,200.00,206.90,202.86,"71,747.00",202.90,"14,554,251.00",222,4.0,6.9,1.97,3.45,1.95,199.85,206.23,330.00,185.50,2023-01-09
94,LBL,Laxmi Bank Limited,50.99,209.90,220.00,204.00,207.00,211.69,"229,074.00",206.90,"48,491,768.80",704,0.1,16.0,0.05,7.84,-2.26,199.99,205.99,330.00,185.50,2023-01-10
97,LBL,Laxmi Bank Limited,51.01,209.00,214.00,204.10,205.50,208.44,"69,224.00",207.00,"14,428,836.60",248,-1.5,9.9,-0.72,4.85,-1.43,199.99,205.73,330.00,185.50,2023-01-12
93,LBL,Laxmi Bank Limited,46.33,202.00,205.00,200.20,204.00,202.78,"34,216.00",205.50,"6,938,323.70",176,-1.5,4.8,-0.73,2.4,0.6,200.02,205.54,330.00,185.50,2023-01-17
94,LBL,Laxmi Bank Limited,44.27,203.00,205.00,202.00,203.80,203.39,"36,130.00",204.00,"7,348,556.10",141,-0.2,3.0,-0.1,1.49,0.2,200.06,205.39,330.00,185.50,2023-01-18
92,LBL,Laxmi Bank Limited,38.95,205.00,205.00,200.60,201.90,201.96,"46,464.00",203.80,"9,383,868.40",148,-1.9,4.4,-0.93,2.19,-0.03,200.06,205.15,328.40,185.50,2023-01-19
96,LBL,Laxmi Bank Limited,36.87,205.90,210.00,201.30,201.90,204.21,"66,339.00",201.90,"13,547,125.40",227,0.0,8.7,0.0,4.32,-1.14,200.05,204.93,319.00,185.50,2023-01-23
96,LBL,Laxmi Bank Limited,38.77,202.00,206.90,201.00,204.90,203.12,"33,714.00",201.90,"6,847,828.80",135,3.0,5.9,1.49,2.94,0.87,200.07,204.73,308.00,185.50,2023-01-24
95,LBL,Laxmi Bank Limited,41.01,202.00,205.50,201.00,201.00,202.66,"42,159.00",204.90,"8,543,998.80",142,-3.9,4.5,-1.9,2.24,-0.83,200.07,204.52,304.00,185.50,2023-01-25
92,LBL,Laxmi Bank Limited,38.4,200.20,203.80,199.80,199.80,200.48,"40,713.00",201.00,"8,162,027.00",136,-1.2,4.0,-0.6,2.0,-0.34,200.06,204.31,304.00,185.50,2023-01-26
96,LBL,Laxmi Bank Limited,38.07,200.00,202.00,198.60,199.30,200.04,"24,005.00",199.80,"4,801,925.60",109,-0.5,3.4,-0.25,1.71,-0.37,200.06,204.12,304.00,185.50,2023-01-29
95,LBL,Laxmi Bank Limited,34.89,201.00,201.00,196.00,197.10,198.01,"41,095.00",199.30,"8,137,037.20",154,-2.2,5.0,-1.1,2.55,-0.46,200.00,203.93,304.00,185.50,2023-01-30
96,LBL,Laxmi Bank Limited,36.24,195.20,199.00,195.20,195.20,196.14,"24,294.00",197.10,"4,765,134.90",104,-1.9,3.8,-0.96,1.95,-0.48,199.91,203.76,304.00,185.50,2023-01-31
92,LBL,Laxmi Bank Limited,33.86,195.00,198.90,194.00,195.90,195.11,"22,618.00",195.20,"4,413,026.00",85,0.7,4.9,0.36,2.53,0.4,199.87,203.57,304.00,185.50,2023-02-01
94,LBL,Laxmi Bank Limited,43.47,199.00,199.00,194.00,194.80,195.22,"23,112.00",195.90,"4,511,827.00",99,-1.1,5.0,-0.56,2.58,-0.21,199.82,203.37,304.00,185.50,2023-02-02
98,LBL,Laxmi Bank Limited,44.16,195.00,198.90,193.00,196.00,196.35,"29,254.00",194.80,"5,743,947.30",129,1.2,5.9,0.62,3.06,-0.18,199.78,203.15,298.00,185.50,2023-02-05
98,LBL,Laxmi Bank Limited,42.23,199.00,202.00,196.50,201.00,199.70,"29,584.00",196.00,"5,907,981.70",122,5.0,5.5,2.55,2.8,0.65,199.67,202.68,298.00,185.50,2023-02-07
96,LBL,Laxmi Bank Limited,54.85,205.00,205.00,197.40,201.10,200.24,"18,741.00",201.40,"3,752,694.40",69,-0.3,7.6,-0.15,3.85,0.43,199.51,202.31,292.00,185.50,2023-02-09
93,LBL,Laxmi Bank Limited,45.83,197.20,201.00,197.10,197.10,198.72,"22,236.00",201.10,"4,418,751.30",110,-4.0,3.9,-1.99,1.98,-0.82,199.42,202.10,281.00,185.50,2023-02-12
97,LBL,Laxmi Bank Limited,34.7,196.00,199.80,196.00,196.20,197.11,"18,938.00",197.10,"3,732,803.20",79,-0.90,3.8,-0.46,1.94,-0.46,199.34,201.90,281.00,185.50,2023-02-14
96,LBL,Laxmi Bank Limited,32.0,195.00,195.00,191.10,192.20,192.43,"15,040.00",194.00,"2,894,162.60",85,-1.80,3.90,-0.93,2.04,-0.12,199.15,201.51,281.00,185.50,2023-02-16
94,LBL,Laxmi Bank Limited,36.55,194.00,194.00,187.00,190.00,189.17,"61,659.00",192.20,"11,663,916.10",185,-2.2,7.0,-1.14,3.74,0.44,199.04,201.30,278.90,185.50,2023-02-20
102,LBL,Laxmi Bank Limited,34.5,188.00,193.80,188.00,190.10,191.14,"25,330.00",190.00,"4,841,544.20",132,0.1,5.8,0.05,3.09,-0.55,198.96,201.08,278.90,185.50,2023-02-22
96,LBL,Laxmi Bank Limited,33.53,190.00,192.90,188.00,190.50,190.07,"17,290.00",190.10,"3,286,317.00",88,0.4,4.9,0.21,2.61,0.23,198.89,200.86,277.00,185.50,2023-02-23
96,LBL,Laxmi Bank Limited,38.05,190.00,192.00,187.20,190.00,189.38,"15,499.00",190.50,"2,935,165.20",113,-0.5,4.8,-0.26,2.56,0.33,198.81,200.67,277.00,185.50,2023-02-26
96,LBL,Laxmi Bank Limited,35.49,190.00,192.00,190.00,190.20,190.61,"2,940.00",192.00,"560,405.20",45,-1.8,2.0,-0.94,1.05,-0.22,198.66,200.34,277.00,185.50,2023-02-28
97,LBL,Laxmi Bank Limited,38.87,190.20,191.00,188.80,190.00,189.80,"12,438.00",190.20,"2,360,751.10",71,-0.20,2.20,-0.11,1.17,0.1,198.58,200.17,277.00,185.50,2023-03-01
98,LBL,Laxmi Bank Limited,35.33,191.80,191.80,186.50,186.60,187.72,"25,208.00",190.00,"4,731,924.00",121,-3.4,5.3,-1.79,2.84,-0.6,198.47,200.00,277.00,185.50,2023-03-02
97,LBL,Laxmi Bank Limited,29.94,186.30,188.00,185.00,185.00,185.79,"22,369.00",186.60,"4,155,834.10",95,-1.6,3.0,-0.86,1.62,-0.42,198.34,199.84,277.00,185.00,2023-03-05
96,LBL,Laxmi Bank Limited,33.85,184.00,187.70,184.00,187.70,186.18,"13,858.00",185.00,"2,580,046.90",58,2.7,3.7,1.46,2.01,0.81,198.24,199.70,277.00,184.00,2023-03-07
95,LBL,Laxmi Bank Limited,35.18,185.00,190.00,185.00,188.10,188.53,"13,073.00",187.70,"2,464,675.10",86,0.4,5.0,0.21,2.7,-0.23,198.14,199.53,277.00,184.00,2023-03-09
96,LBL,Laxmi Bank Limited,35.34,186.00,189.00,186.00,186.50,186.92,"8,015.00",188.10,"1,498,180.30",62,-1.6,3.0,-0.85,1.61,-0.23,198.01,199.37,277.00,184.00,2023-03-12
96,LBL,Laxmi Bank Limited,38.19,182.60,184.80,180.00,181.00,181.19,"40,453.00",180.00,"7,329,758.50",120,1.0,4.8,0.56,2.67,-0.11,197.68,198.99,275.00,180.00,2023-03-14
95,LBL,Laxmi Bank Limited,33.69,181.00,184.60,180.00,182.00,181.41,"18,016.00",181.00,"3,268,287.60",85,1.00,4.6,0.55,2.56,0.32,197.53,198.83,275.00,180.00,2023-03-15
95,LBL,Laxmi Bank Limited,43.36,181.50,184.10,180.00,180.00,180.35,"59,056.00",182.00,"10,650,844.60",159,-2.0,4.1,-1.1,2.28,-0.2,197.37,198.69,273.00,180.00,2023-03-16
96,LBL,Laxmi Bank Limited,41.93,180.00,183.60,179.60,180.00,180.74,"29,962.00",180.00,"5,415,480.90",145,0.0,4.0,0.0,2.23,-0.41,197.21,198.54,272.00,179.60,2023-03-19
94,LBL,Laxmi Bank Limited,42.41,182.00,183.00,180.00,182.50,180.95,"16,889.00",180.00,"3,056,132.50",86,2.5,3.0,1.39,1.67,0.85,197.06,198.40,272.00,179.60,2023-03-20
