SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
185,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,35.36,535.50,545.00,528.10,528.10,535.06,"1,629.00",546.00,"871,605.50",36,-17.9,16.9,-3.28,3.2,-1.32,544.77,568.16,875.00,450.00,2022-12-07
185,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,35.36,535.50,545.00,528.10,528.10,535.06,"1,629.00",546.00,"871,605.50",36,-17.9,16.9,-3.28,3.2,-1.32,544.77,568.16,875.00,450.00,2022-12-09
188,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,36.78,520.00,520.00,510.00,513.00,513.69,"2,285.00",528.10,"1,173,789.00",45,-15.1,10.0,-2.86,1.96,-0.14,-,-,875.00,450.00,2022-12-11
185,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,28.97,505.00,523.00,505.00,520.00,513.76,"3,080.00",513.00,"1,582,384.60",39,7.0,18.0,1.36,3.56,1.2,544.87,566.08,875.00,450.00,2022-12-12
184,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,30.08,525.00,540.00,525.00,529.00,530.76,350.00,520.00,"185,767.50",19,9.0,15.0,1.73,2.86,-0.33,545.11,565.16,875.00,450.00,2022-12-13
185,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,24.07,529.00,534.00,526.00,531.00,529.76,"3,160.00",529.00,"1,674,046.30",31,2.0,8.0,0.38,1.52,0.23,545.59,564.17,875.00,450.00,2022-12-14
193,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,34.56,537.00,537.00,517.00,517.00,524.99,645.00,531.00,"338,621.50",21,-14.0,20.0,-2.64,3.87,-1.55,545.73,563.10,875.00,450.00,2022-12-15
188,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,35.15,520.00,520.00,502.50,502.50,510.55,"1,695.00",517.00,"865,387.40",28,-14.5,17.5,-2.8,3.48,-1.6,545.80,562.00,875.00,450.00,2022-12-18
188,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,24.87,510.00,519.00,505.00,519.00,508.87,"1,266.00",502.50,"644,233.10",27,16.5,14.0,3.28,2.77,1.95,546.06,561.07,875.00,450.00,2022-12-19
192,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,24.87,518.60,526.90,518.60,526.00,523.27,479.00,519.00,"250,646.90",18,7.0,8.3,1.35,1.6,0.52,546.28,560.30,875.00,450.00,2022-12-20
189,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,22.75,516.10,525.00,510.10,520.00,513.98,"1,619.00",526.00,"832,129.00",27,-6.0,14.9,-1.14,2.92,1.16,546.19,559.51,875.00,450.00,2022-12-21
185,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,38.28,510.00,512.00,505.00,509.10,508.82,"1,576.00",520.00,"801,898.40",25,-10.9,7.0,-2.1,1.39,0.06,546.08,558.64,875.00,450.00,2022-12-22
