SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
161,NYADI,Nyadi Hydropower  Limited,37.76,270.00,280.50,270.00,274.00,273.99,"1,747.00",271.70,"478,653.00",43,2.3,10.5,0.85,3.89,0.01,305.91,333.82,566.00,241.00,2022-12-07
161,NYADI,Nyadi Hydropower  Limited,37.76,270.00,280.50,270.00,274.00,273.99,"1,747.00",271.70,"478,653.00",43,2.3,10.5,0.85,3.89,0.01,305.91,333.82,566.00,241.00,2022-12-09
164,NYADI,Nyadi Hydropower  Limited,39.17,275.00,277.00,270.00,270.00,271.23,"1,090.00",274.00,"295,638.00",64,-4.0,7.0,-1.46,2.59,-0.45,-,-,566.00,241.00,2022-12-11
161,NYADI,Nyadi Hydropower  Limited,32.26,269.00,271.90,266.10,271.90,268.31,"1,085.00",270.00,"291,118.50",47,1.9,5.8,0.7,2.18,1.32,305.45,331.50,566.00,241.00,2022-12-12
160,NYADI,Nyadi Hydropower  Limited,29.22,267.00,273.60,267.00,273.00,270.88,"1,265.00",271.90,"342,663.50",42,1.1,6.6,0.4,2.47,0.78,305.35,330.33,566.00,241.00,2022-12-13
161,NYADI,Nyadi Hydropower  Limited,38.55,269.10,281.00,269.10,281.00,274.68,"1,621.00",273.00,"445,249.00",63,8.0,11.9,2.93,4.42,2.25,305.46,329.18,566.00,241.00,2022-12-14
167,NYADI,Nyadi Hydropower  Limited,39.88,275.40,275.40,270.00,271.00,271.97,620.00,281.00,"168,619.00",46,-10.0,5.4,-3.56,2.0,-0.36,305.43,327.99,566.00,241.00,2022-12-15
161,NYADI,Nyadi Hydropower  Limited,40.53,266.00,269.50,264.00,264.00,266.79,"3,570.00",271.00,"952,455.50",59,-7.0,5.5,-2.58,2.08,-1.06,305.44,326.84,566.00,241.00,2022-12-18
162,NYADI,Nyadi Hydropower  Limited,29.8,260.10,275.00,260.10,263.20,265.92,"2,120.00",264.00,"563,751.00",50,-0.8,14.9,-0.3,5.73,-1.03,305.56,325.70,566.00,241.00,2022-12-19
165,NYADI,Nyadi Hydropower  Limited,29.8,258.60,274.00,258.60,268.00,270.46,"2,000.00",263.20,"540,912.00",64,4.8,15.4,1.82,5.96,-0.92,305.52,324.67,566.00,241.00,2022-12-20
162,NYADI,Nyadi Hydropower  Limited,30.4,263.10,268.00,263.10,264.50,264.65,730.00,268.00,"193,198.00",46,-3.5,4.9,-1.31,1.86,-0.06,305.23,323.67,566.00,241.00,2022-12-21
158,NYADI,Nyadi Hydropower  Limited,30.56,259.30,264.00,257.00,260.10,260.22,540.00,264.50,"140,520.00",46,-4.4,7.0,-1.66,2.72,-0.05,304.64,322.62,566.00,241.00,2022-12-22
159,NYADI,Nyadi Hydropower  Limited,32.91,262.10,277.90,262.00,275.00,271.46,"1,531.00",260.10,"415,605.50",74,14.9,15.9,5.73,6.07,1.29,304.30,321.58,566.00,241.00,2022-12-26
168,NYADI,Nyadi Hydropower  Limited,45.76,280.50,295.00,274.00,286.10,285.90,"14,881.00",275.00,"4,254,419.10",158,11.1,21.00,4.04,7.66,0.07,303.99,320.66,566.00,241.00,2022-12-27
165,NYADI,Nyadi Hydropower  Limited,52.54,288.00,291.80,275.30,277.30,284.27,"4,443.00",286.10,"1,263,029.60",69,-8.8,16.5,-3.08,5.99,-2.51,303.34,319.67,566.00,241.00,2022-12-28
166,NYADI,Nyadi Hydropower  Limited,52.54,272.00,301.90,272.00,299.80,291.54,"4,942.00",277.30,"1,440,795.40",100,22.5,29.9,8.11,10.99,2.75,302.88,318.84,566.00,241.00,2022-12-29
170,NYADI,Nyadi Hydropower  Limited,52.78,295.10,307.00,294.00,295.20,299.97,"5,342.00",299.80,"1,602,430.30",110,-4.6,13.00,-1.53,4.42,-1.62,302.39,318.04,566.00,241.00,2023-01-01
162,NYADI,Nyadi Hydropower  Limited,52.78,289.30,313.00,284.20,297.20,298.59,"3,558.00",295.20,"1,062,391.40",98,2.0,28.8,0.68,10.13,-0.47,301.95,317.27,566.00,241.00,2023-01-02
165,NYADI,Nyadi Hydropower  Limited,49.32,298.00,316.90,296.00,312.00,307.97,"10,016.00",297.20,"3,084,653.50",148,14.8,20.9,4.98,7.06,1.29,301.80,316.62,566.00,241.00,2023-01-03
166,NYADI,Nyadi Hydropower  Limited,61.53,318.00,326.40,301.00,326.40,318.03,"6,128.00",312.00,"1,948,870.70",157,14.4,25.4,4.62,8.44,2.57,301.73,316.06,566.00,241.00,2023-01-04
166,NYADI,Nyadi Hydropower  Limited,56.34,320.20,332.80,314.00,322.60,325.01,"5,650.00",326.40,"1,836,316.80",105,-3.8,18.8,-1.16,5.99,-0.75,301.71,315.63,566.00,241.00,2023-01-05
167,NYADI,Nyadi Hydropower  Limited,57.54,317.30,343.00,317.20,335.00,333.22,"6,060.00",322.60,"2,019,293.50",152,12.40,25.80,3.84,8.13,0.53,-,-,566.00,241.00,2023-01-08
165,NYADI,Nyadi Hydropower  Limited,59.37,333.00,349.00,333.00,349.00,342.07,"11,210.00",335.00,"3,834,647.90",173,14.0,16.0,4.18,4.8,1.98,302.23,314.93,566.00,241.00,2023-01-09
161,NYADI,Nyadi Hydropower  Limited,52.89,354.00,361.00,330.00,330.00,349.13,"19,416.00",349.00,"6,778,634.80",206,-19.0,31.0,-5.44,9.39,-5.8,302.47,314.64,566.00,241.00,2023-01-10
159,NYADI,Nyadi Hydropower  Limited,52.91,336.00,336.00,314.00,314.00,324.23,"8,918.00",330.00,"2,891,519.80",166,-16.0,22.0,-4.85,7.01,-3.26,302.38,314.24,566.00,241.00,2023-01-12
160,NYADI,Nyadi Hydropower  Limited,49.41,308.10,339.00,308.10,333.00,325.70,"7,080.00",314.00,"2,305,965.50",163,19.0,30.9,6.05,10.03,2.19,302.46,314.01,566.00,241.00,2023-01-17
157,NYADI,Nyadi Hydropower  Limited,51.33,329.00,344.00,328.40,336.00,334.56,"8,167.00",333.00,"2,732,360.30",164,3.0,15.6,0.9,4.75,0.43,302.63,313.71,566.00,241.00,2023-01-18
156,NYADI,Nyadi Hydropower  Limited,49.44,330.20,348.00,330.20,338.00,338.29,"9,377.00",336.00,"3,172,121.60",166,2.0,17.8,0.6,5.39,-0.09,302.82,313.25,566.00,241.00,2023-01-19
163,NYADI,Nyadi Hydropower  Limited,52.24,338.00,346.00,315.00,326.40,332.52,"8,845.00",338.00,"2,941,150.50",192,-11.6,31.0,-3.43,9.84,-1.88,302.88,312.84,566.00,241.00,2023-01-23
158,NYADI,Nyadi Hydropower  Limited,52.67,320.00,332.00,314.10,331.00,320.39,"4,355.00",326.40,"1,395,303.70",147,4.6,17.9,1.41,5.7,3.21,302.97,312.48,566.00,241.00,2023-01-24
162,NYADI,Nyadi Hydropower  Limited,46.62,324.50,349.50,321.70,336.00,339.02,"9,416.00",331.00,"3,192,194.80",170,5.0,27.8,1.51,8.64,-0.9,303.11,312.15,566.00,241.00,2023-01-25
160,NYADI,Nyadi Hydropower  Limited,51.9,342.00,345.00,330.00,344.00,340.66,"14,825.00",336.00,"5,050,238.80",182,8.0,15.0,2.38,4.55,0.97,303.31,311.88,566.00,241.00,2023-01-26
166,NYADI,Nyadi Hydropower  Limited,54.0,344.00,358.00,331.40,355.00,350.26,"19,300.00",344.00,"6,760,043.00",266,11.0,26.6,3.2,8.03,1.33,303.66,311.77,566.00,241.00,2023-01-29
161,NYADI,Nyadi Hydropower  Limited,54.27,348.00,362.00,328.60,337.00,345.66,"18,883.00",355.00,"6,527,142.10",197,-18.0,33.4,-5.07,10.16,-2.57,303.80,311.62,566.00,241.00,2023-01-30
163,NYADI,Nyadi Hydropower  Limited,53.72,330.30,338.00,326.00,335.00,333.53,"6,627.00",337.00,"2,210,323.00",162,-2.0,12.0,-0.59,3.68,0.44,303.81,311.52,566.00,241.00,2023-01-31
162,NYADI,Nyadi Hydropower  Limited,45.72,329.00,350.00,329.00,338.00,339.92,"3,770.00",335.00,"1,281,487.00",136,3.0,21.0,0.9,6.38,-0.57,303.91,311.43,566.00,241.00,2023-02-01
163,NYADI,Nyadi Hydropower  Limited,44.13,331.40,344.70,331.40,333.00,334.82,"4,267.00",338.00,"1,428,676.00",102,-5.0,13.3,-1.48,4.01,-0.55,303.87,311.33,566.00,241.00,2023-02-02
163,NYADI,Nyadi Hydropower  Limited,36.28,333.00,339.00,328.50,328.80,334.41,"3,300.00",333.00,"1,103,558.00",122,-4.2,10.5,-1.26,3.2,-1.71,303.78,311.13,566.00,241.00,2023-02-05
164,NYADI,Nyadi Hydropower  Limited,33.26,320.00,345.00,320.00,345.00,339.10,"9,785.00",325.00,"3,318,053.80",213,20.0,25.0,6.15,7.81,1.71,303.58,310.55,566.00,241.00,2023-02-07
163,NYADI,Nyadi Hydropower  Limited,61.59,347.00,372.30,347.00,372.00,362.51,"19,056.00",353.10,"6,908,020.30",188,18.9,25.3,5.35,7.29,2.55,303.89,310.42,566.00,241.00,2023-02-09
158,NYADI,Nyadi Hydropower  Limited,57.64,364.60,366.00,352.80,360.00,358.21,"17,207.00",372.00,"6,163,785.00",166,-12.0,13.2,-3.23,3.74,0.5,303.84,310.38,566.00,241.00,2023-02-12
161,NYADI,Nyadi Hydropower  Limited,48.42,353.00,360.00,348.30,354.00,351.72,"11,541.00",360.00,"4,059,178.90",137,-6.00,11.7,-1.67,3.36,0.64,303.66,310.34,566.00,241.00,2023-02-14
161,NYADI,Nyadi Hydropower  Limited,33.28,346.00,351.00,335.00,339.00,341.74,"6,775.00",353.00,"2,315,278.20",123,-14.00,16.00,-3.97,4.78,-0.81,303.18,310.29,566.00,241.00,2023-02-16
163,NYADI,Nyadi Hydropower  Limited,29.48,335.00,348.00,327.10,343.90,334.17,"7,939.00",339.00,"2,652,986.50",140,4.9,20.9,1.45,6.39,2.83,302.88,310.22,566.00,241.00,2023-02-20
171,NYADI,Nyadi Hydropower  Limited,39.99,348.00,356.90,341.00,356.50,350.01,"14,766.00",343.90,"5,168,258.50",174,12.6,15.9,3.66,4.66,1.82,302.89,310.21,566.00,241.00,2023-02-22
164,NYADI,Nyadi Hydropower  Limited,26.7,349.40,349.40,336.00,348.90,339.73,"5,170.00",356.50,"1,756,425.00",116,-7.6,13.4,-2.13,3.99,2.63,302.92,310.14,566.00,241.00,2023-02-23
163,NYADI,Nyadi Hydropower  Limited,40.55,342.00,348.80,328.50,348.00,336.53,"6,192.00",348.90,"2,083,789.00",115,-0.9,20.3,-0.26,6.18,3.3,302.99,310.15,545.00,241.00,2023-02-26
167,NYADI,Nyadi Hydropower  Limited,28.16,338.10,359.00,338.10,349.00,350.03,"8,980.00",341.50,"3,143,245.00",139,7.5,20.9,2.2,6.18,-0.29,303.10,310.28,545.00,241.00,2023-02-28
161,NYADI,Nyadi Hydropower  Limited,27.77,342.10,345.00,341.00,341.00,342.07,"2,751.00",349.00,"941,045.00",76,-8.00,4.00,-2.29,1.17,-0.31,303.12,310.34,517.00,241.00,2023-03-01
162,NYADI,Nyadi Hydropower  Limited,23.12,334.30,340.00,333.20,333.20,333.92,"3,719.00",341.00,"1,241,845.80",65,-7.8,6.8,-2.29,2.04,-0.22,303.07,310.40,517.00,241.00,2023-03-02
163,NYADI,Nyadi Hydropower  Limited,24.41,326.60,346.50,320.10,331.00,328.16,"3,310.00",333.20,"1,086,215.50",91,-2.2,26.4,-0.66,8.25,0.86,302.90,310.43,517.00,241.00,2023-03-05
164,NYADI,Nyadi Hydropower  Limited,25.37,325.10,340.00,325.10,330.90,332.37,"3,955.00",331.00,"1,314,504.50",62,-0.1,14.9,-0.03,4.58,-0.44,302.77,310.52,517.00,241.00,2023-03-07
162,NYADI,Nyadi Hydropower  Limited,27.92,330.00,344.00,330.00,340.00,338.92,"3,111.00",330.90,"1,054,370.30",104,9.1,14.0,2.75,4.24,0.32,302.74,310.62,517.00,241.00,2023-03-09
163,NYADI,Nyadi Hydropower  Limited,34.64,341.00,343.00,337.20,340.00,340.67,"1,470.00",340.00,"500,791.00",85,0.0,5.8,0.0,1.72,-0.2,302.74,310.74,517.00,241.00,2023-03-12
161,NYADI,Nyadi Hydropower  Limited,43.84,329.00,340.60,324.00,333.80,334.57,"4,420.00",334.00,"1,478,784.00",96,-0.2,16.6,-0.06,5.12,-0.23,302.52,310.94,504.90,241.00,2023-03-14
159,NYADI,Nyadi Hydropower  Limited,31.45,329.10,334.00,328.20,328.20,330.40,"7,960.00",333.80,"2,629,960.00",73,-5.60,5.8,-1.68,1.77,-0.67,302.51,311.05,499.70,241.00,2023-03-15
159,NYADI,Nyadi Hydropower  Limited,34.37,323.00,334.00,323.00,332.00,329.66,"1,845.00",328.20,"608,229.00",71,3.8,11.0,1.16,3.41,0.7,302.68,311.22,498.60,241.00,2023-03-16
