SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
229,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,53.66,983.10,"1,060.20",983.10,"1,060.20","1,055.67","1,162.00",963.90,"1,226,685.40",23,96.3,77.1,9.99,7.84,0.43,-,-,"1,535.00",749.00,2022-12-11
223,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,46.49,"1,081.00","1,166.20","1,081.00","1,166.20","1,163.30","7,927.00","1,060.20","9,221,468.60",61,106.0,85.2,10.0,7.88,0.25,887.53,965.76,"1,535.00",749.00,2022-12-12
227,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,52.2,"1,189.50","1,282.80","1,189.50","1,190.70","1,234.46","38,070.00","1,166.20","46,995,983.60",360,24.5,93.3,2.1,7.84,-3.68,888.70,965.61,"1,535.00",749.00,2022-12-13
223,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,50.89,"1,200.00","1,226.00","1,146.10","1,146.10","1,182.35","10,534.00","1,190.70","12,454,857.50",140,-44.6,79.9,-3.75,6.97,-3.16,889.68,965.29,"1,535.00",749.00,2022-12-14
232,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,41.34,"1,125.10","1,140.00","1,103.00","1,106.00","1,115.47","4,774.00","1,146.10","5,325,273.10",87,-40.1,37.0,-3.5,3.35,-0.86,890.53,964.62,"1,535.00",749.00,2022-12-15
228,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,33.62,"1,098.00","1,098.00","1,069.00","1,084.00","1,078.86","10,718.00","1,106.00","11,563,264.80",94,-22.0,29.0,-1.99,2.71,0.47,891.35,963.54,"1,535.00",749.00,2022-12-18
228,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,27.78,"1,075.00","1,104.00","1,075.00","1,104.00","1,095.44",690.00,"1,084.00","755,852.00",14,20.0,29.0,1.85,2.7,0.78,892.19,962.63,"1,535.00",749.00,2022-12-19
234,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,27.78,"1,103.00","1,137.00","1,103.00","1,134.80","1,129.33","1,915.00","1,104.00","2,162,667.60",39,30.8,34.0,2.79,3.08,0.48,893.15,961.85,"1,535.00",749.00,2022-12-20
229,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,30.53,"1,126.00","1,126.00","1,111.00","1,120.00","1,114.84","2,080.00","1,134.80","2,318,867.60",17,-14.8,15.0,-1.3,1.35,0.46,894.10,961.17,"1,535.00",749.00,2022-12-21
224,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,29.1,"1,110.00","1,124.00","1,102.50","1,119.00","1,116.98","1,497.00","1,120.00","1,672,126.10",21,-1.0,21.5,-0.09,1.95,0.18,894.89,960.55,"1,535.00",749.00,2022-12-22
228,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,27.79,"1,126.00","1,147.00","1,113.00","1,147.00","1,137.34","3,076.00","1,119.00","3,498,465.50",57,28.0,34.0,2.5,3.05,0.84,896.16,960.10,"1,535.00",749.00,2022-12-26
238,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,34.39,"1,165.00","1,188.00","1,147.00","1,147.00","1,163.29","8,691.00","1,147.00","10,110,138.30",57,0.0,41.00,0.0,3.57,-1.42,897.59,959.79,"1,535.00",749.00,2022-12-27
234,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,34.31,"1,168.00","1,168.00","1,133.00","1,150.00","1,147.86","2,566.00","1,147.00","2,945,416.00",36,3.0,35.0,0.26,3.09,0.19,899.05,959.44,"1,479.00",749.00,2022-12-28
234,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,34.31,"1,148.00","1,192.00","1,148.00","1,170.00","1,165.44","3,782.00","1,150.00","4,407,679.00",48,20.0,44.0,1.74,3.83,0.39,900.71,959.27,"1,479.00",749.00,2022-12-29
238,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,37.92,"1,183.90","1,183.90","1,142.70","1,153.00","1,153.88","5,423.00","1,170.00","6,257,496.00",46,-17.0,41.20,-1.45,3.61,-0.08,902.24,959.26,"1,384.00",749.00,2023-01-01
230,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,37.92,"1,176.00","1,244.00","1,141.70","1,232.00","1,197.12","11,235.00","1,153.00","13,449,588.10",135,79.0,102.3,6.85,8.96,2.83,904.27,959.69,"1,384.00",749.00,2023-01-02
234,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,45.3,"1,256.60","1,283.90","1,226.00","1,267.00","1,257.01","10,614.00","1,232.00","13,341,939.30",122,35.0,57.9,2.84,4.72,0.79,906.57,960.06,"1,384.00",749.00,2023-01-03
235,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,49.57,"1,284.90","1,324.00","1,255.00","1,324.00","1,283.49","9,622.00","1,267.00","12,349,703.90",107,57.0,69.0,4.5,5.5,3.06,909.51,960.88,"1,384.00",749.00,2023-01-04
235,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,56.03,"1,318.90","1,351.00","1,300.00","1,349.00","1,325.84","14,830.00","1,324.00","19,662,217.90",119,25.0,51.0,1.89,3.92,1.72,912.62,961.74,"1,384.00",749.00,2023-01-05
