SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
128,NEF,Nabil Equity Fund,42.27,7.96,8.10,7.96,8.00,8.00,"8,400.00",8.00,"67,220.00",7,0.0,0.14,0.0,1.76,-0.03,9.19,9.67,11.53,7.80,2022-12-07
128,NEF,Nabil Equity Fund,42.27,7.96,8.10,7.96,8.00,8.00,"8,400.00",8.00,"67,220.00",7,0.0,0.14,0.0,1.76,-0.03,9.19,9.67,11.53,7.80,2022-12-09
130,NEF,Nabil Equity Fund,43.68,7.90,8.00,7.90,7.94,7.98,"43,783.00",8.00,"349,364.70",11,-0.06,0.1,-0.75,1.27,-0.5,-,-,11.53,7.80,2022-12-11
127,NEF,Nabil Equity Fund,45.7,8.00,8.00,7.94,7.94,7.96,"2,931.00",7.94,"23,332.14",2,0.0,0.06,0.0,0.76,-0.26,9.15,9.64,11.53,7.80,2022-12-12
128,NEF,Nabil Equity Fund,39.04,7.80,7.94,7.80,7.83,7.89,"11,894.00",7.94,"93,877.44",8,-0.11,0.14,-1.39,1.79,-0.8,9.13,9.62,11.53,7.80,2022-12-13
127,NEF,Nabil Equity Fund,34.09,7.83,7.91,7.83,7.91,7.85,"7,189.00",7.83,"56,432.29",5,0.08,0.08,1.02,1.02,0.76,9.11,9.60,11.53,7.80,2022-12-14
133,NEF,Nabil Equity Fund,27.53,8.06,8.06,8.06,8.06,8.06,100.00,7.91,806.00,1,0.15,0.0,1.9,0.0,0.0,9.10,9.59,11.53,7.80,2022-12-15
128,NEF,Nabil Equity Fund,40.54,8.19,8.19,7.90,7.90,7.93,"87,300.00",8.06,"692,041.18",12,-0.16,0.29,-1.99,3.67,-0.34,9.08,9.57,11.53,7.80,2022-12-18
130,NEF,Nabil Equity Fund,44.51,7.75,8.00,7.75,8.00,7.97,"5,923.00",7.90,"47,182.53",7,0.1,0.25,1.27,3.23,0.43,9.06,9.55,11.53,7.75,2022-12-19
131,NEF,Nabil Equity Fund,44.51,8.00,8.05,7.90,7.93,7.99,"27,690.00",8.00,"221,261.03",16,-0.07,0.15,-0.88,1.9,-0.76,9.05,9.54,11.53,7.75,2022-12-20
129,NEF,Nabil Equity Fund,47.89,7.90,7.92,7.90,7.91,7.91,"34,380.00",7.93,"272,060.50",6,-0.02,0.02,-0.25,0.25,-0.04,9.03,9.52,11.53,7.75,2022-12-21
126,NEF,Nabil Equity Fund,36.94,8.00,8.00,7.92,7.93,7.93,"1,058.00",7.91,"8,394.19",3,0.02,0.08,0.25,1.01,-0.05,9.02,9.50,11.53,7.75,2022-12-22
127,NEF,Nabil Equity Fund,40.86,8.05,8.20,8.05,8.20,8.18,"6,962.00",7.93,"56,938.40",6,0.27,0.15,3.4,1.86,0.26,9.01,9.49,11.53,7.75,2022-12-26
133,NEF,Nabil Equity Fund,43.91,8.36,8.36,8.11,8.12,8.18,"28,265.00",8.20,"231,072.47",17,-0.08,0.25,-0.98,3.08,-0.68,9.00,9.47,11.53,7.75,2022-12-27
131,NEF,Nabil Equity Fund,46.84,8.28,8.28,8.12,8.14,8.16,"7,204.00",8.12,"58,773.60",8,0.02,0.16,0.25,1.97,-0.23,8.99,9.46,11.53,7.75,2022-12-28
133,NEF,Nabil Equity Fund,46.84,8.14,8.26,8.07,8.20,8.16,"66,191.00",8.14,"540,016.87",14,0.06,0.19,0.74,2.35,0.51,8.98,9.44,11.53,7.75,2022-12-29
136,NEF,Nabil Equity Fund,52.84,8.35,8.57,8.35,8.55,8.48,"36,420.00",8.20,"308,771.00",10,0.35,0.22,4.27,2.63,0.84,8.97,9.43,11.53,7.75,2023-01-01
128,NEF,Nabil Equity Fund,52.84,8.46,8.46,8.38,8.38,8.43,"11,431.00",8.55,"96,416.09",6,-0.17,0.08,-1.99,0.95,-0.65,8.96,9.41,11.53,7.75,2023-01-02
132,NEF,Nabil Equity Fund,50.79,8.39,8.56,8.30,8.50,8.47,"76,856.00",8.38,"651,188.27",8,0.12,0.26,1.43,3.13,0.32,8.95,9.40,11.53,7.75,2023-01-03
132,NEF,Nabil Equity Fund,61.07,8.50,8.55,8.50,8.55,8.54,"11,783.00",8.50,"100,655.50",5,0.05,0.05,0.59,0.59,0.09,8.94,9.39,11.53,7.75,2023-01-04
130,NEF,Nabil Equity Fund,53.77,8.55,8.89,8.55,8.89,8.70,"34,145.00",8.55,"297,038.10",7,0.34,0.34,3.98,3.98,2.14,8.94,9.38,11.53,7.75,2023-01-05
132,NEF,Nabil Equity Fund,54.97,8.72,9.03,8.56,8.85,8.91,"38,643.00",8.89,"344,321.32",18,-0.04,0.47,-0.45,5.49,-0.68,-,-,11.53,7.75,2023-01-08
131,NEF,Nabil Equity Fund,58.76,8.99,9.17,8.99,9.17,9.08,"42,643.00",8.85,"387,228.51",12,0.32,0.18,3.62,2.0,0.97,8.92,9.35,11.53,7.75,2023-01-09
127,NEF,Nabil Equity Fund,56.33,9.35,9.50,9.07,9.07,9.39,"43,081.00",9.17,"404,633.59",19,-0.1,0.43,-1.09,4.74,-3.55,8.92,9.34,11.53,7.75,2023-01-10
127,NEF,Nabil Equity Fund,56.36,9.00,9.10,8.92,8.92,8.96,"26,109.00",9.07,"233,859.50",13,-0.15,0.18,-1.65,2.02,-0.42,8.91,9.34,11.53,7.75,2023-01-12
124,NEF,Nabil Equity Fund,46.48,8.83,9.00,8.83,9.00,8.85,"1,105.00",8.92,"9,775.00",2,0.08,0.17,0.9,1.93,1.71,8.90,9.33,11.53,7.75,2023-01-17
126,NEF,Nabil Equity Fund,43.84,8.85,9.19,8.85,9.19,9.07,"3,823.00",9.00,"34,660.46",11,0.19,0.34,2.11,3.84,1.35,8.90,9.32,11.53,7.75,2023-01-18
124,NEF,Nabil Equity Fund,41.16,9.30,9.30,9.01,9.01,9.02,"5,200.00",9.19,"46,892.00",3,-0.18,0.29,-1.96,3.22,-0.09,8.89,9.31,11.47,7.75,2023-01-19
130,NEF,Nabil Equity Fund,37.52,9.00,9.17,8.90,9.16,9.01,"44,283.00",9.01,"399,091.42",18,0.15,0.27,1.66,3.03,1.61,8.89,9.30,11.37,7.75,2023-01-23
127,NEF,Nabil Equity Fund,47.77,8.98,9.34,8.82,8.98,9.20,"44,336.00",9.16,"408,072.40",16,-0.18,0.52,-1.97,5.9,-2.5,8.88,9.30,11.33,7.75,2023-01-24
127,NEF,Nabil Equity Fund,45.47,9.00,9.03,8.86,9.00,8.98,"13,765.00",8.98,"123,647.70",12,0.02,0.17,0.22,1.92,0.19,8.88,9.29,11.33,7.75,2023-01-25
126,NEF,Nabil Equity Fund,40.43,9.00,9.00,8.90,9.00,8.95,"15,909.00",9.00,"142,443.99",10,0.0,0.1,0.0,1.12,0.51,8.88,9.28,11.33,7.75,2023-01-26
129,NEF,Nabil Equity Fund,42.54,8.99,9.10,8.99,9.05,9.01,"30,455.00",9.00,"274,546.45",6,0.05,0.11,0.56,1.22,0.39,8.87,9.27,11.33,7.75,2023-01-29
128,NEF,Nabil Equity Fund,43.35,9.05,9.20,9.05,9.10,9.08,"38,322.00",9.05,"348,009.16",22,0.05,0.15,0.55,1.66,0.21,8.86,9.27,11.33,7.75,2023-01-30
131,NEF,Nabil Equity Fund,46.92,8.93,9.00,8.93,8.95,8.94,"11,706.00",9.10,"104,684.22",8,-0.15,0.07,-1.65,0.78,0.08,8.85,9.26,11.33,7.75,2023-01-31
127,NEF,Nabil Equity Fund,37.08,8.82,8.99,8.82,8.86,8.86,"4,345.00",8.95,"38,495.97",5,-0.09,0.17,-1.01,1.93,0.0,8.84,9.25,11.33,7.75,2023-02-01
130,NEF,Nabil Equity Fund,34.77,8.99,8.99,8.79,8.79,8.83,"7,182.00",8.86,"63,441.38",10,-0.07,0.2,-0.79,2.28,-0.49,8.83,9.24,11.33,7.75,2023-02-02
131,NEF,Nabil Equity Fund,29.11,8.81,8.98,8.81,8.98,8.89,908.00,8.79,"8,071.73",2,0.19,0.17,2.16,1.93,1.01,8.83,9.23,11.28,7.75,2023-02-05
133,NEF,Nabil Equity Fund,28.09,8.67,9.10,8.67,9.10,9.03,"9,513.00",8.84,"85,942.22",9,0.26,0.43,2.94,4.96,0.72,8.81,9.21,11.28,7.75,2023-02-07
132,NEF,Nabil Equity Fund,54.58,9.14,9.20,9.12,9.12,9.13,"2,548.00",9.12,"23,252.74",5,0.0,0.08,0.0,0.88,-0.06,8.80,9.19,11.28,7.75,2023-02-09
127,NEF,Nabil Equity Fund,44.77,9.00,9.12,9.00,9.12,9.07,"3,207.00",9.12,"29,103.00",2,0.0,0.12,0.0,1.33,0.5,8.80,9.18,11.25,7.75,2023-02-12
